Image,Severity,Method,MSE,PSNR (dB),SSIM,Coherence,Match score (%),Runtime (s),Ridge endings,Bifurcations
100__M_Left_index_finger.BMP,0.35,Degraded input,0.013743376069934242,18.61906569427805,0.7534941369731343,0.7455171346664429,31.333333333333332,0.0,126,31
100__M_Left_index_finger.BMP,0.35,Global HE,0.009605849961423595,20.174642011068727,0.8123558214968145,0.7733224034309387,31.666666666666668,0.005922700000155601,126,31
100__M_Left_index_finger.BMP,0.35,M1 CLAHE,0.05471759615885718,12.618729901964782,0.6915808759404435,0.729202151298523,6.333333333333333,0.0062126000002535875,126,31
100__M_Left_index_finger.BMP,0.35,M1 Median + CLAHE,0.04424515077143231,13.541343206409964,0.723562501248644,0.750544548034668,8.333333333333334,0.009365100000650273,126,31
100__M_Left_index_finger.BMP,0.35,M1 Wiener + CLAHE,0.03895833344785425,14.093996295624473,0.7315918631040635,0.7779986262321472,5.0,0.00907439999991766,126,31
100__M_Left_index_finger.BMP,0.35,M1 CLAHE + Unsharp,0.055553031507349845,12.552922367952835,0.6673943051903686,0.6994755268096924,5.666666666666667,0.007276100000126462,126,31
100__M_Left_index_finger.BMP,0.35,M1 Wiener + CLAHE + Unsharp,0.037597573332480844,14.248401849213526,0.7417858323673838,0.7755193114280701,6.666666666666667,0.010204799999883107,126,31
100__M_Left_index_finger.BMP,0.35,Gabor,0.0677488487947137,11.690980800306946,0.581677825011682,0.7283830642700195,4.333333333333333,0.4760087000004205,126,31
100__M_Left_index_finger.BMP,0.35,Hybrid,0.03747527667211193,14.26255152162726,0.7175270213738325,0.7708708047866821,4.666666666666667,0.4731542999998055,126,31
100__M_Left_little_finger.BMP,0.55,Degraded input,0.02899053114227728,15.377438277616974,0.4986737671315174,0.6290611624717712,23.333333333333332,0.0,119,52
100__M_Left_little_finger.BMP,0.55,Global HE,0.026214523940962773,15.814580247208173,0.5525806709958483,0.7007082104682922,21.666666666666668,0.005786599999737518,119,52
100__M_Left_little_finger.BMP,0.55,M1 CLAHE,0.1061227073724442,9.741916789505966,0.45723265206568925,0.6128778457641602,2.3333333333333335,0.005395700000008219,119,52
100__M_Left_little_finger.BMP,0.55,M1 Median + CLAHE,0.07775552312265639,11.092687524426069,0.5040589608902627,0.6722787618637085,5.333333333333333,0.008663799999339972,119,52
100__M_Left_little_finger.BMP,0.55,M1 Wiener + CLAHE,0.05149819314168187,12.882080082862473,0.5728728772175454,0.7301690578460693,3.3333333333333335,0.008478099999592814,119,52
100__M_Left_little_finger.BMP,0.55,M1 CLAHE + Unsharp,0.11158158121363071,9.524074885298006,0.42392150178814225,0.5512603521347046,1.6666666666666667,0.006342900000163354,119,52
100__M_Left_little_finger.BMP,0.55,M1 Wiener + CLAHE + Unsharp,0.04837224576062961,13.15403749311807,0.5779916713957296,0.7161505222320557,4.666666666666667,0.009488200000305369,119,52
100__M_Left_little_finger.BMP,0.55,Gabor,0.08208319115582402,10.857457677972564,0.3911398219502752,0.6243966817855835,3.0,0.48640570000043226,119,52
100__M_Left_little_finger.BMP,0.55,Hybrid,0.04876659334632251,13.118775815535756,0.5662367468469569,0.7166635394096375,5.333333333333333,0.4763100000000122,119,52
