Family,Category,Technique ID,Technique,Family score,Main metric logic,Ridge coherence,Local contrast,Fragmentation,Ridge continuity,Main strength,Main weakness
M1 / Contrast or General Enhancement,Easy,M1-C1,CLAHE,0.1464643103420587,contrast gain with coherence/fragmentation guard,0.6987643539905548,0.23088362626731396,3.233442501152113,23.680542771733574,coherence change +0.0420,no major structural penalty in selected score
M1 / Contrast or General Enhancement,Medium,M1-C1,CLAHE,0.1399041820779775,contrast gain with coherence/fragmentation guard,0.70260439068079,0.21980753540992737,2.05991819825259,30.869399603754754,coherence change +0.0478,fragmentation worsens +0.0074
M1 / Contrast or General Enhancement,Hard,M1-C1,CLAHE,0.17849097762698762,contrast gain with coherence/fragmentation guard,0.6941469460725784,0.21919252537190914,3.1462914339394397,19.907129792266517,continuity change +0.4755,no major structural penalty in selected score
M1 / Contrast or General Enhancement,Overall,M1-C1,CLAHE,0.155023294947809,contrast gain with coherence/fragmentation guard,0.6985052302479744,0.2232945623497168,2.8132173777813807,24.81902405591828,coherence change +0.0452,no major structural penalty in selected score
M2 / Ridge Enhancement,Easy,M2-R1,Ordinary Gabor,0.15563810495494693,ridge coherence and continuity with fragmentation guard,0.7174828797578812,0.15012741461396217,4.741421554480361,20.513319525505374,coherence change +0.0607,fragmentation worsens +0.9548
M2 / Ridge Enhancement,Medium,M2-R1,Ordinary Gabor,0.05357178072300779,ridge coherence and continuity with fragmentation guard,0.720860667526722,0.139795845374465,3.6048426862895777,22.59894348623997,coherence change +0.0661,fragmentation worsens +1.5523
M2 / Ridge Enhancement,Hard,M2-R1,Ordinary Gabor,0.15623808080458418,ridge coherence and continuity with fragmentation guard,0.714917965233326,0.13855192437767982,5.551930398370532,16.658202474727986,coherence change +0.0664,fragmentation worsens +1.7449
M2 / Ridge Enhancement,Overall,M2-R1,Ordinary Gabor,0.12181598882751299,ridge coherence and continuity with fragmentation guard,0.7177538375059763,0.142825061455369,4.632731546380157,19.92348849549111,coherence change +0.0644,fragmentation worsens +1.4173
Restoration / Denoising Supporting Candidate,Easy,SUP-D3,Total Variation Restoration,0.0977451175043502,ridge preservation and denoising support,0.7010906860232353,0.1831288319081068,3.7234536737431063,24.407153865808354,continuity change +0.4571,contrast decreases -0.0188
Restoration / Denoising Supporting Candidate,Medium,SUP-D1,Wiener Deconvolution,0.08115617606414763,ridge preservation and denoising support,0.679567240178585,0.19201744347810745,2.0147147745955434,34.22777009405696,continuity change +1.2255,no major structural penalty in selected score
Restoration / Denoising Supporting Candidate,Hard,SUP-D3,Total Variation Restoration,0.09236912570942672,ridge preservation and denoising support,0.6995493173599243,0.16634469665586948,4.001060158492464,18.58181991030878,coherence change +0.0510,fragmentation worsens +0.1940
Restoration / Denoising Supporting Candidate,Overall,SUP-D3,Total Variation Restoration,0.08677054933475319,ridge preservation and denoising support,0.6998388320207596,0.17341467241446176,3.300324209763551,24.77996497053398,coherence change +0.0465,fragmentation worsens +0.0849
M3 / Morphological Ridge Restoration,Easy,M3-2,Closing,-1.2723500415006401,lowest fragmentation with continuity,0.6567512899637222,0.20194566063582897,2.7954704025390535,30.46240722076827,continuity change +6.5123,no major structural penalty in selected score
M3 / Morphological Ridge Restoration,Medium,M3-2,Closing,0.6651820830851856,lowest fragmentation with continuity,0.6547900214791298,0.18812280893325806,1.4024165702474796,41.3519730666533,continuity change +8.3497,no major structural penalty in selected score
M3 / Morphological Ridge Restoration,Hard,M3-2,Closing,-1.5531070159811229,lowest fragmentation with continuity,0.6485046073794365,0.1844979263842106,2.6910344578925964,22.75854883822947,continuity change +3.3269,no major structural penalty in selected score
M3 / Morphological Ridge Restoration,Overall,M3-2,Closing,-0.7200916581321926,lowest fragmentation with continuity,0.6533486396074295,0.19152213198443255,2.29630714355971,31.524309708550348,continuity change +6.0630,no major structural penalty in selected score
M4 / Thinning,Easy,M4-T2,Medial Axis,-25.3832142954532,fewest tiny skeleton components with continuity,0.6567512899637222,0.20194566063582897,13.101662521701797,29.835714090935994,continuity change +5.8856,fragmentation worsens +9.3150
M4 / Thinning,Medium,M4-T2,Medial Axis,-11.957037905112262,fewest tiny skeleton components with continuity,0.6547900214791298,0.18812280893325806,6.924278877180925,40.859241897754735,continuity change +7.8570,fragmentation worsens +4.8717
M4 / Thinning,Hard,M4-T2,Medial Axis,-23.983342892494193,fewest tiny skeleton components with continuity,0.6485046073794365,0.1844979263842106,12.190232219626779,22.833142150116142,continuity change +3.4015,fragmentation worsens +8.3832
M4 / Thinning,Overall,M4-T2,Medial Axis,-20.44119836435322,fewest tiny skeleton components with continuity,0.6533486396074295,0.19152213198443255,10.738724539503167,31.176032712935623,continuity change +5.7147,fragmentation worsens +7.5233
