Category,Category order,Image,Path,Real pair candidate path,Real pair candidate exists,Pairing used for metrics,Selection rule,Hybrid ID,Stage order,Stage,Stage family,Output domain,Stage note,Runtime (s),Ridge coherence,Local contrast,Foreground/background separation proxy,Foreground usable-area ratio,Ridge coverage in foreground,Detected ridge endings,Detected bifurcations,Ridge pixels,Connected components,Small connected components <20px,Largest component fraction,Fragmentation per 1000 ridge pixels,Skeleton pixels,Skeleton endpoints,Skeleton bifurcations,Ridge continuity proxy,Delta Ridge coherence vs previous stage,Delta Local contrast vs previous stage,Delta Foreground/background separation proxy vs previous stage,Delta Ridge coverage in foreground vs previous stage,Delta Fragmentation per 1000 ridge pixels vs previous stage,Delta Small connected components <20px vs previous stage,Delta Ridge continuity proxy vs previous stage
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,0,Original Altered,input,grayscale,Original Altered image after P0 neutral handling,0.0,0.7615703344345093,0.22480694949626923,0.22480694949626923,1.0,0.417572021484375,187.0,98.0,27366.0,66.0,1.0,0.5232405066490173,2.4117518088138565,5881.0,187.0,98.0,31.449197860962567,,,,,,,
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,1,M1 - CLAHE,M1,grayscale,selected from single-technique M1 evidence,0.007318700023461133,0.7708094716072083,0.25653764605522156,0.25653764605522156,1.0,0.4291229248046875,182.0,86.0,28123.0,59.0,1.0,0.5019023418426514,2.097926963695196,6075.0,182.0,86.0,33.379120879120876,0.009239137172698975,0.03173069655895233,0.03173069655895233,0.0115509033203125,-0.3138248451186607,0.0,1.9299230181583091
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,2,M2 - Ordinary Gabor,M2,grayscale,selected from single-technique M2 evidence,1.1012590000173077,0.7775160074234009,0.1873752474784851,0.1873752474784851,1.0,0.385986328125,201.0,57.0,25296.0,77.0,2.0,0.47924572229385376,3.0439595192915876,5727.0,201.0,57.0,28.492537313432837,0.006706535816192627,-0.06916239857673645,-0.06916239857673645,-0.0431365966796875,0.9460325555963918,1.0,-4.8865835656880385
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,3,M3 - Closing,M3,binary ridge map,selected binary ridge restoration branch,,0.7775160074234009,0.1873752474784851,0.1873752474784851,1.0,0.393798828125,184.0,80.0,25808.0,62.0,1.0,0.4784562885761261,2.4023558586484812,5759.0,184.0,80.0,31.29891304347826,0.0,0.0,0.0,0.0078125,-0.6416036606431064,-1.0,2.806375730045424
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,4,M4 - Medial Axis,M4,skeleton,downstream thinning/feature extraction branch,,0.7775160074234009,0.1873752474784851,0.1873752474784851,1.0,0.0935821533203125,349.0,244.0,6133.0,62.0,19.0,0.4242621958255768,10.109245067666722,6133.0,349.0,244.0,17.573065902578797,0.0,0.0,0.0,-0.3002166748046875,7.70688920901824,18.0,-13.725847140899464
Easy,1,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,0,Original Altered,input,grayscale,Original Altered image after P0 neutral handling,0.0,0.5187233686447144,0.15843753516674042,0.15843753516674042,1.0,0.236572265625,303.0,78.0,15504.0,117.0,7.0,0.3363003134727478,7.546439628482973,2932.0,303.0,78.0,9.676567656765677,,,,,,,
Easy,1,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,1,M1 - CLAHE,M1,grayscale,selected from single-technique M1 evidence,0.006240299961064011,0.5786245465278625,0.20286902785301208,0.20286902785301208,1.0,0.3397064208984375,447.0,154.0,22263.0,146.0,3.0,0.3512554466724396,6.5579661321475085,4284.0,447.0,154.0,9.583892617449665,0.05990117788314819,0.04443149268627167,0.04443149268627167,0.1031341552734375,-0.9884734963354642,-4.0,-0.09267503931601162
Easy,1,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,2,M2 - Ordinary Gabor,M2,grayscale,selected from single-technique M2 evidence,1.1197535000392236,0.6127731204032898,0.15381035208702087,0.15381035208702087,1.0,0.286163330078125,429.0,117.0,18754.0,156.0,6.0,0.34126052260398865,8.31822544523835,3853.0,429.0,117.0,8.981351981351981,0.034148573875427246,-0.04905867576599121,-0.04905867576599121,-0.0535430908203125,1.7602593130908408,3.0,-0.6025406360976842
Easy,1,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,3,M3 - Closing,M3,binary ridge map,selected binary ridge restoration branch,,0.6127731204032898,0.15381035208702087,0.15381035208702087,1.0,0.299285888671875,316.0,192.0,19614.0,76.0,2.0,0.32787805795669556,3.8747833180381357,4066.0,316.0,192.0,12.867088607594937,0.0,0.0,0.0,0.01312255859375,-4.443442127200214,-4.0,3.885736626242956
Easy,1,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,4,M4 - Medial Axis,M4,skeleton,downstream thinning/feature extraction branch,,0.6127731204032898,0.15381035208702087,0.15381035208702087,1.0,0.0693511962890625,499.0,392.0,4545.0,76.0,41.0,0.2253025323152542,16.72167216721672,4545.0,499.0,392.0,9.108216432865731,0.0,0.0,0.0,-0.2299346923828125,12.846888849178585,39.0,-3.7588721747292055
