Category,Category order,Image,Path,Real pair candidate path,Real pair candidate exists,Pairing used for metrics,Selection rule,Family,Technique ID,Technique,Output domain,Purpose,Is enhancement technique,Runtime (s),Ridge coherence,Local contrast,Foreground/background separation proxy,Foreground usable-area ratio,Ridge coverage in foreground,Detected ridge endings,Detected bifurcations,Ridge pixels,Connected components,Small connected components <20px,Largest component fraction,Fragmentation per 1000 ridge pixels,Skeleton pixels,Skeleton endpoints,Skeleton bifurcations,Ridge continuity proxy,Delta Ridge coherence vs P0,Delta Local contrast vs P0,Delta Foreground/background separation proxy vs P0,Delta Ridge coverage in foreground vs P0,Delta Fragmentation per 1000 ridge pixels vs P0,Delta Small connected components <20px vs P0,Delta Ridge continuity proxy vs P0
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Input / Common Preprocessing Control,P0,Original Altered Input after P0,grayscale,"input condition and neutral preprocessing control, not enhancement",False,0.0,0.7615703344345093,0.22480694949626923,0.22480694949626923,1.0,0.417572021484375,187.0,98.0,27366.0,66.0,1.0,0.5232405066490173,2.4117518088138565,5881.0,187.0,98.0,31.449197860962567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",M1 / Contrast or General Enhancement,M1-C1,CLAHE,grayscale,local contrast enhancement baseline,True,0.013351799978408962,0.7708094716072083,0.25653764605522156,0.25653764605522156,1.0,0.4291229248046875,182.0,86.0,28123.0,59.0,1.0,0.5019023418426514,2.097926963695196,6075.0,182.0,86.0,33.379120879120876,0.009239137172698975,0.03173069655895233,0.03173069655895233,0.0115509033203125,-0.3138248451186607,0.0,1.9299230181583091
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",M1 / Contrast or General Enhancement,M1-C2,Contrast Stretching,grayscale,global contrast expansion,True,0.0012276999768801033,0.7615703344345093,0.22480694949626923,0.22480694949626923,1.0,0.417572021484375,187.0,98.0,27366.0,66.0,1.0,0.5232405066490173,2.4117518088138565,5881.0,187.0,98.0,31.449197860962567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",M1 / Contrast or General Enhancement,M1-C3,Global Histogram Equalization,grayscale,global histogram redistribution baseline,True,0.003810899972449988,0.7541338205337524,0.1822122484445572,0.1822122484445572,1.0,0.404388427734375,192.0,80.0,26502.0,69.0,1.0,0.5329409241676331,2.603577088521621,5803.0,192.0,80.0,30.223958333333332,-0.007436513900756836,-0.042594701051712036,-0.042594701051712036,-0.01318359375,0.19182527970776464,0.0,-1.2252395276292347
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",M2 / Ridge Enhancement,M2-R1,Ordinary Gabor,grayscale,ordinary fixed-frequency multi-orientation ridge filter,True,0.9451370000024326,0.7829720973968506,0.16601639986038208,0.16601639986038208,1.0,0.3742828369140625,190.0,61.0,24529.0,75.0,2.0,0.41493740677833557,3.05760528354193,5546.0,190.0,61.0,29.189473684210526,0.02140176296234131,-0.058790549635887146,-0.058790549635887146,-0.0432891845703125,0.6458534747280735,1.0,-2.259724176752041
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",M2 / Ridge Enhancement,M2-R2,Literature-Inspired Modified Gabor,grayscale,local orientation and local frequency Gabor; not exact paper replication,True,1.9051468999823555,0.7600427865982056,0.2054770290851593,0.2054770290851593,1.0,0.4109954833984375,189.0,90.0,26935.0,72.0,1.0,0.4613328278064728,2.6731019120103956,5824.0,189.0,90.0,30.814814814814813,-0.001527547836303711,-0.019329920411109924,-0.019329920411109924,-0.0065765380859375,0.26135010319653906,0.0,-0.6343830461477538
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",M2 / Ridge Enhancement,M2-R3,Coherence-Guided Directional Diffusion,grayscale,ridge-flow-preserving directional smoothing,True,0.2973186999442987,0.767471194267273,0.20402483642101288,0.20402483642101288,1.0,0.4107666015625,188.0,99.0,26920.0,67.0,2.0,0.6648960113525391,2.488855869242199,5847.0,188.0,99.0,31.101063829787233,0.005900859832763672,-0.020782113075256348,-0.020782113075256348,-0.006805419921875,0.07710406042834261,1.0,-0.34813403117533426
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",M2 / Ridge Enhancement,M2-R4,Directional Oriented Filter-Bank,grayscale,orientation-selected ridge-flow filtering,True,0.08950940001523122,0.763568639755249,0.21645967662334442,0.21645967662334442,1.0,0.4153289794921875,186.0,95.0,27219.0,66.0,1.0,0.6093904972076416,2.424776810316323,5860.0,186.0,95.0,31.50537634408602,0.001998305320739746,-0.008347272872924805,-0.008347272872924805,-0.0022430419921875,0.013025001502466438,0.0,0.056178483123453304
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Restoration / Denoising Supporting Candidate,SUP-D1,Wiener Deconvolution,grayscale,supporting restoration; assumes mild Gaussian PSF because direct Altered blur is not known,True,0.010658999963197857,0.7764383554458618,0.23020219802856445,0.23020219802856445,1.0,0.42071533203125,176.0,91.0,27572.0,65.0,1.0,0.5225228667259216,2.3574640940084146,5877.0,176.0,91.0,33.39204545454545,0.014868021011352539,0.005395248532295227,0.005395248532295227,0.003143310546875,-0.05428771480544192,0.0,1.9428475935828864
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Restoration / Denoising Supporting Candidate,SUP-D2,Wavelet Denoising,grayscale,supporting denoising without clean-reference use,True,0.006191299995407462,0.7689265608787537,0.2225641906261444,0.2225641906261444,1.0,0.416046142578125,178.0,97.0,27266.0,65.0,0.0,0.5234357714653015,2.3839213672705934,5864.0,178.0,97.0,32.943820224719104,0.007356226444244385,-0.002242758870124817,-0.002242758870124817,-0.00152587890625,-0.027830441543263085,-1.0,1.4946223637565375
