Category,Family,Technique ID,Technique,Output domain,Purpose,Is enhancement technique,Images,Ridge coherence mean,Ridge coherence std,Local contrast mean,Local contrast std,Foreground/background separation proxy mean,Ridge coverage mean,Fragmentation mean,Small components mean,Ridge continuity mean,Detected endings mean,Detected bifurcations mean,Runtime mean,Delta coherence vs P0 mean,Delta contrast vs P0 mean,Delta fragmentation vs P0 mean,Delta continuity vs P0 mean
Easy,Input / Common Preprocessing Control,P0,Original Altered Input after P0,grayscale,"input condition and neutral preprocessing control, not enhancement",False,8,0.6567512899637222,0.09501334804625156,0.20194566063582897,0.030094885502543176,0.20194566063582897,0.36513328552246094,3.7866287180952156,3.25,23.950077379145185,238.875,98.0,0.0,0.0,0.0,0.0,0.0
Easy,M1 / Contrast or General Enhancement,M1-C1,CLAHE,grayscale,local contrast enhancement baseline,True,8,0.6987643539905548,0.08312279488309578,0.23088362626731396,0.024609922565788755,0.23088362626731396,0.3900775909423828,3.233442501152113,1.125,23.680542771733574,258.875,106.75,0.007572224996692967,0.04201306402683258,0.028937965631484985,-0.553186216943103,-0.2695346074116096
Easy,M1 / Contrast or General Enhancement,M1-C2,Contrast Stretching,grayscale,global contrast expansion,True,8,0.6567512899637222,0.09501334804625156,0.20194566063582897,0.030094885502543176,0.20194566063582897,0.36513328552246094,3.7866287180952156,3.25,23.950077379145185,238.875,98.0,0.0010277875044266693,0.0,0.0,0.0,0.0
Easy,M1 / Contrast or General Enhancement,M1-C3,Global Histogram Equalization,grayscale,global histogram redistribution baseline,True,8,0.6566728949546814,0.09518883700569569,0.17212528176605701,0.023350634564636645,0.17212528176605701,0.384552001953125,3.5450537103428155,2.125,21.450339832869574,269.375,98.75,0.00268218747805804,-7.839500904083252e-05,-0.029820378869771957,-0.2415750077524,-2.499737546275611
Easy,M2 / Ridge Enhancement,M2-R1,Ordinary Gabor,grayscale,ordinary fixed-frequency multi-orientation ridge filter,True,8,0.7174828797578812,0.06709950652404954,0.15012741461396217,0.020220061091497897,0.15012741461396217,0.30968475341796875,4.741421554480361,3.5,20.513319525505374,239.5,72.0,0.9050713124961476,0.060731589794158936,-0.0518182460218668,0.9547928363851454,-3.4367578536398096
Easy,M2 / Ridge Enhancement,M2-R2,Literature-Inspired Modified Gabor,grayscale,local orientation and local frequency Gabor; not exact paper replication,True,8,0.667460672557354,0.08707371058548706,0.18640397302806377,0.025280286714217528,0.18640397302806377,0.3579730987548828,4.045441495091299,3.5,22.953478842390624,243.5,91.75,1.8509490500000538,0.010709382593631744,-0.015541687607765198,0.258812776996083,-0.9965985367545609
Easy,M2 / Ridge Enhancement,M2-R3,Coherence-Guided Directional Diffusion,grayscale,ridge-flow-preserving directional smoothing,True,8,0.6691091954708099,0.09354607470181589,0.18840312212705612,0.027120957900612613,0.18840312212705612,0.3601493835449219,3.7774910343576162,3.625,23.347612611892032,237.75,97.5,0.2937120124770445,0.012357905507087708,-0.01354253850877285,-0.009137683737599323,-0.6024647672531507
Easy,M2 / Ridge Enhancement,M2-R4,Directional Oriented Filter-Bank,grayscale,orientation-selected ridge-flow filtering,True,8,0.6615854576230049,0.09415098372669094,0.19645941630005836,0.0289188339565519,0.19645941630005836,0.3631267547607422,3.7767135479212244,3.5,23.877092517939705,237.0,97.0,0.09224217499286169,0.004834167659282684,-0.005486244335770607,-0.009915170173991392,-0.07298486120547998
Easy,M3 / Morphological Ridge Restoration,M3-2,Closing,binary ridge map,binary ridge-structure restoration,True,8,0.6567512899637222,0.09501334804625156,0.20194566063582897,0.030094885502543176,0.20194566063582897,0.3730010986328125,2.7954704025390535,1.375,30.46240722076827,198.875,129.25,0.011102824998670258,0.0,0.0,-0.9911583155561621,6.512329841623084
Easy,M3 / Morphological Ridge Restoration,M3-3,Opening + Closing,binary ridge map,binary ridge-structure restoration,True,8,0.6567512899637222,0.09501334804625156,0.20194566063582897,0.030094885502543176,0.20194566063582897,0.3551006317138672,4.865231642740833,21.125,18.39744023642948,251.75,71.375,0.011102824998670258,0.0,0.0,1.0786029246456168,-5.552637142715705
Easy,M3 / Morphological Ridge Restoration,M3-4,Morphological reconstruction,binary ridge map,binary ridge-structure restoration,True,8,0.6567512899637222,0.09501334804625156,0.20194566063582897,0.030094885502543176,0.20194566063582897,0.36505889892578125,3.7752167512305657,3.125,23.959458350162013,238.375,98.0,0.011102824998670258,0.0,0.0,-0.011411966864649958,0.009380971016828
Easy,M3 / Morphological Ridge Restoration,M3-6,Remove small objects / isolated noise,binary ridge map,binary ridge-structure restoration,True,8,0.6567512899637222,0.09501334804625156,0.20194566063582897,0.030094885502543176,0.20194566063582897,0.36053466796875,3.2406155117755766,0.0,25.142329067346484,214.25,96.625,0.011102824998670258,0.0,0.0,-0.5460132063196388,1.1922516882012997
Easy,M3 / Morphological Ridge Restoration,M3-8,Controlled ridge-restoration pipeline,binary ridge map,binary ridge-structure restoration,True,8,0.6567512899637222,0.09501334804625156,0.20194566063582897,0.030094885502543176,0.20194566063582897,0.2036418914794922,4.556060106464505,6.375,32.25503897573487,167.125,94.875,0.011102824998670258,0.0,0.0,0.769431388369289,8.304961596589688
Easy,M4 / Thinning,M4-T1,Morphological Skeleton,skeleton,skeletonised ridge analysis output,True,8,0.6567512899637222,0.09501334804625156,0.20194566063582897,0.030094885502543176,0.20194566063582897,0.06753921508789062,13.950906254194557,29.875,32.25503897573487,167.125,94.875,0.049102212498837616,0.0,0.0,10.164277536099341,8.304961596589688
Easy,M4 / Thinning,M4-T2,Medial Axis,skeleton,medial-axis skeleton analysis output,True,8,0.6567512899637222,0.09501334804625156,0.20194566063582897,0.030094885502543176,0.20194566063582897,0.06996536254882812,13.101662521701797,26.875,29.835714090935994,184.75,113.5,0.049102212498837616,0.0,0.0,9.31503380360658,5.885636711790811
Easy,Restoration / Denoising Supporting Candidate,SUP-D1,Wiener Deconvolution,grayscale,supporting restoration; assumes mild Gaussian PSF because direct Altered blur is not known,True,8,0.6795278415083885,0.09125086134217117,0.20593771524727345,0.0308026548757207,0.20593771524727345,0.36743927001953125,3.8135822021331034,2.875,25.08085090253706,236.5,95.25,0.0029224125028122216,0.02277655154466629,0.003992054611444473,0.026953484037888067,1.1307735233918732
Easy,Restoration / Denoising Supporting Candidate,SUP-D2,Wavelet Denoising,grayscale,supporting denoising without clean-reference use,True,8,0.6641299426555634,0.09590004458009951,0.20065441727638245,0.029709501232876055,0.20065441727638245,0.3641529083251953,3.8106021915335697,2.875,24.01459734808395,237.375,97.25,0.0029463499959092587,0.0073786526918411255,-0.0012912433594465256,0.023973473438354,0.0645199689387641
Easy,Restoration / Denoising Supporting Candidate,SUP-D3,Total Variation Restoration,grayscale,supporting edge-preserving smoothing,True,8,0.7010906860232353,0.08785541030087082,0.1831288319081068,0.029159983450664295,0.1831288319081068,0.35993003845214844,3.7234536737431063,3.125,24.407153865808354,220.875,85.375,0.01601705000939546,0.04433939605951309,-0.018816828727722168,-0.06317504435210916,0.45707648666317113
Hard,Input / Common Preprocessing Control,P0,Original Altered Input after P0,grayscale,"input condition and neutral preprocessing control, not enhancement",False,8,0.6485046073794365,0.08647256872986087,0.1844979263842106,0.0321918344826605,0.1844979263842106,0.3378124237060547,3.807058600097692,1.75,19.431635982332192,248.25,95.375,0.0,0.0,0.0,0.0,0.0
Hard,M1 / Contrast or General Enhancement,M1-C1,CLAHE,grayscale,local contrast enhancement baseline,True,8,0.6941469460725784,0.07082688745068898,0.21919252537190914,0.025585185350117844,0.21919252537190914,0.3780403137207031,3.1462914339394397,0.75,19.907129792266517,272.75,123.625,0.006105999993451405,0.04564233869314194,0.034694598987698555,-0.6607671661582523,0.47549380993432444
Hard,M1 / Contrast or General Enhancement,M1-C2,Contrast Stretching,grayscale,global contrast expansion,True,8,0.6485046073794365,0.08647256872986087,0.1844979263842106,0.0321918344826605,0.1844979263842106,0.3378124237060547,3.807058600097692,1.75,19.431635982332192,248.25,95.375,0.0010352250101277605,0.0,0.0,0.0,0.0
Hard,M1 / Contrast or General Enhancement,M1-C3,Global Histogram Equalization,grayscale,global histogram redistribution baseline,True,8,0.6461578756570816,0.0850087165722796,0.15927367378026247,0.024212313818239517,0.15927367378026247,0.36336517333984375,3.5557704949915685,1.125,18.83205295295258,265.875,110.625,0.002296175000083167,-0.002346731722354889,-0.025224252603948116,-0.2512881051061234,-0.5995830293796129
Hard,M2 / Ridge Enhancement,M2-R1,Ordinary Gabor,grayscale,ordinary fixed-frequency multi-orientation ridge filter,True,8,0.714917965233326,0.063065414158926,0.13855192437767982,0.02280139999810292,0.13855192437767982,0.2802772521972656,5.551930398370532,3.125,16.658202474727986,251.125,58.125,0.9236338000046089,0.06641335785388947,-0.04594600200653076,1.74487179827284,-2.7734335076042065
Hard,M2 / Ridge Enhancement,M2-R2,Literature-Inspired Modified Gabor,grayscale,local orientation and local frequency Gabor; not exact paper replication,True,8,0.6596102938055992,0.08013610811759557,0.1701995376497507,0.028090720033959665,0.1701995376497507,0.33003807067871094,4.167827771717064,1.625,18.311180997379996,258.125,91.0,1.9821074249994126,0.01110568642616272,-0.014298388734459877,0.36076917161937294,-1.1204549849521968
Hard,M2 / Ridge Enhancement,M2-R3,Coherence-Guided Directional Diffusion,grayscale,ridge-flow-preserving directional smoothing,True,8,0.6579075083136559,0.0851993835890318,0.1724164132028818,0.028510813896423983,0.1724164132028818,0.3316478729248047,3.8371896783259083,1.125,18.964422175371162,249.75,94.125,0.32549846250913106,0.00940290093421936,-0.012081513181328773,0.0301310782282162,-0.4672138069610303
Hard,M2 / Ridge Enhancement,M2-R4,Directional Oriented Filter-Bank,grayscale,orientation-selected ridge-flow filtering,True,8,0.6519895866513252,0.08600828548216682,0.17957603000104427,0.030738920713920898,0.17957603000104427,0.33519744873046875,3.808032983502752,1.5,19.171242450738113,249.0,93.5,0.1100108500031638,0.003484979271888733,-0.004921896383166313,0.0009743834050597311,-0.2603935315940804
Hard,M3 / Morphological Ridge Restoration,M3-2,Closing,binary ridge map,binary ridge-structure restoration,True,8,0.6485046073794365,0.08647256872986087,0.1844979263842106,0.0321918344826605,0.1844979263842106,0.34480857849121094,2.6910344578925964,1.125,22.75854883822947,214.375,130.375,0.012147154998092446,0.0,0.0,-1.1160241422050956,3.3269128558972785
Hard,M3 / Morphological Ridge Restoration,M3-3,Opening + Closing,binary ridge map,binary ridge-structure restoration,True,8,0.6485046073794365,0.08647256872986087,0.1844979263842106,0.0321918344826605,0.1844979263842106,0.3257255554199219,5.569336262186077,25.125,14.521108204868668,277.75,70.875,0.012147154998092446,0.0,0.0,1.7622776620883849,-4.910527777463523
Hard,M3 / Morphological Ridge Restoration,M3-4,Morphological reconstruction,binary ridge map,binary ridge-structure restoration,True,8,0.6485046073794365,0.08647256872986087,0.1844979263842106,0.0321918344826605,0.1844979263842106,0.3377265930175781,3.797671205708178,1.75,19.486266053500454,247.75,95.375,0.012147154998092446,0.0,0.0,-0.009387394389514192,0.05463007116826146
Hard,M3 / Morphological Ridge Restoration,M3-6,Remove small objects / isolated noise,binary ridge map,binary ridge-structure restoration,True,8,0.6485046073794365,0.08647256872986087,0.1844979263842106,0.0321918344826605,0.1844979263842106,0.3345375061035156,3.4311537883323444,0.0,20.39543185684846,230.875,94.75,0.012147154998092446,0.0,0.0,-0.37590481176534773,0.9637958745162678
Hard,M3 / Morphological Ridge Restoration,M3-8,Controlled ridge-restoration pipeline,binary ridge map,binary ridge-structure restoration,True,8,0.6485046073794365,0.08647256872986087,0.1844979263842106,0.0321918344826605,0.1844979263842106,0.19571685791015625,4.220292074282314,5.625,24.168364871319216,182.0,98.875,0.012147154998092446,0.0,0.0,0.41323347418462225,4.736728888987024
