path,type,used_by_final_ipynb,used_by_final_py,required_to_run,historical_only,safe_to_delete,reason
.ipynb_checkpoints,directory,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
.ipynb_checkpoints/Fingerprint_Enhancement_System-checkpoint.ipynb,file,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
.ipython,directory,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
.ipython/profile_default,directory,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
.ipython/profile_default/startup,directory,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
.ipython/profile_default/startup/README,file,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
.jupyter-config,directory,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
.jupyter-config/migrated,file,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
__pycache__,directory,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
__pycache__/build_selfcontained_notebook.cpython-311.pyc,file,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
__pycache__/direct24_original_altered_experiment.cpython-314.pyc,file,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
__pycache__/Fingerprint_Enhancement_System.cpython-311.pyc,file,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
__pycache__/focused_psnr_audit_optimisation.cpython-311.pyc,file,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
__pycache__/focused_psnr_audit_optimisation.cpython-314.pyc,file,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
__pycache__/member_fixed_comparison.cpython-314.pyc,file,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
__pycache__/screening24_master_audit.cpython-314.pyc,file,No,No,No,Yes,Yes,"Runtime/cache artefact, not required by final execution."
backups,directory,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
backups/audit_preserve_2026-09-01_184155,directory,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
backups/audit_preserve_2026-09-01_184155/batch_metrics.csv,file,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
backups/audit_preserve_2026-09-01_184155/example_minutiae_overlay.png,file,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
backups/audit_preserve_2026-09-01_184155/experiment_metadata.json,file,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
backups/audit_preserve_2026-09-01_184155/fingerprint_enhancement_report.pdf,file,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
backups/audit_preserve_2026-09-01_184155/Fingerprint_Enhancement_System.ipynb,file,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
backups/audit_preserve_2026-09-01_184155/Fingerprint_Enhancement_System.py,file,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
backups/audit_preserve_2026-09-01_184155/summary_metrics.csv,file,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
backups/Fingerprint_Enhancement_System_before_selfcontained_rebuild.ipynb,file,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
backups/Fingerprint_Enhancement_System_preconsolidation_full.ipynb,file,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
backups/source_truth_repair_2026-09-01_1530,directory,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
backups/source_truth_repair_2026-09-01_1530/Fingerprint_Enhancement_System-checkpoint.ipynb,file,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
backups/source_truth_repair_2026-09-01_1530/Fingerprint_Enhancement_System.current.ipynb,file,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
backups/source_truth_repair_2026-09-01_1530/Fingerprint_Enhancement_System.current.py,file,No,No,No,Yes,Yes,Internal rollback copy; external archive preserves it before deletion.
build_selfcontained_notebook.py,file,No,No,No,Yes,Yes,Development/historical file not referenced by final notebook or final core script.
data,directory,Yes,No,Yes,No,No,Dataset input required for notebook recomputation.
data/SOCOFing/Altered,directory,Yes,No,Yes,No,No,Dataset input required for notebook recomputation.
data/SOCOFing/PLACE_DATASET_HERE.txt,file,Yes,No,Yes,No,No,Dataset input required for notebook recomputation.
data/SOCOFing/Real,directory,Yes,No,Yes,No,No,Dataset input required for notebook recomputation.
direct24_original_altered_experiment.py,file,No,No,No,Yes,Yes,Development/historical file not referenced by final notebook or final core script.
environment.yml,file,No,No,Yes,No,No,"Documents reproducible dependencies, including OpenCV."
final_holdout_validation.py,file,No,No,No,Yes,Yes,Development/historical file not referenced by final notebook or final core script.
final_large_validation.py,file,No,No,No,Yes,Yes,Development/historical file not referenced by final notebook or final core script.
finalise_selfcontained_notebook.py,file,No,No,No,Yes,Yes,Development/historical file not referenced by final notebook or final core script.
Fingerprint_Enhancement_System.ipynb,file,Yes,No,Yes,No,No,Primary academic assignment notebook; must remain.
Fingerprint_Enhancement_System.py,file,No,Yes,Yes,No,No,Final reusable core preserved for future GUI/backend work.
FOCUSED_AUDIT_REPORT.md,file,No,No,No,Yes,Yes,Development/historical file not referenced by final notebook or final core script.
focused_psnr_audit_optimisation.py,file,No,No,No,Yes,Yes,Development/historical file not referenced by final notebook or final core script.
hybrid24_compatibility_experiment.py,file,No,No,No,Yes,Yes,Development/historical file not referenced by final notebook or final core script.
member_allocation_consolidation.py,file,No,No,No,Yes,Yes,Development/historical file not referenced by final notebook or final core script.
member_fixed_comparison.py,file,No,No,No,Yes,Yes,Development/historical file not referenced by final notebook or final core script.
outputs,directory,No,No,No,No,No,Directory kept for fresh notebook outputs and cleanup audit files; old contents removed.
outputs/advanced_dev_batch_metrics.csv,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/advanced_dev_metadata.json,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/advanced_dev_minutiae_counts.csv,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/advanced_dev_parameter_search.csv,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/advanced_dev_run.log,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/advanced_dev_stage_metrics.csv,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/advanced_dev_summary_metrics.csv,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/advanced_development_report.md,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/baseline_method_classification.csv,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/batch_metrics.csv,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/direct24_family_summary.csv,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/direct24_hybrid_stage_metrics.csv,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/direct24_metadata.json,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/direct24_per_image_metrics.csv,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/direct24_per_severity_summary.csv,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/direct24_report.md,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
outputs/direct24_run.log,file,No,No,No,Yes,Yes,Historical generated output; final notebook recomputes results and does not read this file.
