severity,selection_index,filename,relative_path,selection_seed,runtime_seconds,coherence_before,coherence_after,delta_coherence,contrast_before,contrast_after,delta_contrast,fragmentation_before,fragmentation_after,delta_fragmentation,continuity_before,continuity_after,delta_continuity,ridge_coverage_before,ridge_coverage_after,delta_ridge_coverage,outlier_group,retained,visual_observation
Hard,113,53__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Hard\53__M_Left_thumb_finger_CR.BMP,20260906,0.13203010000006543,0.7223303914070129,0.7380815148353577,0.015751123428344727,0.2806341052055359,0.2779942750930786,-0.0026398301124572754,6.473438022051454,6.441897431607128,-0.031540590444326,18.295731707317074,18.322085889570552,0.02635418225347763,0.3653564453125,0.364776611328125,-0.000579833984375,largest_coherence_decrease,True,Exported when selected as a severity weakest/difficult example; interpret with fixed-range image.
Easy,40,226__M_Right_index_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\226__M_Right_index_finger_Obl.BMP,20260904,0.08349670000006881,0.7583221197128296,0.7745417952537537,0.016219675540924072,0.25451844930648804,0.25197699666023254,-0.002541452646255493,1.5166835187057635,1.5559964212082311,0.03931290250246766,47.3609022556391,47.770992366412216,0.41009011077311897,0.392364501953125,0.3922576904296875,-0.0001068115234375,largest_coherence_decrease,True,Exported when selected as a severity weakest/difficult example; interpret with fixed-range image.
Hard,98,53__M_Right_ring_finger_CR.BMP,data\SOCOFing\Altered\Altered-Hard\53__M_Right_ring_finger_CR.BMP,20260906,0.11602769999990414,0.739172101020813,0.7556314468383789,0.016459345817565918,0.26773449778556824,0.2655808925628662,-0.0021536052227020264,3.0659752450887616,3.0658591975775926,-0.00011604751116900403,30.735,31.0,0.26500000000000057,0.4031219482421875,0.40313720703125,1.52587890625e-05,largest_coherence_decrease,True,Exported when selected as a severity weakest/difficult example; interpret with fixed-range image.
Hard,196,226__M_Right_index_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Hard\226__M_Right_index_finger_Obl.BMP,20260906,0.09055190000026414,0.7450156211853027,0.7630840539932251,0.018068432807922363,0.25104257464408875,0.24832624197006226,-0.0027163326740264893,1.6697145583207442,1.628211746952067,-0.041502811368677284,43.267605633802816,44.9264705882353,1.658864954432481,0.383819580078125,0.3842315673828125,0.0004119873046875,largest_coherence_decrease,True,Exported when selected as a severity weakest/difficult example; interpret with fixed-range image.
Easy,329,372__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\372__M_Left_index_finger_CR.BMP,20260904,0.08118279999962397,0.541878879070282,0.5599718689918518,0.018092989921569824,0.14342255890369415,0.14022734761238098,-0.0031952112913131714,0.892482150356993,0.843614889802805,-0.048867260554188,58.644067796610166,64.28301886792453,5.638951071314359,0.2906494140625,0.289398193359375,-0.001251220703125,largest_coherence_decrease,True,Exported when selected as a severity weakest/difficult example; interpret with fixed-range image.
Easy,181,152__M_Right_ring_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\152__M_Right_ring_finger_CR.BMP,20260904,0.08072080000010828,0.5337734818458557,0.5520502328872681,0.018276751041412354,0.17300695180892944,0.17060264945030212,-0.0024043023586273193,5.1415094339622645,5.154882951052258,0.01337351708999357,14.490963855421686,14.79076923076923,0.29980537534754426,0.323486328125,0.3226470947265625,-0.0008392333984375,largest_coherence_decrease,True,Exported when selected as a severity weakest/difficult example; interpret with fixed-range image.
Hard,171,186__M_Left_little_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Hard\186__M_Left_little_finger_Zcut.BMP,20260906,0.0887588999999025,0.53471839427948,0.5548071265220642,0.02008873224258423,0.14047251641750336,0.13757124543190002,-0.0029012709856033325,0.28961722257083555,0.33918015311561195,0.049562930544776396,52.94318181818182,58.91139240506329,5.968210586881469,0.3161163330078125,0.314910888671875,-0.0012054443359375,largest_coherence_decrease,True,Exported when selected as a severity weakest/difficult example; interpret with fixed-range image.
Easy,308,59__F_Left_thumb_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\59__F_Left_thumb_finger_Zcut.BMP,20260904,0.08204579999983252,0.5874972939491272,0.6076783537864685,0.02018105983734131,0.1705421656370163,0.1680421382188797,-0.0025000274181365967,0.3239540910773787,0.32441952078602215,0.0004654297086434389,82.59183673469387,82.20408163265306,-0.3877551020408134,0.3297119140625,0.3292388916015625,-0.0004730224609375,largest_coherence_decrease,True,Exported when selected as a severity weakest/difficult example; interpret with fixed-range image.
Medium,377,82__M_Left_middle_finger_CR.BMP,data\SOCOFing\Altered\Altered-Medium\82__M_Left_middle_finger_CR.BMP,20260905,0.08504169999969236,0.5214971899986267,0.5422027707099915,0.020705580711364746,0.15581150352954865,0.1526910662651062,-0.003120437264442444,5.83394743306313,5.7742456227492855,-0.05970181031384403,14.424778761061948,14.985915492957746,0.5611367318957985,0.24847412109375,0.245758056640625,-0.002716064453125,largest_coherence_decrease,True,Exported when selected as a severity weakest/difficult example; interpret with fixed-range image.
Easy,79,7__M_Left_ring_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\7__M_Left_ring_finger_Zcut.BMP,20260904,0.0807608000000073,0.5982761383056641,0.6190255880355835,0.020749449729919434,0.17398622632026672,0.17152541875839233,-0.0024608075618743896,0.41751910149889354,0.41860270417346895,0.0010836026745754124,52.07,53.873684210526314,1.8036842105263133,0.3654632568359375,0.3645172119140625,-0.000946044921875,largest_coherence_decrease,True,Exported when selected as a severity weakest/difficult example; interpret with fixed-range image.
Medium,436,120__M_Left_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Medium\120__M_Left_middle_finger_Obl.BMP,20260905,0.08186819999991712,0.5887556672096252,0.7002551555633545,0.11149948835372925,0.11772746592760086,0.1063135489821434,-0.011413916945457458,2.6789131266743205,3.8428971536507524,1.1639840269764319,19.172897196261683,18.634730538922156,-0.5381666573395272,0.2790985107421875,0.2342681884765625,-0.044830322265625,largest_fragmentation_increase,True,Exported when selected as a severity weakest/difficult example; interpret with fixed-range image.
