filename,subject_id,split,deterministic_subject_score,subject_rank,path
380__M_Left_index_finger.BMP,380,development,004b8c590e44c2388865cbbe17f1cdbf72c0a84afdb157c4caa18a76cc50c0aa,1,C:\Users\Acer\Documents\GitHub\ImageProcessing\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Project\data\SOCOFing\Real\380__M_Left_index_finger.BMP
380__M_Left_little_finger.BMP,380,development,004b8c590e44c2388865cbbe17f1cdbf72c0a84afdb157c4caa18a76cc50c0aa,1,C:\Users\Acer\Documents\GitHub\ImageProcessing\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Project\data\SOCOFing\Real\380__M_Left_little_finger.BMP
380__M_Left_middle_finger.BMP,380,development,004b8c590e44c2388865cbbe17f1cdbf72c0a84afdb157c4caa18a76cc50c0aa,1,C:\Users\Acer\Documents\GitHub\ImageProcessing\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Project\data\SOCOFing\Real\380__M_Left_middle_finger.BMP
380__M_Left_ring_finger.BMP,380,development,004b8c590e44c2388865cbbe17f1cdbf72c0a84afdb157c4caa18a76cc50c0aa,1,C:\Users\Acer\Documents\GitHub\ImageProcessing\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Project\data\SOCOFing\Real\380__M_Left_ring_finger.BMP
380__M_Left_thumb_finger.BMP,380,development,004b8c590e44c2388865cbbe17f1cdbf72c0a84afdb157c4caa18a76cc50c0aa,1,C:\Users\Acer\Documents\GitHub\ImageProcessing\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Project\data\SOCOFing\Real\380__M_Left_thumb_finger.BMP
380__M_Right_index_finger.BMP,380,development,004b8c590e44c2388865cbbe17f1cdbf72c0a84afdb157c4caa18a76cc50c0aa,1,C:\Users\Acer\Documents\GitHub\ImageProcessing\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Project\data\SOCOFing\Real\380__M_Right_index_finger.BMP
380__M_Right_little_finger.BMP,380,development,004b8c590e44c2388865cbbe17f1cdbf72c0a84afdb157c4caa18a76cc50c0aa,1,C:\Users\Acer\Documents\GitHub\ImageProcessing\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Project\data\SOCOFing\Real\380__M_Right_little_finger.BMP
380__M_Right_middle_finger.BMP,380,development,004b8c590e44c2388865cbbe17f1cdbf72c0a84afdb157c4caa18a76cc50c0aa,1,C:\Users\Acer\Documents\GitHub\ImageProcessing\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Project\data\SOCOFing\Real\380__M_Right_middle_finger.BMP
380__M_Right_ring_finger.BMP,380,development,004b8c590e44c2388865cbbe17f1cdbf72c0a84afdb157c4caa18a76cc50c0aa,1,C:\Users\Acer\Documents\GitHub\ImageProcessing\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Project\data\SOCOFing\Real\380__M_Right_ring_finger.BMP
380__M_Right_thumb_finger.BMP,380,development,004b8c590e44c2388865cbbe17f1cdbf72c0a84afdb157c4caa18a76cc50c0aa,1,C:\Users\Acer\Documents\GitHub\ImageProcessing\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Jupyter_Project\Fingerprint_Enhancement_Project\data\SOCOFing\Real\380__M_Right_thumb_finger.BMP
