filename,subject_id,candidate,member,parameters_json,baseline_psnr,baseline_ssim,baseline_mse,psnr,ssim,mse,delta_psnr,delta_ssim,delta_mse,mean_absolute_change,runtime_seconds
135__F_Left_thumb_finger.BMP,135,"M2 Hybrid NLM-Gabor (nlm_h=0.06, gabor_blend=0.02, frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, gabor_strength=0.12, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Hybrid NLM-Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gabor_blend"": 0.02, ""gabor_strength"": 0.12, ""gamma"": 0.5, ""nlm_h"": 0.06, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55}",27.40938655376724,0.8404738877059519,0.0018157721246788688,29.70898554174635,0.958226922950983,0.0010693046264023108,2.2995989879791097,0.11775303524503111,-0.000746467498276558,0.017451610416173935,0.22090419998858124
339__M_Right_index_finger.BMP,339,"M2 Hybrid NLM-Gabor (nlm_h=0.06, gabor_blend=0.02, frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, gabor_strength=0.12, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Hybrid NLM-Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gabor_blend"": 0.02, ""gabor_strength"": 0.12, ""gamma"": 0.5, ""nlm_h"": 0.06, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55}",27.13878511628046,0.8817343702910244,0.0019325088362432837,28.557146613591943,0.931061167353034,0.0013940724307113426,1.4183614973114835,0.0493267970620096,-0.0005384364055319411,0.015081336721777916,0.21875649999128655
160__M_Left_middle_finger.BMP,160,"M2 Hybrid NLM-Gabor (nlm_h=0.06, gabor_blend=0.02, frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, gabor_strength=0.12, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Hybrid NLM-Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gabor_blend"": 0.02, ""gabor_strength"": 0.12, ""gamma"": 0.5, ""nlm_h"": 0.06, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55}",27.146254995156678,0.8256858516879678,0.0019291877718492464,30.016792309800543,0.9411769942634106,0.0009961408933428601,2.8705373146438653,0.1154911425754428,-0.0009330468785063862,0.022039271891117096,0.2194463000050746
500__M_Left_ring_finger.BMP,500,"M2 Hybrid NLM-Gabor (nlm_h=0.06, gabor_blend=0.02, frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, gabor_strength=0.12, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Hybrid NLM-Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gabor_blend"": 0.02, ""gabor_strength"": 0.12, ""gamma"": 0.5, ""nlm_h"": 0.06, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55}",27.295580705283417,0.8248268218860626,0.0018639829240834243,29.2429817775027,0.9280175192747117,0.0011904244062214695,1.9474010722192823,0.10319069738864906,-0.0006735585178619548,0.018941937014460564,0.21729289999348111
393__M_Right_ring_finger.BMP,393,"M2 Hybrid NLM-Gabor (nlm_h=0.06, gabor_blend=0.02, frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, gabor_strength=0.12, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Hybrid NLM-Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gabor_blend"": 0.02, ""gabor_strength"": 0.12, ""gamma"": 0.5, ""nlm_h"": 0.06, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55}",27.53648716712822,0.8377262864155174,0.0017634018143036256,29.74007996426842,0.9485369917449952,0.0010616760089588843,2.2035927971401996,0.11081070532947779,-0.0007017258053447412,0.017732085660099983,0.2211302999930922
151__M_Right_middle_finger.BMP,151,"M2 Hybrid NLM-Gabor (nlm_h=0.06, gabor_blend=0.02, frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, gabor_strength=0.12, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Hybrid NLM-Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gabor_blend"": 0.02, ""gabor_strength"": 0.12, ""gamma"": 0.5, ""nlm_h"": 0.06, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55}",27.413045160037356,0.8508284536483288,0.0018142431165645374,29.755795026411587,0.9591603937277794,0.001057841248162589,2.3427498663742305,0.10833194007945057,-0.0007564018684019485,0.01881296932697296,0.22694599998067133
265__M_Left_thumb_finger.BMP,265,"M2 Hybrid NLM-Gabor (nlm_h=0.06, gabor_blend=0.02, frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, gabor_strength=0.12, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Hybrid NLM-Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gabor_blend"": 0.02, ""gabor_strength"": 0.12, ""gamma"": 0.5, ""nlm_h"": 0.06, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55}",27.243867806531142,0.8530412479772568,0.0018863106612669986,29.516000715160814,0.9338519037119151,0.0011178922066263362,2.272132908629672,0.08081065573465829,-0.0007684184546406625,0.020127439871430397,0.21395919998758473
458__M_Right_ring_finger.BMP,458,"M2 Hybrid NLM-Gabor (nlm_h=0.06, gabor_blend=0.02, frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, gabor_strength=0.12, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Hybrid NLM-Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gabor_blend"": 0.02, ""gabor_strength"": 0.12, ""gamma"": 0.5, ""nlm_h"": 0.06, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55}",28.07503863890942,0.7279435409357548,0.0015577441756170914,30.756603047069095,0.9148620167661905,0.0008401168499385917,2.6815644081596766,0.18691847583043575,-0.0007176273256784997,0.022613096982240677,0.21807350000017323
384__F_Left_index_finger.BMP,384,"M2 Hybrid NLM-Gabor (nlm_h=0.06, gabor_blend=0.02, frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, gabor_strength=0.12, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Hybrid NLM-Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gabor_blend"": 0.02, ""gabor_strength"": 0.12, ""gamma"": 0.5, ""nlm_h"": 0.06, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55}",27.585880267422205,0.7939810056756735,0.0017434599413858843,29.337372844093707,0.9570366008310318,0.001164830451391707,1.7514925766715024,0.16305559515535828,-0.0005786294899941774,0.014903333969414234,0.2181951999955345
578__M_Right_middle_finger.BMP,578,"M2 Hybrid NLM-Gabor (nlm_h=0.06, gabor_blend=0.02, frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, gabor_strength=0.12, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Hybrid NLM-Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gabor_blend"": 0.02, ""gabor_strength"": 0.12, ""gamma"": 0.5, ""nlm_h"": 0.06, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55}",27.115185164320064,0.891818957228303,0.0019430388473181024,28.905886993112695,0.9286062954490185,0.0012865044734658433,1.7907018287926313,0.03678733822071556,-0.0006565343738522591,0.01857287995517254,0.21911269999691285
