split,filename,subject_id,method,parameters_json,baseline_psnr,baseline_ssim,baseline_mse,psnr,ssim,mse,delta_psnr,delta_ssim,delta_mse,mean_absolute_change,runtime_seconds
development,380__M_Left_index_finger.BMP,380,M1 NLM,"{""h"": 0.07}",27.39224514157606,0.8241426620333194,0.001822953059489075,29.769167038883083,0.9352890615515709,0.0010545891433809695,2.3769218973070245,0.11114639951825145,-0.0007683639161081054,0.023507989943027496,0.46215590000065276
development,380__M_Left_little_finger.BMP,380,M1 NLM,"{""h"": 0.07}",27.71736251270148,0.7666588592921495,0.0016914678547986946,30.51937339027959,0.940722012606144,0.000887284022111549,2.802010877578109,0.17406315331399447,-0.0008041838326871456,0.022026896476745605,0.48876649999874644
development,380__M_Left_middle_finger.BMP,380,M1 NLM,"{""h"": 0.07}",27.121060618568507,0.8799680408276915,0.0019404119392070196,29.199064117086447,0.9477517402496338,0.0012025235445146667,2.0780034985179405,0.06778369942194229,-0.0007378883946923529,0.020986970514059067,0.47680169999512145
development,380__M_Left_ring_finger.BMP,380,M1 NLM,"{""h"": 0.07}",27.285753289932494,0.8393499275820852,0.0018682056062418646,29.244488470498602,0.9331468044641018,0.001190011485242923,1.9587351805661086,0.09379687688201666,-0.0006781941209989416,0.021802283823490143,0.4717159000065294
development,380__M_Left_thumb_finger.BMP,380,M1 NLM,"{""h"": 0.07}",26.99028703291933,0.9075991768866778,0.001999729699585501,29.093124517914934,0.9509315833996534,0.0012322179989098195,2.1028374849956037,0.04333240651297565,-0.0007675117006756816,0.020427744835615158,0.4814994000043953
development,380__M_Right_index_finger.BMP,380,M1 NLM,"{""h"": 0.07}",27.368707254437247,0.8433519870930314,0.0018328599206484284,29.48680960148904,0.9363827837872505,0.0011254314307573689,2.118102347051792,0.0930307966942191,-0.0007074284898910595,0.025033943355083466,0.4844359000053373
development,380__M_Right_little_finger.BMP,380,M1 NLM,"{""h"": 0.07}",27.631904571796152,0.757674889871031,0.0017250812023077028,30.3101773160786,0.9209748284921646,0.0009310698604725325,2.6782727442824488,0.16329993862113357,-0.0007940113418351703,0.024360444396734238,0.4870269999955781
development,380__M_Right_middle_finger.BMP,380,M1 NLM,"{""h"": 0.07}",27.17154990964595,0.8700292221297026,0.0019179841285608963,29.364317108457545,0.936620980635047,0.0011576260447401377,2.1927671988115947,0.06659175850534438,-0.0007603580838207585,0.025405146181583405,0.46338680000189925
development,380__M_Right_ring_finger.BMP,380,M1 NLM,"{""h"": 0.07}",27.430048920692375,0.7953303607811034,0.0018071537693830535,30.032581472676636,0.9197056722035408,0.0009925259096414893,2.602532551984261,0.1243753114224374,-0.0008146278597415642,0.025805111974477768,0.4407162999996217
development,380__M_Right_thumb_finger.BMP,380,M1 NLM,"{""h"": 0.07}",27.05838210736847,0.8953427772864699,0.001968619529933384,29.427850814387586,0.9581813753983974,0.0011408142006505227,2.3694687070191165,0.06283859811192749,-0.0008278053292828614,0.022332370281219482,0.4556341000061366
development,600__M_Left_index_finger.BMP,600,M1 NLM,"{""h"": 0.07}",27.35319272178306,0.8397514104789794,0.001839419252730077,29.442387347075062,0.9304493778853417,0.001137002096016615,2.089194625292002,0.09069796740636227,-0.000702417156713462,0.02396559901535511,0.42104010000184644
development,600__M_Left_little_finger.BMP,600,M1 NLM,"{""h"": 0.07}",27.75017516117653,0.7569456012638808,0.001678736309374416,30.08770595342216,0.9328551948229075,0.0009800075119501235,2.33753079224563,0.1759095935590267,-0.0006987287974242924,0.024172194302082062,0.44698179999977583
development,600__M_Left_middle_finger.BMP,600,M1 NLM,"{""h"": 0.07}",27.44947810926937,0.8171206154738665,0.0017990870980429466,29.854570622095014,0.9458590700540542,0.0010340533306268432,2.405092512825643,0.12873845458018773,-0.0007650337674161034,0.02430633082985878,0.45568510000157403
development,600__M_Left_ring_finger.BMP,600,M1 NLM,"{""h"": 0.07}",27.310341456038962,0.8390093911606371,0.001857658394379474,29.24965271762502,0.9367816147332192,0.0011885972694871507,1.939311261586056,0.09777222357258208,-0.0006690611248923234,0.023182610049843788,0.46653730000252835
development,600__M_Left_thumb_finger.BMP,600,M1 NLM,"{""h"": 0.07}",27.207857503343792,0.875479294952333,0.0019020163666061496,29.204641902144427,0.935543473823905,0.0012009800958401166,1.996784398800635,0.060064178871572005,-0.000701036270766033,0.021244745701551437,0.48238340000534663
development,600__M_Right_index_finger.BMP,600,M1 NLM,"{""h"": 0.07}",27.305187216878938,0.8529470467790365,0.0018598643859407287,29.044117533739808,0.9194934928939342,0.0012462014339016316,1.7389303168608699,0.06654644611489768,-0.0006136629520390971,0.023475302383303642,0.4653394000051776
development,600__M_Right_little_finger.BMP,600,M1 NLM,"{""h"": 0.07}",27.918805267842984,0.7369490548488498,0.001614802723510412,30.36673182480667,0.9410568482803107,0.0009190239249451988,2.4479265569636866,0.2041077934314609,-0.0006957787985652132,0.020462486892938614,0.4511015000025509
development,600__M_Right_middle_finger.BMP,600,M1 NLM,"{""h"": 0.07}",27.34016167642271,0.8407204843213558,0.001844946735382432,29.323185549753404,0.9405820149240494,0.0011686418778210162,1.9830238733306942,0.09986153060269354,-0.0006763048575614157,0.021938325837254524,0.44504410000081407
development,600__M_Right_ring_finger.BMP,600,M1 NLM,"{""h"": 0.07}",27.513543547532386,0.804082875896126,0.0017727424533858249,29.709806488826892,0.9458763718622923,0.0010691025147974555,2.1962629412945063,0.1417934959661663,-0.0007036399385883694,0.02244618907570839,0.4532753999956185
development,600__M_Right_thumb_finger.BMP,600,M1 NLM,"{""h"": 0.07}",27.40887796153935,0.8515884021518827,0.0018159847780061798,29.163041994435087,0.9268603696324825,0.0012125392357744803,1.754164032895737,0.07527196748059983,-0.0006034455422316994,0.020587412640452385,0.4732612999941921
development,501__M_Left_index_finger.BMP,501,M1 NLM,"{""h"": 0.07}",27.43685245746518,0.8191895882745981,0.0018043249488174829,29.25418896173372,0.9162159593257904,0.0011873564173253601,1.8173365042685425,0.09702637105119227,-0.0006169685314921227,0.023717254400253296,0.44744139999966137
