candidate,images,mean_psnr,std_psnr,median_psnr,min_psnr,max_psnr,mean_ssim,std_ssim,median_ssim,min_ssim,max_ssim,mean_mse,std_mse,median_mse,min_mse,max_mse,mean_delta_psnr,mean_delta_ssim,mean_delta_mse,mean_absolute_change
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.12, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.394693326459088,0.2965150575861642,27.34930614860359,26.805521253416224,28.232395944117595,0.8337484547299076,0.052745570744327994,0.8506096794340611,0.7013777293177546,0.9128310891419054,0.0018259872065235735,0.00012013598677705453,0.0018410670649974896,0.0015023129316329535,0.002086641663819558,0.009912194883610965,0.0003744978864938031,-4.121047490095423e-06,0.0002733784544398077
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.1, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.393150713506465,0.2962139983385244,27.348081123526583,26.80474653625486,28.229627010950477,0.8336866574247188,0.05275271365146443,0.8505574444022179,0.7013039545563757,0.9127776784726679,0.0018266277989687438,0.00012006186075900166,0.0018415864416389549,0.0015032710673319035,0.002087013923050901,0.008369581930988588,0.00031270058130502545,-3.4804550449252454e-06,0.00022799174912506713
"M2 Modified Gabor (frequencies=0.07/0.085/0.105/0.125/0.15, orientation_bins=12, strength=0.08, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.39183404325048,0.29598543855413223,27.346959936759326,26.80405800306998,28.22756384795121,0.8336453786478615,0.0527568933129026,0.8505240348269343,0.7012481085380614,0.9127412109751701,0.0018271754662396334,0.00012000741742476659,0.00184206188709522,0.0015039853822009417,0.002087344825772201,0.0070529116750002886,0.0002714218044477712,-2.932787774035622e-06,0.00017639251076616346
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, strength=0.08, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.39165041741293,0.2959642694822627,27.34686358081976,26.80377608469999,28.22702887854434,0.8336255831578153,0.05275912882035979,0.8505066048825085,0.7012369918738306,0.912723533054173,0.0018272522392458704,0.00012000814478502313,0.0018421028323588283,0.0015041706564234776,0.002087480328288473,0.0068692858374524235,0.00025162631440162064,-2.8560147677986247e-06,0.00018747199792414903
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=16, strength=0.08, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.391567596267386,0.2959046304776299,27.346836057340436,26.80398732643695,28.226788233228813,0.8336247780440462,0.052760083467835,0.8505052479160726,0.701228174195379,0.9127252123935222,0.0018272854343578371,0.0001199851838820354,0.001842114476745307,0.0015042540057788182,0.0020873787952815615,0.006786464691908165,0.00025082120063244726,-2.8228196558319597e-06,0.0001814277798985131
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.08, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.39156475621082,0.2959063612247745,27.346825012955456,26.80393319677638,28.226777601027983,0.8336246040348226,0.052759944558788206,0.8505049754206836,0.7012297644835412,0.912724150004983,0.0018272866868776932,0.00011998643215698144,0.0018421191476862104,0.001504257688429861,0.0020874048121467333,0.006783624635343344,0.00025064719140886814,-2.8215671359757296e-06,0.00018253332935273649
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.06, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.389935067896637,0.29559211493223136,27.345538042377335,26.803082205975958,28.223846175842958,0.8335623220339471,0.05276721903351693,0.8504522802097201,0.7011554000844359,0.9126704365030825,0.0018279640524624017,0.00011990970031276352,0.0018426650991928287,0.0015052733834492417,0.002087813874756205,0.005153936321158739,0.00018836519053339718,-2.1442015512673642e-06,0.00013700411960599013
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.04, orientation_offset=1.5708, sigma_scale=0.5, gamma=0.5, detail_clip=0.1)",50,27.388544813830485,0.2953233384427393,27.344442848772434,26.80236434975541,28.221292082059364,0.8335106654149019,0.05277355971208731,0.850408234308213,0.7010920184978843,0.9126266125549972,0.0018285420871473447,0.00011984396340372973,0.0018431298288586924,0.0015061588978373067,0.0020881590032606435,0.0037636822550098257,0.00013670857148825543,-1.5661668663241373e-06,9.388308360939845e-05
"M2 Modified Gabor (frequencies=0.07/0.085/0.105/0.125/0.15, orientation_bins=12, strength=0.04, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.38839323342069,0.29531109676206796,27.344286698353663,26.80224361130361,28.221226402859507,0.8335099628158195,0.05277306036026914,0.8504087869532704,0.7010895661270022,0.9126252857108712,0.0018286055582079394,0.00011984240958301015,0.0018431960736249203,0.0015061816759437325,0.0020882170570928507,0.0036121018452098495,0.00013600597240567058,-1.5026958057296185e-06,8.833942069031763e-05
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, strength=0.04, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.388307034882565,0.29529975632139527,27.34424237079613,26.802122593253692,28.220961696181988,0.8335002773011255,0.0527741241200009,0.8504001767457425,0.701084461305648,0.9126165810056924,0.0018286415897428515,0.00011984228133370572,0.001843214924684656,0.0015062734819681022,0.0020882752469818756,0.0035259033070865796,0.00012632045771180379,-1.4666642708175294e-06,9.38761283759959e-05
