stage,seconds
dataset audit and subject-disjoint split,9.882903600002464
P0 loading and controlled degradation cache,14.62233600000036
M1 NLM parameter search,77.88002950000373
M2 Modified Gabor parameter search,422.2380659000046
M3 TV parameter search,60.713930699996126
M4 Directional Diffusion parameter search,395.0580964000037
development four-member comparison,494.2106300000014
validation four-member comparison,956.3156908000019
supplementary altered structural evaluation,1013.3671965999965
complete workflow,3476.745229
