severity,method,count,paired_clean_reference_available,mean_coherence_before,mean_contrast_before,mean_fragmentation_before,mean_continuity_before,mean_ridge_coverage_before,mean_coherence_after,mean_contrast_after,mean_fragmentation_after,mean_continuity_after,mean_ridge_coverage_after,mean_delta_coherence,mean_delta_contrast,mean_delta_fragmentation,mean_delta_continuity,mean_delta_ridge_coverage
Altered-Easy,M1 NLM,500,False,0.6582977079749107,0.18571438397467135,4.474200766921346,26.026834660882674,0.37469588266595827,0.7285674257874489,0.1776708744764328,3.2124687906414406,32.913184409331485,0.36780797795077774,0.07026971781253814,-0.008043509498238564,-1.2617319762799037,6.886349748448817,-0.0068879047151805236
Altered-Easy,M2 Modified Gabor,500,False,0.6582977079749107,0.18571438397467135,4.474200766921346,26.026834660882674,0.37469588266595827,0.6591229072213173,0.18585102373361587,4.473170758357028,26.032937258165042,0.3747545691655537,0.0008251992464065552,0.0001366397589445114,-0.0010300085643157222,0.00610259728237007,5.868649959541683e-05
Altered-Easy,M3 TV,500,False,0.6582977079749107,0.18571438397467135,4.474200766921346,26.026834660882674,0.37469588266595827,0.6751826498508453,0.1772290088534355,4.020671055400136,27.084965094647416,0.37155976195423146,0.0168849418759346,-0.008485375121235848,-0.4535297115212089,1.058130433764743,-0.003136120711726806
Altered-Easy,M4 Directional Diffusion,500,False,0.6582977079749107,0.18571438397467135,4.474200766921346,26.026834660882674,0.37469588266595827,0.6619070187211037,0.1805614032894373,4.483407526863661,25.999522461175868,0.3721398436145784,0.0036093107461929322,-0.00515298068523407,0.009206759942315734,-0.027312199706805308,-0.0025560390513799077
Altered-Hard,M1 NLM,500,False,0.6434442365169525,0.17909290754795074,5.729496480349586,19.61629385786768,0.36338146648119174,0.7182381769418716,0.16989751076698303,4.148096666590866,24.886288726307345,0.3551089072033921,0.07479394042491913,-0.009195396780967712,-1.5813998137587209,5.269994868439662,-0.008272559277799598
Altered-Hard,M2 Modified Gabor,500,False,0.6434442365169525,0.17909290754795074,5.729496480349586,19.61629385786768,0.36338146648119174,0.6441867473125458,0.17924252393841744,5.726136798721302,19.620562153936326,0.36346428740982106,0.0007425107955932617,0.00014961639046669005,-0.0033596816282839255,0.004268296068643913,8.2820928629332e-05
Altered-Hard,M3 TV,500,False,0.6434442365169525,0.17909290754795074,5.729496480349586,19.61629385786768,0.36338146648119174,0.6603469863533974,0.17083410400152207,5.209948856510658,20.096579864652504,0.35942632808599195,0.016902749836444856,-0.00825880354642868,-0.5195476238389287,0.48028600678482414,-0.0039551383951997926
Altered-Hard,M4 Directional Diffusion,500,False,0.6434442365169525,0.17909290754795074,5.729496480349586,19.61629385786768,0.36338146648119174,0.6465273536443711,0.17451046623289584,5.75865578964065,19.49591364429896,0.36095368883893936,0.0030831171274185182,-0.004582441315054893,0.029159309291064604,-0.12038021356872158,-0.0024277776422524156
Altered-Medium,M1 NLM,500,False,0.6507559566497803,0.18311812041699888,5.264775951809135,21.546367428772996,0.36969898166367793,0.7232728133201599,0.17442514941096307,3.860249140380955,26.888116545640692,0.36224261052372764,0.07251685667037965,-0.008692971006035805,-1.4045268114281795,5.341749116867695,-0.007456371139950294
Altered-Medium,M2 Modified Gabor,500,False,0.6507559566497803,0.18311812041699888,5.264775951809135,21.546367428772996,0.36969898166367793,0.651556066930294,0.18326516123116016,5.261316227856598,21.552503283027953,0.3697726230717499,0.0008001102805137634,0.00014704081416130066,-0.0034597239525357443,0.006135854254958981,7.364140807195407e-05
Altered-Medium,M3 TV,500,False,0.6507559566497803,0.18311812041699888,5.264775951809135,21.546367428772996,0.36969898166367793,0.6672860180139542,0.17464147675037384,4.809821396995213,22.15683985959526,0.36624088978058456,0.016530061364173888,-0.008476643666625023,-0.45495455481392083,0.6104724308222641,-0.0034580918830934065
Altered-Medium,M4 Directional Diffusion,500,False,0.6507559566497803,0.18311812041699888,5.264775951809135,21.546367428772996,0.36969898166367793,0.6537689259648323,0.1781553812623024,5.294405019300533,21.430271195721804,0.36722828247527756,0.0030129693150520325,-0.004962739154696465,0.029629067491399298,-0.11609623305119526,-0.002470699188400402
Overall,M1 NLM,1500,False,0.6508326337138812,0.18264180397987365,5.156157733026689,22.396498649174454,0.36925877693694265,0.7233594720164935,0.17399784488479297,3.740271532537754,28.22919656042651,0.36171983189263257,0.0725268383026123,-0.008643959095080693,-1.4158862004889348,5.832697911252058,-0.00753894504431014
Overall,M2 Modified Gabor,1500,False,0.6508326337138812,0.18264180397987365,5.156157733026689,22.396498649174454,0.36925877693694265,0.651621907154719,0.1827862363010645,5.153541261644977,22.402000898376443,0.36933049321570827,0.0007892734408378601,0.00014443232119083405,-0.002616471381711797,0.005502249201990987,7.171627876556763e-05
Overall,M3 TV,1500,False,0.6508326337138812,0.18264180397987365,5.156157733026689,22.396498649174454,0.36925877693694265,0.6676052180727323,0.17423486320177714,4.680147102968669,23.112794939631726,0.36574232660693595,0.016772584358851116,-0.008406940778096518,-0.47601063005801947,0.716296290457277,-0.0035164503300066682
Overall,M4 Directional Diffusion,1500,False,0.6508326337138812,0.18264180397987365,5.156157733026689,22.396498649174454,0.36925877693694265,0.6540677661101023,0.17774241692821185,5.1788227786016146,22.308569100398877,0.3667739383095984,0.003235132396221161,-0.004899387051661809,0.022665045574926546,-0.08792954877557405,-0.0024848386273442417
