candidate,images,mean_psnr,std_psnr,median_psnr,min_psnr,max_psnr,mean_ssim,std_ssim,median_ssim,min_ssim,max_ssim,mean_mse,std_mse,median_mse,min_mse,max_mse,mean_delta_psnr,mean_delta_ssim,mean_delta_mse,mean_absolute_change,runtime_seconds_total,runtime_seconds_mean
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.12, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.39469332646604,0.2965150575328829,27.349306148321944,26.80552125405317,28.232395943713115,0.8337484546627771,0.05274557029500442,0.8506096791132092,0.7013777282002867,0.9128310898761153,0.0018259872065189925,0.00012013598674658539,0.0018410670651168382,0.0015023129317728715,0.002086641663513527,0.009912194890563483,0.0003744978193634729,-4.1210474946766494e-06,0.00027337845560396093,0.0865138999906776,0.001730277999813552
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.1, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.39315071377158,0.29621399786476466,27.348081123747303,26.80474653840352,28.22962701009043,0.8336866575294047,0.05275271345252497,0.8505574456087946,0.7013039573720395,0.9127776759546101,0.0018266277988447455,0.00012006186057965696,0.0018415864415457358,0.0015032710676296018,0.002087013922018358,0.008369582196101889,0.00031270068599103417,-3.4804551689234658e-06,0.00022799174708779902,0.09444620000795112,0.0018889240001590225
"M2 Modified Gabor (frequencies=0.07/0.085/0.105/0.125/0.15, orientation_bins=12, strength=0.08, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.39183404353673,0.2959854384115196,27.34695993707088,26.804058003699055,28.22756384741686,0.8336453786177445,0.05275689361175751,0.8505240354479551,0.7012481084444225,0.9127412125712633,0.0018271754661153973,0.00012000741736350588,0.0018420618869629708,0.0015039853823859898,0.0020873448254698497,0.007052911961253514,0.00027142177433073125,-2.932787898271769e-06,0.00017639251484069974,0.093526100001327,0.0018705220000265399
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, strength=0.08, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.39165041743635,0.2959642692515722,27.34686358182322,26.803776084597594,28.227028878191692,0.8336255830685502,0.052759129148920385,0.8505066041011513,0.7012369860089719,0.9127235328834653,0.001827252239229938,0.00012000814470123626,0.0018421028319331437,0.0015041706565456158,0.0020874803283376896,0.0068692858608699935,0.0002516262251365142,-2.8560147837310278e-06,0.00018747199821518733,0.09717139999338542,0.0019434279998677083
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=16, strength=0.08, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.391567596329352,0.2959046302780731,27.346836058696667,26.803987326415065,28.22678823293769,0.8336247780326903,0.052760083536444236,0.8505052473945618,0.7012281708684266,0.9127252125098705,0.0018272854343265744,0.00011998518381149209,0.0018421144761699038,0.0015042540058796544,0.0020873787952920804,0.006786464753875947,0.00025082118927656884,-2.822819687094734e-06,0.00018142778309993446,0.09553230000892654,0.0019106460001785308
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.08, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.391564756286353,0.29590636096599754,27.34682501368183,26.80393319670192,28.226777600843338,0.8336246040702051,0.05275994453262682,0.8505049751604199,0.7012297604169547,0.9127241505289078,0.0018272866868390186,0.000119986432058239,0.0018421191473780045,0.0015042576884938153,0.0020874048121825224,0.006783624710873824,0.0002506472267913673,-2.821567174650318e-06,0.000182533330807928,0.09032520000255317,0.0018065040000510635
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.06, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.389935068060428,0.2955921147772987,27.34553804258619,26.80308220515528,28.22384617518307,0.8335623220380097,0.052767219034551165,0.8504522803311945,0.7011553995629549,0.9126704339107573,0.001827964052389342,0.00011990970025041463,0.0018426650991040915,0.0015052733836779587,0.002087813875150736,0.005153936484949284,0.00018836519459604074,-2.144201624327169e-06,0.00013700412004254758,0.09066220001113834,0.0018132440002227668
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.04, orientation_offset=1.5708, sigma_scale=0.5, gamma=0.5, detail_clip=0.1)",50,27.38854481395927,0.2953233383971192,27.344442848667338,26.802364349985808,28.221292081984338,0.8335106655177342,0.05277355942883422,0.8504082344697714,0.7010920185103416,0.9126266125803888,0.0018285420870919238,0.00011984396338371677,0.0018431298289029755,0.0015061588978633259,0.002088159003149863,0.0037636823837915046,0.000136708674320567,-1.5661669217450395e-06,9.388308390043676e-05,17.974702900024567,0.35949405800049133
"M2 Modified Gabor (frequencies=0.07/0.085/0.105/0.125/0.15, orientation_bins=12, strength=0.04, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.388393233579407,0.295311096855447,27.344286697634463,26.80224361113367,28.22122640314641,0.8335099629421336,0.05277306042864654,0.8504087886688412,0.7010895662602782,0.9126252855699658,0.0018286055581436566,0.00011984240961651139,0.0018431960739300245,0.0015061816758442314,0.002088217057174566,0.0036121020039311703,0.0001360060987198275,-1.502695870012399e-06,8.8339419598924e-05,22.036684800008516,0.4407336960001703
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, strength=0.04, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.388307035015256,0.2952997561795932,27.344242370999112,26.802122593983512,28.22096169581251,0.8335002774425125,0.05277412391157569,0.8504001776289641,0.7010844613149464,0.9126165812472701,0.0018286415896831157,0.00011984228127270052,0.0018432149245985717,0.001506273482096249,0.0020882752466309467,0.00352590343977802,0.00012632059909879035,-1.4666643305534218e-06,9.387612968566827e-05,11.707505799993669,0.23415011599987337
