stage,seconds
dataset audit and subject-disjoint split,6.679388600001403
P0 loading and controlled degradation cache,28.3130917999988
M1 NLM parameter search,178.25307389999944
M2 Modified Gabor parameter search,927.8852280000028
M3 TV parameter search,83.86822280000342
M4 Directional Diffusion parameter search,299.62788439999713
development four-member comparison,321.1739630000011
validation four-member comparison,617.5887346999953
supplementary altered structural evaluation,929.8386960999997
complete workflow,3410.8962893999997
