experiment,historical_value,notebook_value,absolute_difference,status
Member NLM mean PSNR,29.436598143337637,29.43659814333764,3.552713678800501e-15,MATCH
Member TV mean PSNR,29.18502169570506,29.18502169570506,0.0,MATCH
Member M4 mean PSNR,27.802750362912548,27.802750362912548,0.0,MATCH
Member M2 mean PSNR,25.000203985492032,25.000203966414404,1.907762836594884e-08,MATCH
Fresh 100 mean PSNR,29.644318692233,29.644318692233004,3.552713678800501e-15,MATCH
Final 500 mean PSNR,29.6302935474801,29.63029354748012,2.1316282072803006e-14,MATCH
Final 500 count above 28.17,500.0,500.0,0.0,MATCH
Altered overall coherence delta,0.05724477859338124,0.0572447785933812,4.163336342344337e-17,MATCH
Altered overall fragmentation delta,-0.12772168915397705,-0.127721689153977,5.551115123125783e-17,MATCH
Altered overall contrast delta,-0.00566073506573836,-0.0056607350657383,5.984795992119984e-17,MATCH
