Altered split,Image,Stage,Pipeline candidate ID,Pipeline,Pipeline parameters,Coherence,Local contrast,Sharpness Laplacian variance,ridge_pixels,components,small_components_lt20,fragmentation_per_1000_ridge_pixels
Altered-Easy,100__M_Left_index_finger_CR.BMP,before,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.7615703344345093,0.22480694949626923,1785.9480849967804,26360.0,112.0,13.0,4.24886191198786
Altered-Easy,100__M_Left_index_finger_CR.BMP,after,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.8101440668106079,0.21973806619644165,1510.984512746334,26474.0,98.0,9.0,3.7017451084082498
Altered-Easy,281__M_Left_ring_finger_Zcut.BMP,before,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.6789304614067078,0.2043912261724472,1894.9233047233429,26102.0,155.0,21.0,5.938242280285036
Altered-Easy,281__M_Left_ring_finger_Zcut.BMP,after,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.7195363640785217,0.1992330253124237,1666.3825615635142,26297.0,153.0,19.0,5.818154162071719
Altered-Easy,461__F_Left_little_finger_Obl.BMP,before,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.5717682838439941,0.13768786191940308,846.243403600296,17590.0,121.0,30.0,6.878908470722001
Altered-Easy,461__F_Left_little_finger_Obl.BMP,after,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.6412897109985352,0.130601704120636,606.0129046959337,17531.0,91.0,16.0,5.190804859962352
Altered-Medium,100__M_Left_index_finger_CR.BMP,before,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.7484726905822754,0.21836848556995392,1593.3100845084991,26024.0,118.0,9.0,4.53427605287427
Altered-Medium,100__M_Left_index_finger_CR.BMP,after,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.7997850179672241,0.2127392590045929,1319.6528477072716,26086.0,106.0,9.0,4.063482327685349
Altered-Medium,282__M_Right_little_finger_CR.BMP,before,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.6393790245056152,0.171784907579422,1097.1216689811554,18657.0,122.0,20.0,6.539100605670794
Altered-Medium,282__M_Right_little_finger_CR.BMP,after,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.6915252208709717,0.16693389415740967,915.4821292599663,18648.0,105.0,14.0,5.63063063063063
Altered-Medium,462__M_Left_thumb_finger_Obl.BMP,before,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.6775987148284912,0.1916322112083435,1353.3092300163116,25669.0,105.0,13.0,4.090537223888737
Altered-Medium,462__M_Left_thumb_finger_Obl.BMP,after,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.7240519523620605,0.1876334398984909,1134.076189906603,25303.0,102.0,12.0,4.031142552266529
Altered-Hard,100__M_Left_index_finger_CR.BMP,before,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.7494031190872192,0.21506711840629578,1532.9293777213898,26000.0,112.0,15.0,4.3076923076923075
Altered-Hard,100__M_Left_index_finger_CR.BMP,after,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.8015766739845276,0.20944330096244812,1284.5208286643028,26083.0,102.0,14.0,3.910593106621171
Altered-Hard,285__M_Left_thumb_finger_Obl.BMP,before,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.6557906270027161,0.20133183896541595,1337.4054214225616,25136.0,91.0,5.0,3.6203055378739655
Altered-Hard,285__M_Left_thumb_finger_Obl.BMP,after,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.7026429176330566,0.1958596557378769,1126.75492304191,25201.0,87.0,4.0,3.4522439585730726
Altered-Hard,464__M_Left_little_finger_CR.BMP,before,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.5518267154693604,0.16344082355499268,1601.224360631546,17794.0,95.0,10.0,5.338878273575363
Altered-Hard,464__M_Left_little_finger_CR.BMP,after,NLM_h0.06,Non-local means,"{""backend"": ""cv2"", ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.5712747573852539,0.1616702675819397,1483.2215478932485,17877.0,90.0,8.0,5.034401745259272
