Image,Seed,Stage order,Stage,Parameters,PSNR before (dB),PSNR after (dB),Delta PSNR (dB),MSE after,MSE_255_equivalent after,SSIM after
34__M_Right_ring_finger.BMP,20260902,0,clean_reference,{},inf,inf,,0.0,0.0,1.0
34__M_Right_ring_finger.BMP,20260902,1,blur,"{""blur_sigma"": 1.34}",inf,20.87844534616012,,0.00816874737534692,531.1727980819335,0.8252566654696465
34__M_Right_ring_finger.BMP,20260902,2,low_contrast_illumination,"{""contrast_scale"": 0.681, ""illumination_amplitude"": 0.08800000000000001}",20.87844534616012,15.932821482175552,-4.945623863984569,0.025510434270863663,1658.8159884629097,0.6548784053044701
34__M_Right_ring_finger.BMP,20260902,3,gaussian_noise,"{""gaussian_noise_sigma"": 0.04825}",15.932821482175552,15.568122739317333,-0.36469874285821824,0.027745191459441793,1804.1310746502027,0.49308067826122465
34__M_Right_ring_finger.BMP,20260902,4,salt_pepper_noise,"{""pepper_probability"": 0.0008250000000000001, ""salt_probability"": 0.0008250000000000001}",15.568122739317333,15.521622318024956,-0.04650042129237697,0.02804385856831236,1823.5519034045112,0.48910773594078305
34__M_Right_ring_finger.BMP,20260902,5,smudge_occlusion,"{""smudge_centre"": [124, 125], ""smudge_radii"": [4, 14], ""smudge_rotation"": 0.3811823080135235, ""smudge_sigma"": 4.1}",15.521622318024956,15.50969673286643,-0.01192558515852582,0.028120971918345297,1828.5661989904029,0.4877266306596182
12__M_Left_middle_finger.BMP,20260903,0,clean_reference,{},inf,inf,,0.0,0.0,1.0
12__M_Left_middle_finger.BMP,20260903,1,blur,"{""blur_sigma"": 1.34}",inf,20.99605090485985,,0.00795050856018377,516.9818191259495,0.8103026313125491
12__M_Left_middle_finger.BMP,20260903,2,low_contrast_illumination,"{""contrast_scale"": 0.681, ""illumination_amplitude"": 0.08800000000000001}",20.99605090485985,15.92687906451751,-5.0691718403423405,0.025545363891415148,1661.08728703927,0.6198254414171409
12__M_Left_middle_finger.BMP,20260903,3,gaussian_noise,"{""gaussian_noise_sigma"": 0.04825}",15.92687906451751,15.55093236561202,-0.37594669890548893,0.027855230940847922,1811.2863919286362,0.4926848733330993
12__M_Left_middle_finger.BMP,20260903,4,salt_pepper_noise,"{""pepper_probability"": 0.0008250000000000001, ""salt_probability"": 0.0008250000000000001}",15.55093236561202,15.45915599253436,-0.09177637307766062,0.02845013953455862,1849.9703232346742,0.48536663726024937
12__M_Left_middle_finger.BMP,20260903,5,smudge_occlusion,"{""smudge_centre"": [133, 145], ""smudge_radii"": [4, 14], ""smudge_rotation"": 0.2618691489085092, ""smudge_sigma"": 4.1}",15.45915599253436,15.455581780107295,-0.0035742124270647935,0.028473563432804463,1851.4934622181102,0.4842986706164093
379__F_Left_ring_finger.BMP,20260904,0,clean_reference,{},inf,inf,,0.0,0.0,1.0
379__F_Left_ring_finger.BMP,20260904,1,blur,"{""blur_sigma"": 1.34}",inf,21.21394470916503,,0.007561457736483611,491.6837893148468,0.8400020848200023
379__F_Left_ring_finger.BMP,20260904,2,low_contrast_illumination,"{""contrast_scale"": 0.681, ""illumination_amplitude"": 0.08800000000000001}",21.21394470916503,15.610205892042643,-5.603738817122387,0.027477638829394496,1786.733464881377,0.6969581862621139
379__F_Left_ring_finger.BMP,20260904,3,gaussian_noise,"{""gaussian_noise_sigma"": 0.04825}",15.610205892042643,15.278788709363674,-0.3314171826789689,0.029656584259057643,1928.4193914452233,0.49936618981315756
379__F_Left_ring_finger.BMP,20260904,4,salt_pepper_noise,"{""pepper_probability"": 0.0008250000000000001, ""salt_probability"": 0.0008250000000000001}",15.278788709363674,15.213681582936236,-0.06510712642743854,0.03010452933678133,1957.547020124206,0.4937329194762029
379__F_Left_ring_finger.BMP,20260904,5,smudge_occlusion,"{""smudge_centre"": [129, 111], ""smudge_radii"": [4, 14], ""smudge_rotation"": 0.5762953569165157, ""smudge_sigma"": 4.1}",15.213681582936236,15.204782970547594,-0.008898612388641425,0.030166276189601188,1961.5621092288172,0.49236928193472257
216__M_Right_ring_finger.BMP,20260905,0,clean_reference,{},inf,inf,,0.0,0.0,1.0
216__M_Right_ring_finger.BMP,20260905,1,blur,"{""blur_sigma"": 1.34}",inf,21.02770277374345,,0.007892775002055605,513.2276945086658,0.8262267597071826
216__M_Right_ring_finger.BMP,20260905,2,low_contrast_illumination,"{""contrast_scale"": 0.681, ""illumination_amplitude"": 0.08800000000000001}",21.02770277374345,15.857182982901655,-5.170519790841794,0.025958626020689934,1687.959656995363,0.6419036016532499
216__M_Right_ring_finger.BMP,20260905,3,gaussian_noise,"{""gaussian_noise_sigma"": 0.04825}",15.857182982901655,15.493566029218051,-0.3636169536836036,0.02822561393787499,1835.3705463103213,0.45586121583495054
216__M_Right_ring_finger.BMP,20260905,4,salt_pepper_noise,"{""pepper_probability"": 0.0008250000000000001, ""salt_probability"": 0.0008250000000000001}",15.493566029218051,15.378961715707039,-0.11460431351101263,0.028980363494312718,1884.4481362176846,0.448245446422093
216__M_Right_ring_finger.BMP,20260905,5,smudge_occlusion,"{""smudge_centre"": [118, 137], ""smudge_radii"": [4, 14], ""smudge_rotation"": 0.583131092375345, ""smudge_sigma"": 4.1}",15.378961715707039,15.37293228912003,-0.006029426587009112,0.02902062565103205,1887.066182958359,0.44726748875231337
598__M_Right_little_finger.BMP,20260906,0,clean_reference,{},inf,inf,,0.0,0.0,1.0
598__M_Right_little_finger.BMP,20260906,1,blur,"{""blur_sigma"": 1.34}",inf,20.155406703027786,,0.009648489525260817,627.3930313800847,0.8538515761977136
598__M_Right_little_finger.BMP,20260906,2,low_contrast_illumination,"{""contrast_scale"": 0.681, ""illumination_amplitude"": 0.08800000000000001}",20.155406703027786,15.469788639670575,-4.685618063357211,0.028380571462675752,1845.4466593604907,0.7002971514006759
598__M_Right_little_finger.BMP,20260906,3,gaussian_noise,"{""gaussian_noise_sigma"": 0.04825}",15.469788639670575,15.129605391402709,-0.3401832482678664,0.030693008584974563,1995.812883237971,0.5579981400080086
598__M_Right_little_finger.BMP,20260906,4,salt_pepper_noise,"{""pepper_probability"": 0.0008250000000000001, ""salt_probability"": 0.0008250000000000001}",15.129605391402709,15.057045701267649,-0.07255969013506025,0.03121011938074269,2029.4380127327934,0.5524402818811899
598__M_Right_little_finger.BMP,20260906,5,smudge_occlusion,"{""smudge_centre"": [123, 153], ""smudge_radii"": [4, 14], ""smudge_rotation"": -0.7585984016835685, ""smudge_sigma"": 4.1}",15.057045701267649,15.033783437633481,-0.023262263634167724,0.031377739723450294,2040.3375255173555,0.5506983662889069
241__M_Right_thumb_finger.BMP,20260907,0,clean_reference,{},inf,inf,,0.0,0.0,1.0
241__M_Right_thumb_finger.BMP,20260907,1,blur,"{""blur_sigma"": 1.34}",inf,23.109656263052912,,0.004886910369048458,317.77134674737596,0.8748621966021061
241__M_Right_thumb_finger.BMP,20260907,2,low_contrast_illumination,"{""contrast_scale"": 0.681, ""illumination_amplitude"": 0.08800000000000001}",23.109656263052912,15.966206764776418,-7.143449498276494,0.025315081128041518,1646.1131503508998,0.6338946481327321
241__M_Right_thumb_finger.BMP,20260907,3,gaussian_noise,"{""gaussian_noise_sigma"": 0.04825}",15.966206764776418,15.58717570099966,-0.37903106377675755,0.027623736959843843,1796.233495813846,0.4899898394974605
241__M_Right_thumb_finger.BMP,20260907,4,salt_pepper_noise,"{""pepper_probability"": 0.0008250000000000001, ""salt_probability"": 0.0008250000000000001}",15.58717570099966,15.489402409891383,-0.09777329110827715,0.028252687057307563,1837.1309759014243,0.48320063609050096
241__M_Right_thumb_finger.BMP,20260907,5,smudge_occlusion,"{""smudge_centre"": [110, 109], ""smudge_radii"": [4, 14], ""smudge_rotation"": 0.19728556817642373, ""smudge_sigma"": 4.1}",15.489402409891383,15.481092428154298,-0.008309981737085081,0.02830679874537431,1840.6495884179644,0.4820605593067247
318__F_Left_little_finger.BMP,20260908,0,clean_reference,{},inf,inf,,0.0,0.0,1.0
318__F_Left_little_finger.BMP,20260908,1,blur,"{""blur_sigma"": 1.34}",inf,21.837405689980677,,0.006550273456376788,425.93153150090063,0.8650611391929388
318__F_Left_little_finger.BMP,20260908,2,low_contrast_illumination,"{""contrast_scale"": 0.681, ""illumination_amplitude"": 0.08800000000000001}",21.837405689980677,15.774735262446615,-6.062670427534062,0.02645613961341432,1720.310478362266,0.7400237799917553
318__F_Left_little_finger.BMP,20260908,3,gaussian_noise,"{""gaussian_noise_sigma"": 0.04825}",15.774735262446615,15.408653636821956,-0.36608162562465907,0.028782905798433796,1871.6084495431576,0.4986402496455149
318__F_Left_little_finger.BMP,20260908,4,salt_pepper_noise,"{""pepper_probability"": 0.0008250000000000001, ""salt_probability"": 0.0008250000000000001}",15.408653636821956,15.314045235709191,-0.09460840111276525,0.029416803293245128,1912.8276341432645,0.4911257055480585
318__F_Left_little_finger.BMP,20260908,5,smudge_occlusion,"{""smudge_centre"": [126, 108], ""smudge_radii"": [4, 14], ""smudge_rotation"": 0.7686057593628246, ""smudge_sigma"": 4.1}",15.314045235709191,15.303802060723804,-0.010243174985387071,0.029486267009885957,1917.3445123178344,0.4898543747742504
533__M_Left_thumb_finger.BMP,20260909,0,clean_reference,{},inf,inf,,0.0,0.0,1.0
533__M_Left_thumb_finger.BMP,20260909,1,blur,"{""blur_sigma"": 1.34}",inf,21.704119266577443,,0.0067544201729263335,439.2061717445348,0.8789196580275596
533__M_Left_thumb_finger.BMP,20260909,2,low_contrast_illumination,"{""contrast_scale"": 0.681, ""illumination_amplitude"": 0.08800000000000001}",21.704119266577443,16.224061440427064,-5.480057826150379,0.02385579290469822,1551.2229336280016,0.7173227690994423
533__M_Left_thumb_finger.BMP,20260909,3,gaussian_noise,"{""gaussian_noise_sigma"": 0.04825}",16.224061440427064,15.816056711753602,-0.40800472867346294,0.026205613342665385,1704.0200076068165,0.5808059998194994
533__M_Left_thumb_finger.BMP,20260909,4,salt_pepper_noise,"{""pepper_probability"": 0.0008250000000000001, ""salt_probability"": 0.0008250000000000001}",15.816056711753602,15.742774093463412,-0.07328261829018956,0.026651557294865375,1733.0175130986208,0.5753531859415469
533__M_Left_thumb_finger.BMP,20260909,5,smudge_occlusion,"{""smudge_centre"": [130, 127], ""smudge_radii"": [4, 14], ""smudge_rotation"": -0.21580648438529304, ""smudge_sigma"": 4.1}",15.742774093463412,15.72693185015237,-0.01584224331104167,0.026748954683141084,1739.350778271249,0.5739238040406851
352__M_Left_ring_finger.BMP,20260910,0,clean_reference,{},inf,inf,,0.0,0.0,1.0
352__M_Left_ring_finger.BMP,20260910,1,blur,"{""blur_sigma"": 1.34}",inf,20.225475411353784,,0.009494070642866044,617.3519435523646,0.8420817545990944
352__M_Left_ring_finger.BMP,20260910,2,low_contrast_illumination,"{""contrast_scale"": 0.681, ""illumination_amplitude"": 0.08800000000000001}",20.225475411353784,15.463412493266347,-4.762062918087437,0.028422269340402893,1848.1580638596981,0.6898284937688429
352__M_Left_ring_finger.BMP,20260910,3,gaussian_noise,"{""gaussian_noise_sigma"": 0.04825}",15.463412493266347,15.129042001444695,-0.3343704918216517,0.030696990503972146,1996.0718075207888,0.5472175990566486
352__M_Left_ring_finger.BMP,20260910,4,salt_pepper_noise,"{""pepper_probability"": 0.0008250000000000001, ""salt_probability"": 0.0008250000000000001}",15.129042001444695,15.043245945385216,-0.08579605605947904,0.031309447609904194,2035.8968308340202,0.539743431619612
352__M_Left_ring_finger.BMP,20260910,5,smudge_occlusion,"{""smudge_centre"": [139, 107], ""smudge_radii"": [4, 14], ""smudge_rotation"": -0.35640753310282264, ""smudge_sigma"": 4.1}",15.043245945385216,15.025846348653536,-0.017399596731680234,0.031435137558108416,2044.0698197159995,0.538182710636524
399__M_Right_ring_finger.BMP,20260911,0,clean_reference,{},inf,inf,,0.0,0.0,1.0
399__M_Right_ring_finger.BMP,20260911,1,blur,"{""blur_sigma"": 1.34}",inf,25.306800413597877,,0.0029465916826981876,191.60212416744966,0.8694595498792231
