Image,Relative path,Raw dtype,Raw min,Raw max,Raw mean,Raw std,Loaded min,Loaded max,Loaded mean,Loaded std
34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,uint8,0.0,255.0,133.14957524271844,109.4541157587726,0.0,1.0,0.5216665267944336,0.3800421357154846
12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,uint8,0.0,255.0,112.98867313915858,105.30687392248818,0.0,1.0,0.442577600479126,0.36283811926841736
379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,uint8,0.0,255.0,148.6957928802589,103.42176259108028,0.0,1.0,0.5825772881507874,0.3590175211429596
216__M_Right_ring_finger.BMP,data\SOCOFing\Real\216__M_Right_ring_finger.BMP,uint8,0.0,255.0,123.10983009708738,109.65389648808507,0.0,1.0,0.48229625821113586,0.38545194268226624
598__M_Right_little_finger.BMP,data\SOCOFing\Real\598__M_Right_little_finger.BMP,uint8,0.0,255.0,149.7116707119741,107.38508523282528,0.0,1.0,0.5866139531135559,0.35833197832107544
241__M_Right_thumb_finger.BMP,data\SOCOFing\Real\241__M_Right_thumb_finger.BMP,uint8,0.0,255.0,94.23442556634305,105.75426642296905,0.0,1.0,0.36898988485336304,0.38378551602363586
318__F_Left_little_finger.BMP,data\SOCOFing\Real\318__F_Left_little_finger.BMP,uint8,0.0,255.0,180.92384708737865,99.63905818069134,0.0,1.0,0.708992063999176,0.3473210632801056
533__M_Left_thumb_finger.BMP,data\SOCOFing\Real\533__M_Left_thumb_finger.BMP,uint8,0.0,255.0,161.08778317152104,95.54401053679192,0.0,1.0,0.6311824321746826,0.3274272680282593
352__M_Left_ring_finger.BMP,data\SOCOFing\Real\352__M_Left_ring_finger.BMP,uint8,0.0,255.0,161.06614077669903,101.32489675823786,0.0,1.0,0.6310980319976807,0.3342600166797638
399__M_Right_ring_finger.BMP,data\SOCOFing\Real\399__M_Right_ring_finger.BMP,uint8,0.0,255.0,145.14886731391584,91.70254898652713,0.0,1.0,0.5686177015304565,0.3390652537345886
576__M_Left_middle_finger.BMP,data\SOCOFing\Real\576__M_Left_middle_finger.BMP,uint8,0.0,255.0,126.58980582524272,103.48082906247632,0.0,1.0,0.4958452582359314,0.33051803708076477
506__M_Right_ring_finger.BMP,data\SOCOFing\Real\506__M_Right_ring_finger.BMP,uint8,0.0,255.0,123.00070792880258,108.82281208051226,0.0,1.0,0.48186105489730835,0.37984275817871094
559__M_Right_index_finger.BMP,data\SOCOFing\Real\559__M_Right_index_finger.BMP,uint8,0.0,255.0,149.979571197411,104.7093487794791,0.0,1.0,0.5876328945159912,0.3528696894645691
52__M_Right_little_finger.BMP,data\SOCOFing\Real\52__M_Right_little_finger.BMP,uint8,0.0,255.0,133.12651699029126,85.87997094851532,0.0,1.0,0.5215328335762024,0.31303542852401733
384__F_Left_middle_finger.BMP,data\SOCOFing\Real\384__F_Left_middle_finger.BMP,uint8,0.0,255.0,147.94245550161813,104.06465146525692,0.0,1.0,0.5796127915382385,0.34581059217453003
410__M_Right_ring_finger.BMP,data\SOCOFing\Real\410__M_Right_ring_finger.BMP,uint8,0.0,255.0,126.8456715210356,105.92850775658135,0.0,1.0,0.4968636631965637,0.3598531484603882
337__F_Right_index_finger.BMP,data\SOCOFing\Real\337__F_Right_index_finger.BMP,uint8,0.0,255.0,133.61245954692558,104.01040785347911,0.0,1.0,0.5234464406967163,0.35693663358688354
74__F_Right_ring_finger.BMP,data\SOCOFing\Real\74__F_Right_ring_finger.BMP,uint8,0.0,255.0,137.8143203883495,105.55419851456735,0.0,1.0,0.5397074222564697,0.3496047258377075
296__M_Left_index_finger.BMP,data\SOCOFing\Real\296__M_Left_index_finger.BMP,uint8,0.0,255.0,159.4954490291262,104.10140308036972,0.0,1.0,0.6248978972434998,0.3639497458934784
103__F_Left_middle_finger.BMP,data\SOCOFing\Real\103__F_Left_middle_finger.BMP,uint8,0.0,255.0,138.00293284789643,104.37799707678273,0.0,1.0,0.5404864549636841,0.349807471036911
355__M_Right_middle_finger.BMP,data\SOCOFing\Real\355__M_Right_middle_finger.BMP,uint8,0.0,255.0,118.80552184466019,104.55550904632629,0.0,1.0,0.46542003750801086,0.34663328528404236
86__M_Right_index_finger.BMP,data\SOCOFing\Real\86__M_Right_index_finger.BMP,uint8,0.0,255.0,138.64714805825244,111.39924260056571,0.0,1.0,0.5432014465332031,0.3967643678188324
576__M_Left_little_finger.BMP,data\SOCOFing\Real\576__M_Left_little_finger.BMP,uint8,0.0,255.0,163.23735841423948,101.63991898387125,0.0,1.0,0.6395809650421143,0.3387751877307892
537__M_Right_thumb_finger.BMP,data\SOCOFing\Real\537__M_Right_thumb_finger.BMP,uint8,0.0,255.0,134.18385922330097,105.73496996632447,0.0,1.0,0.5257782340049744,0.35193878412246704
