Controlled index,Image,Path,Severity,Seed,Protocol source,Experiment,Pipeline ID,Pipeline,Is finalist,Final output used for PSNR/MSE/SSIM,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s)
0,75__F_Left_middle_finger.BMP,data\SOCOFing\Real\75__F_Left_middle_finger.BMP,0.35,42,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.015114983280240843,18.205923288899456,0.7435694100628281,0.7118552923202515,8.229998638853431e-05
0,75__F_Left_middle_finger.BMP,data\SOCOFing\Real\75__F_Left_middle_finger.BMP,0.35,42,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.04245269035699127,13.720947819766337,0.7292391644606797,0.6927222609519958,0.004853100050240755
0,75__F_Left_middle_finger.BMP,data\SOCOFing\Real\75__F_Left_middle_finger.BMP,0.35,42,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.029226678817047075,15.34220533030484,0.7866991562247533,0.7776919007301331,0.011377800023183227
0,75__F_Left_middle_finger.BMP,data\SOCOFing\Real\75__F_Left_middle_finger.BMP,0.35,42,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.039490607896954015,14.035061809187939,0.7493578869357181,0.7418601512908936,0.009808599948883057
1,422__M_Left_index_finger.BMP,data\SOCOFing\Real\422__M_Left_index_finger.BMP,0.55,43,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.029822220553575703,15.254600222425044,0.5762982588451102,0.5745490789413452,8.299999171867967e-05
1,422__M_Left_index_finger.BMP,data\SOCOFing\Real\422__M_Left_index_finger.BMP,0.55,43,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.06633645722852251,11.782477261717982,0.612028791783821,0.5800607800483704,0.004378199984785169
1,422__M_Left_index_finger.BMP,data\SOCOFing\Real\422__M_Left_index_finger.BMP,0.55,43,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.04728810435312316,13.252480952778553,0.6845803883421164,0.6865625977516174,0.006655800039879978
1,422__M_Left_index_finger.BMP,data\SOCOFing\Real\422__M_Left_index_finger.BMP,0.55,43,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.05959089787740808,12.248200708553602,0.6526897012625693,0.6635175943374634,0.010653100034687668
2,184__M_Right_index_finger.BMP,data\SOCOFing\Real\184__M_Right_index_finger.BMP,0.75,44,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.054350025105621494,12.648002509662726,0.3909409718803697,0.42632046341896057,7.539999205619097e-05
2,184__M_Right_index_finger.BMP,data\SOCOFing\Real\184__M_Right_index_finger.BMP,0.75,44,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.07501040255012059,11.248785038504973,0.5106614101813362,0.44262850284576416,0.0043735000072047114
2,184__M_Right_index_finger.BMP,data\SOCOFing\Real\184__M_Right_index_finger.BMP,0.75,44,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.04714408863546007,13.265727553963828,0.6269724390686928,0.6133628487586975,0.014156700053717941
2,184__M_Right_index_finger.BMP,data\SOCOFing\Real\184__M_Right_index_finger.BMP,0.75,44,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.06209079013206576,12.06972813534388,0.5729390634936731,0.532069206237793,0.0096750000375323
3,445__M_Left_ring_finger.BMP,data\SOCOFing\Real\445__M_Left_ring_finger.BMP,0.35,45,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.014399337938248978,18.416574757085808,0.7061618986973255,0.6278500556945801,9.23000043258071e-05
3,445__M_Left_ring_finger.BMP,data\SOCOFing\Real\445__M_Left_ring_finger.BMP,0.35,45,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.06121517661777303,12.131408931446071,0.6281300898399836,0.6051726937294006,0.005639199982397258
3,445__M_Left_ring_finger.BMP,data\SOCOFing\Real\445__M_Left_ring_finger.BMP,0.35,45,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.03015307914966404,15.206683322990477,0.7717522479808722,0.7197390198707581,0.011863399995490909
3,445__M_Left_ring_finger.BMP,data\SOCOFing\Real\445__M_Left_ring_finger.BMP,0.35,45,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.05612839328340123,12.50817389601815,0.6554476329109502,0.656891942024231,0.01004540000576526
4,576__M_Right_middle_finger.BMP,data\SOCOFing\Real\576__M_Right_middle_finger.BMP,0.55,46,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.027405958687992386,15.621550012683855,0.5191537437271285,0.48222148418426514,8.719996549189091e-05
4,576__M_Right_middle_finger.BMP,data\SOCOFing\Real\576__M_Right_middle_finger.BMP,0.55,46,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.07138675953381368,11.463823315660486,0.5812926288061289,0.48860979080200195,0.004681899969000369
4,576__M_Right_middle_finger.BMP,data\SOCOFing\Real\576__M_Right_middle_finger.BMP,0.55,46,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.04575727188540725,13.395398767070084,0.6666238998144334,0.6116700172424316,0.013314299983903766
4,576__M_Right_middle_finger.BMP,data\SOCOFing\Real\576__M_Right_middle_finger.BMP,0.55,46,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.06286414464727129,12.015969892411093,0.6286628821948763,0.5570629835128784,0.010716700053308159
