Category,Category order,Image,Path,Real pair candidate path,Real pair candidate exists,Pairing used for metrics,Selection rule,Experiment,Pipeline ID,Pipeline,Purpose,Final output domain,Has Closing stage,Is baseline,Is grayscale finalist candidate,Runtime (s),Ridge coherence,Local contrast,Foreground/background separation proxy,Foreground usable-area ratio,Ridge coverage in foreground,Detected ridge endings,Detected bifurcations,Ridge pixels,Connected components,Small connected components <20px,Largest component fraction,Fragmentation per 1000 ridge pixels,Skeleton pixels,Skeleton endpoints,Skeleton bifurcations,Ridge continuity proxy,Delta Ridge coherence vs P0,Delta Local contrast vs P0,Delta Foreground/background separation proxy vs P0,Delta Ridge coverage in foreground vs P0,Delta Fragmentation per 1000 ridge pixels vs P0,Delta Small connected components <20px vs P0,Delta Ridge continuity proxy vs P0,Delta Ridge coherence vs CLAHE,Delta Local contrast vs CLAHE,Delta Foreground/background separation proxy vs CLAHE,Delta Ridge coverage in foreground vs CLAHE,Delta Fragmentation per 1000 ridge pixels vs CLAHE,Delta Small connected components <20px vs CLAHE,Delta Ridge continuity proxy vs CLAHE
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,B0,P0 only,neutral common-preprocessing control,grayscale,False,True,False,0.00012969999806955457,0.7615703344345093,0.22480694949626923,0.22480694949626923,1.0,0.417572021484375,187.0,98.0,27366.0,66.0,1.0,0.5232405066490173,2.4117518088138565,5881.0,187.0,98.0,31.449197860962567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009239137172698975,-0.03173069655895233,-0.03173069655895233,-0.0115509033203125,0.3138248451186607,0.0,-1.9299230181583091
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,B1,P0 -> CLAHE,main M1 enhancement baseline from Direct24,grayscale,False,True,True,0.00887030002195388,0.7708094716072083,0.25653764605522156,0.25653764605522156,1.0,0.4291229248046875,182.0,86.0,28123.0,59.0,1.0,0.5019023418426514,2.097926963695196,6075.0,182.0,86.0,33.379120879120876,0.009239137172698975,0.03173069655895233,0.03173069655895233,0.0115509033203125,-0.3138248451186607,0.0,1.9299230181583091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C1,P0 -> CLAHE -> Ordinary Gabor,measure exact trade-off of the Direct24 M2 coherence winner,grayscale,False,False,True,0.8762790000182576,0.7775160074234009,0.1873752474784851,0.1873752474784851,1.0,0.385986328125,201.0,57.0,25296.0,77.0,2.0,0.47924572229385376,3.0439595192915876,5727.0,201.0,57.0,28.492537313432837,0.0159456729888916,-0.03743170201778412,-0.03743170201778412,-0.031585693359375,0.632207710477731,1.0,-2.9566605475297294,0.006706535816192627,-0.06916239857673645,-0.06916239857673645,-0.0431365966796875,0.9460325555963918,1.0,-4.8865835656880385
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C2,P0 -> CLAHE -> Coherence-Guided Directional Diffusion,test whether directional enhancement is more compatible with CLAHE than Ordinary Gabor,grayscale,False,False,True,0.27864340000087395,0.7749226093292236,0.2325964868068695,0.2325964868068695,1.0,0.420135498046875,193.0,81.0,27534.0,63.0,1.0,0.5059199333190918,2.288080191762911,5966.0,193.0,81.0,30.911917098445596,0.013352274894714355,0.007789537310600281,0.007789537310600281,0.0025634765625,-0.12367161705094531,0.0,-0.5372807625169713,0.004113137722015381,-0.02394115924835205,-0.02394115924835205,-0.0089874267578125,0.1901532280677154,0.0,-2.4672037806752805
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C3,P0 -> CLAHE -> Total Variation Restoration,test CLAHE followed by the best Direct24 supporting restoration candidate,grayscale,False,False,True,0.0425556999980472,0.793487548828125,0.23311802744865417,0.23311802744865417,1.0,0.42364501953125,193.0,81.0,27764.0,65.0,1.0,0.5066633224487305,2.3411612159631177,5858.0,193.0,81.0,30.352331606217618,0.03191721439361572,0.008311077952384949,0.008311077952384949,0.006072998046875,-0.07059059285073888,0.0,-1.096866254744949,0.022678077220916748,-0.023419618606567383,-0.023419618606567383,-0.0054779052734375,0.24323425226792184,0.0,-3.026789272903258
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C4,P0 -> Total Variation Restoration -> CLAHE,explicit order test for restoration before local contrast enhancement,grayscale,False,False,True,0.011077700066380203,0.7984113097190857,0.24683953821659088,0.24683953821659088,1.0,0.4251251220703125,188.0,76.0,27861.0,63.0,1.0,0.5043968558311462,2.26122536879509,5809.0,188.0,76.0,30.898936170212767,0.036840975284576416,0.022032588720321655,0.022032588720321655,0.0075531005859375,-0.15052644001876647,0.0,-0.5502616907497995,0.02760183811187744,-0.009698107838630676,-0.009698107838630676,-0.003997802734375,0.16329840509989424,0.0,-2.4801847089081086
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C5,P0 -> CLAHE -> Coherence-Guided Directional Diffusion -> Closing,test whether morphology can repair ridge gaps after directional enhancement,morphology-assisted structural output,True,False,False,0.3346130999852903,0.7749226093292236,0.2325964868068695,0.2325964868068695,1.0,0.427490234375,162.0,109.0,28016.0,43.0,0.0,0.6644774675369263,1.53483723586522,6033.0,162.0,109.0,37.24074074074074,0.013352274894714355,0.007789537310600281,0.007789537310600281,0.009918212890625,-0.8769145729486365,-1.0,5.791542879778174,0.004113137722015381,-0.02394115924835205,-0.02394115924835205,-0.0016326904296875,-0.5630897278299758,-1.0,3.8616198616198645
Easy,0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C6,P0 -> CLAHE -> Total Variation Restoration -> Closing,test whether morphology improves continuity after CLAHE plus TV restoration,morphology-assisted structural output,True,False,False,0.0655361000681296,0.793487548828125,0.23311802744865417,0.23311802744865417,1.0,0.4290313720703125,166.0,102.0,28117.0,47.0,0.0,0.5040367245674133,1.6715865846285165,5930.0,166.0,102.0,35.72289156626506,0.03191721439361572,0.008311077952384949,0.008311077952384949,0.0114593505859375,-0.74016522418534,-1.0,4.273693705302495,0.022678077220916748,-0.023419618606567383,-0.023419618606567383,-9.1552734375e-05,-0.4263403790666793,-1.0,2.343770687144186
Easy,1,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,B0,P0 only,neutral common-preprocessing control,grayscale,False,True,False,8.600001456215978e-05,0.5187233686447144,0.15843753516674042,0.15843753516674042,1.0,0.236572265625,303.0,78.0,15504.0,117.0,7.0,0.3363003134727478,7.546439628482973,2932.0,303.0,78.0,9.676567656765677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05990117788314819,-0.04443149268627167,-0.04443149268627167,-0.1031341552734375,0.9884734963354642,4.0,0.09267503931601162
Easy,1,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,B1,P0 -> CLAHE,main M1 enhancement baseline from Direct24,grayscale,False,True,True,0.004935899982228875,0.5786245465278625,0.20286902785301208,0.20286902785301208,1.0,0.3397064208984375,447.0,154.0,22263.0,146.0,3.0,0.3512554466724396,6.5579661321475085,4284.0,447.0,154.0,9.583892617449665,0.05990117788314819,0.04443149268627167,0.04443149268627167,0.1031341552734375,-0.9884734963354642,-4.0,-0.09267503931601162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
