image,candidate,member,parameters_json,baseline_psnr,baseline_mse,baseline_ssim,mse,psnr,ssim,coherence,contrast,fragmentation,continuity,ridge_coverage,delta_psnr,delta_mse,delta_ssim,runtime_seconds
34__M_Right_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.38889028602457,0.0018243618056768378,0.852031355201602,0.002608100473116621,25.836756820813626,0.8429665175490305,0.6300843954086304,0.18353182077407837,2.831150201955381,36.214285714285715,0.4042205810546875,-1.552133465210943,0.0007837386674397831,-0.009064837652571489,3.7414351999759674
12__M_Left_middle_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.200596265626643,0.001905199125245581,0.8736786578543186,0.0026342193826785873,25.79348059017661,0.8645695586785004,0.6363347172737122,0.18358537554740906,2.1507651082434243,39.31428571428572,0.432769775390625,-1.407115675450033,0.0007290202574330063,-0.009109099175818258,3.9088152999756858
379__F_Left_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.29697459443381,0.001863384765742222,0.8307089306706786,0.0022240733189657783,26.528508998699273,0.8280981829650477,0.5299926996231079,0.18061092495918274,7.414926954142207,15.468586387434556,0.3457183837890625,-0.7684655957345363,0.0003606885532235562,-0.002610747705630967,4.324025699985214
216__M_Right_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.409242552997565,0.001815832331964324,0.8339104979358911,0.002480096851658408,26.055313589643067,0.8239129257850498,0.5920898914337158,0.16441881656646729,1.8024236846142045,33.80408163265306,0.39788818359375,-1.3539289633544982,0.0006642645196940841,-0.009997572150841294,3.9073647999903187
598__M_Right_little_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.232376829257564,0.0018913082504083206,0.873195821332097,0.0024318574247425627,26.140618905270337,0.8689057392995357,0.6158202290534973,0.22318559885025024,7.002967359050445,14.534435261707989,0.3856658935546875,-1.0917579239872275,0.0005405491743342421,-0.004290082032561315,3.971736299979966
241__M_Right_thumb_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.683054149489543,0.0017048830187297685,0.8502431259251237,0.0026972926235914944,25.69071935298229,0.8215326326862127,0.6247069835662842,0.17006385326385498,1.445133112816725,41.89230769230769,0.4751434326171875,-1.9923347965072544,0.000992409604861726,-0.02871049323891106,4.15279580000788
318__F_Left_little_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.680894438410597,0.001705731054009289,0.804882369456917,0.0021906154632647954,26.594338510285066,0.8036858983580619,0.5113991498947144,0.18371865153312683,10.307120807827134,10.94906166219839,0.2916412353515625,-1.0865559281255308,0.0004848844092555063,-0.001196471098855123,4.358810200006701
533__M_Left_thumb_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.13216588011231,0.0019354564872124708,0.877849622436881,0.0022484156144686337,26.481234073436887,0.8743075828926191,0.6707494854927063,0.19424214959144592,6.720540941700338,18.169381107491855,0.370086669921875,-0.6509318066754233,0.0003129591272561629,-0.00354203954426191,3.7480873000458814
352__M_Left_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.179633251246813,0.001914417585057521,0.8731976190728247,0.0024388766723724303,26.1281016026942,0.8690108382785022,0.635617733001709,0.21126559376716614,7.498525570814728,15.123359580052494,0.362213134765625,-1.0515316485526114,0.0005244590873149093,-0.004186780794322442,3.744417199981399
399__M_Right_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.19164994656221,0.0019091278159366633,0.7421257503849864,0.0021419588179110707,26.691888833295167,0.7429477830313668,0.49627119302749634,0.12770822644233704,20.091848450057405,9.767106842737094,0.3189697265625,-0.499761113267045,0.00023283100197440737,0.0008220326463803662,4.401251200004481
576__M_Left_middle_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",26.928755659828724,0.002028263774235365,0.9142761199680268,0.0026943348581492128,25.695484301390003,0.9067992495107576,0.6642712354660034,0.21068744361400604,6.266526605571051,18.74137931034483,0.4212493896484375,-1.2332713584387207,0.0006660710839138479,-0.007476870457269191,4.031503600010183
506__M_Right_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.395784631250596,0.0018214679623487747,0.8722582732038497,0.002398313464473953,26.200940543504714,0.8627271407838613,0.5545603036880493,0.21171213686466217,1.969796454366382,29.17872340425532,0.4415435791015625,-1.1948440877458815,0.0005768455021251781,-0.009531132419988486,5.072234599967487
559__M_Right_index_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.192835645833707,0.001908606662071044,0.8851221825720071,0.002495160945032256,26.02901435898285,0.8797719296425134,0.6422246098518372,0.2184787392616272,7.254261878853827,16.99056603773585,0.3786163330078125,-1.1638212868508582,0.0005865542829612122,-0.0053502529294937595,6.867032299982384
52__M_Right_little_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",26.879822313048408,0.0020512461016534865,0.7911558452983201,0.0021868180513342126,26.60187349833305,0.7923157332047224,0.5141148567199707,0.13442718982696533,16.207663359562094,12.625,0.3568115234375,-0.2779488147153586,0.00013557194968072611,0.0011598879064023127,5.858003800036386
384__F_Left_middle_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.13703414382276,0.0019332881351077943,0.8732754213032723,0.0023817565495664094,26.231026318470605,0.8700160693967268,0.6020262837409973,0.20404577255249023,9.019257333224994,12.256916996047432,0.375579833984375,-0.9060078253521553,0.00044846841445861504,-0.0032593519065454712,4.828157599957194
410__M_Right_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.172578282168498,0.001917530019942655,0.8590272322995662,0.0024289262532400115,26.145856709903114,0.8537606020102203,0.5967643857002258,0.1827886998653412,2.615816210478429,25.976109215017065,0.402496337890625,-1.0267215722653837,0.0005113962332973566,-0.0052666302893459305,5.233407599967904
