artifact,script_rows,script_cols,notebook_rows,notebook_cols,same_shape,same_columns,numeric_max_abs_diff,numeric_equal_1e-12,non_numeric_equal,numeric_mismatch_columns,non_numeric_mismatch_columns
dataset_inventory,4,3,4,3,True,True,0.0,True,True,,
demo_metrics,2,7,2,7,True,True,0.0,True,True,,
structural_sample,1,6,1,6,True,True,0.0,True,True,,
member_per_image,48,5,48,5,True,True,0.0,True,True,,
member_comparison,4,8,4,8,True,True,0.0,True,True,,
compatibility_per_image,60,5,60,5,True,True,0.0,True,True,,
compatibility,5,6,5,6,True,True,0.0,True,True,,
fresh_holdout_per_image,100,12,100,12,True,True,0.0,True,True,,
fresh_holdout_summary,5,8,5,8,True,True,0.0,True,True,,
final_500_per_image,500,12,500,12,True,True,0.0,True,True,,
final_500_summary,1,11,1,11,True,True,0.0,True,True,,
altered_1500_per_image,1500,17,1500,17,True,True,0.0,True,True,,
altered_1500_summary,4,17,4,17,True,True,0.0,True,True,,
final_results_table,5,4,5,4,True,True,0.0,True,True,,
equivalence_probe,3,4,3,4,True,True,0.0,True,True,,
