Experiment,Category,Altered split,Image,Relative path,Method ID,Member,Technique,Role,Is member technique,Is baseline,Fixed parameters,Runtime (s),Ridge coherence,Local contrast,Foreground/background separation proxy,Ridge coverage in foreground,Fragmentation per 1000 ridge pixels,Small connected components <20px,Ridge continuity proxy,Delta Ridge coherence vs P0,Delta Local contrast vs P0,Delta Foreground/background separation proxy vs P0,Delta Ridge coverage in foreground vs P0,Delta Fragmentation per 1000 ridge pixels vs P0,Delta Small connected components <20px vs P0,Delta Ridge continuity proxy vs P0,Delta Ridge coherence vs NLM,Delta Local contrast vs NLM,Delta Foreground/background separation proxy vs NLM,Delta Ridge coverage in foreground vs NLM,Delta Fragmentation per 1000 ridge pixels vs NLM,Delta Small connected components <20px vs NLM,Delta Ridge continuity proxy vs NLM
direct Altered member comparison,Easy,Altered-Easy,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,B0,Baseline,Degraded input / P0,Controlled degraded input or direct Altered P0 control,False,True,"{""operation"": ""P0 only; clip/float range only""}",0.0002794000320136547,0.7615703344345093,0.22480694949626923,0.22480694949626923,0.417572021484375,2.4117518088138565,1.0,31.449197860962567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04857373237609863,0.005068883299827576,0.005068883299827576,0.000823974609375,0.0684594830962233,0.0,-2.079537771221343
direct Altered member comparison,Easy,Altered-Easy,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,M1_NLM_h0.06,Member 1,Non-Local Means Denoising,Main frozen member technique,True,False,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.09440790000371635,0.8101440668106079,0.21973806619644165,0.21973806619644165,0.416748046875,2.3432923257176332,1.0,33.52873563218391,0.04857373237609863,-0.005068883299827576,-0.005068883299827576,-0.000823974609375,-0.0684594830962233,0.0,2.079537771221343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct Altered member comparison,Easy,Altered-Easy,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,M2_MOD_GABOR,Member 2,Literature-Inspired Modified / Orientation-Adaptive Gabor,Main frozen member technique,True,False,"{""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}",1.9008494999725372,0.7600427865982056,0.2054770290851593,0.2054770290851593,0.4109954833984375,2.6731019120103956,1.0,30.814814814814813,-0.001527547836303711,-0.019329920411109924,-0.019329920411109924,-0.0065765380859375,0.26135010319653906,0.0,-0.6343830461477538,-0.050101280212402344,-0.014261037111282349,-0.014261037111282349,-0.0057525634765625,0.32980958629276236,0.0,-2.7139208173690967
direct Altered member comparison,Easy,Altered-Easy,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,M3_TV_w0.02,Member 3,Total Variation Restoration,Main frozen member technique,True,False,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}",0.003702400019392371,0.7795109748840332,0.21449458599090576,0.21449458599090576,0.41607666015625,2.420419539386827,1.0,32.077777777777776,0.017940640449523926,-0.010312363505363464,-0.010312363505363464,-0.001495361328125,0.008667730572970545,0.0,0.6285799168152089,-0.030633091926574707,-0.005243480205535889,-0.005243480205535889,-0.00067138671875,0.07712721366919384,0.0,-1.4509578544061341
direct Altered member comparison,Easy,Altered-Easy,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,M4_COH_DIFF,Member 4,Coherence-Guided Directional Diffusion,Main frozen member technique,True,False,"{""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}",0.29933559999335557,0.767471194267273,0.20402483642101288,0.20402483642101288,0.4107666015625,2.488855869242199,2.0,31.101063829787233,0.005900859832763672,-0.020782113075256348,-0.020782113075256348,-0.006805419921875,0.07710406042834261,1.0,-0.34813403117533426,-0.04267287254333496,-0.015713229775428772,-0.015713229775428772,-0.0059814453125,0.1455635435245659,1.0,-2.4276718023966772
direct Altered member comparison,Easy,Altered-Easy,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,BL_CLAHE_c0.005,Baseline,CLAHE,Optional contrast baseline,False,True,"{""clip_limit"": 0.005, ""kernel_size"": 32}",0.005687099997885525,0.7632734775543213,0.2395656257867813,0.2395656257867813,0.4175567626953125,2.4849260003654305,1.0,31.962962962962962,0.0017031431198120117,0.014758676290512085,0.014758676290512085,-1.52587890625e-05,0.07317419155157401,0.0,0.513765102000395,-0.04687058925628662,0.01982755959033966,0.01982755959033966,0.0008087158203125,0.1416336746477973,0.0,-1.565772669220948
direct Altered member comparison,Easy,Altered-Easy,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,BL_ORD_GABOR,Baseline,Ordinary Gabor,M2 ordinary Gabor comparator,False,True,"{""blend"": 0.3, ""frequency"": 0.115, ""orientations"": 8}",0.9075407000491396,0.7829720973968506,0.16601639986038208,0.16601639986038208,0.3742828369140625,3.05760528354193,2.0,29.189473684210526,0.02140176296234131,-0.058790549635887146,-0.058790549635887146,-0.0432891845703125,0.6458534747280735,1.0,-2.259724176752041,-0.027171969413757324,-0.05372166633605957,-0.05372166633605957,-0.0424652099609375,0.7143129578242968,1.0,-4.339261947973384
direct Altered member comparison,Easy,Altered-Easy,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,BL_WIENER,Baseline,Wiener Deconvolution,M3 restoration comparator,False,True,"{""balance"": 0.06, ""blend"": 0.35, ""psf_sigma"": 0.98}",0.00232920004054904,0.7764972448348999,0.2364310473203659,0.2364310473203659,0.4231719970703125,2.307720044712076,1.0,34.73684210526316,0.014926910400390625,0.01162409782409668,0.01162409782409668,0.0055999755859375,-0.1040317641017805,0.0,3.2876442443005907,-0.03364682197570801,0.016692981123924255,0.016692981123924255,0.0064239501953125,-0.035572281005557205,0.0,1.2081064730792477
direct Altered member comparison,Easy,Altered-Easy,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,BL_CONTRAST_1_99,Baseline,Contrast Stretching,Global contrast baseline,False,True,"{""high_percentile"": 99.0, ""low_percentile"": 1.0}",0.000952600035816431,0.7615703344345093,0.22480694949626923,0.22480694949626923,0.417572021484375,2.4117518088138565,1.0,31.449197860962567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04857373237609863,0.005068883299827576,0.005068883299827576,0.000823974609375,0.0684594830962233,0.0,-2.079537771221343
direct Altered member comparison,Easy,Altered-Easy,281__M_Left_ring_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\281__M_Left_ring_finger_Zcut.BMP,B0,Baseline,Degraded input / P0,Controlled degraded input or direct Altered P0 control,False,True,"{""operation"": ""P0 only; clip/float range only""}",0.0001254999078810215,0.6789304614067078,0.2043912261724472,0.2043912261724472,0.422637939453125,3.068813632753267,2.0,20.990066225165563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040605902671813965,0.0051582008600234985,0.0051582008600234985,0.00030517578125,-0.03834728927867159,2.0,-0.27035044150110465
