Experiment,Split,Scenario ID,Scenario,Image,Relative path,Seed,Method ID,Member,Technique,Role,Is member technique,Is baseline,Fixed parameters,Degradation parameters,Runtime (s),Input MSE,Input PSNR (dB),Input SSIM,MSE,MSE_255_equivalent,PSNR (dB),SSIM,Delta PSNR vs degraded input (dB),PSNR delta to 28.17 dB,Target exceeded
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902,B0,Baseline,Degraded input / P0,Controlled degraded input or direct Altered P0 control,False,True,"{""operation"": ""P0 only; clip/float range only""}","{""gaussian_noise_sigma"": 0.04825}",0.0009712999453768134,0.0018217319643511294,27.395155214170327,0.853334783883363,0.0018217319643511294,118.45812098193218,27.395155214170327,0.853334783883363,0.0,-0.774844785829675,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902,M1_NLM_h0.06,Member 1,Non-Local Means Denoising,Main frozen member technique,True,False,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}","{""gaussian_noise_sigma"": 0.04825}",0.08875150000676513,0.0018217319643511294,27.395155214170327,0.853334783883363,0.0010615054191605731,69.02438988091627,29.74077784347228,0.9490708843501806,2.3456226293019533,1.5707778434722783,True
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902,M2_MOD_GABOR,Member 2,Literature-Inspired Modified / Orientation-Adaptive Gabor,Main frozen member technique,True,False,"{""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}","{""gaussian_noise_sigma"": 0.04825}",1.8665568999713287,0.0018217319643511294,27.395155214170327,0.853334783883363,0.0035818094193476356,232.90715749308,24.458975257811247,0.8379900249479115,-2.93617995635908,-3.711024742188755,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902,M3_TV_w0.02,Member 3,Total Variation Restoration,Main frozen member technique,True,False,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}","{""gaussian_noise_sigma"": 0.04825}",0.03924770001322031,0.0018217319643511294,27.395155214170327,0.853334783883363,0.0012280536415119861,79.85418803931691,29.107826627519696,0.9422582679080963,1.7126714133493692,0.9378266275196943,True
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902,M4_COH_DIFF,Member 4,Coherence-Guided Directional Diffusion,Main frozen member technique,True,False,"{""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}","{""gaussian_noise_sigma"": 0.04825}",0.340135500067845,0.0018217319643511294,27.395155214170327,0.853334783883363,0.0017521470302821291,113.93336064409544,27.56429453098889,0.8717304894548058,0.16913931681856198,-0.605705469011113,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902,BL_CLAHE_c0.005,Baseline,CLAHE,Optional contrast baseline,False,True,"{""clip_limit"": 0.005, ""kernel_size"": 32}","{""gaussian_noise_sigma"": 0.04825}",0.008468099986203015,0.0018217319643511294,27.395155214170327,0.853334783883363,0.0038929803766506585,253.14104899170906,24.097177854248677,0.8272541247540415,-3.2979773599216493,-4.072822145751324,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902,BL_ORD_GABOR,Baseline,Ordinary Gabor,M2 ordinary Gabor comparator,False,True,"{""blend"": 0.3, ""frequency"": 0.115, ""orientations"": 8}","{""gaussian_noise_sigma"": 0.04825}",0.9490254999836907,0.0018217319643511294,27.395155214170327,0.853334783883363,0.015548229107109686,1011.0235976898074,18.083190685539936,0.7736897052374369,-9.31196452863039,-10.086809314460066,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902,BL_WIENER,Baseline,Wiener Deconvolution,M3 restoration comparator,False,True,"{""balance"": 0.06, ""blend"": 0.35, ""psf_sigma"": 0.98}","{""gaussian_noise_sigma"": 0.04825}",0.0036401000106707215,0.0018217319643511294,27.395155214170327,0.853334783883363,0.0014320295401993235,93.117720851461,28.44048023220036,0.8875610163854957,1.0453250180300344,0.27048023220035944,True
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902,BL_CONTRAST_1_99,Baseline,Contrast Stretching,Global contrast baseline,False,True,"{""high_percentile"": 99.0, ""low_percentile"": 1.0}","{""gaussian_noise_sigma"": 0.04825}",0.0011626000050455332,0.0018217319643511294,27.395155214170327,0.853334783883363,0.0018217319643511294,118.45812098193218,27.395155214170327,0.853334783883363,0.0,-0.774844785829675,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903,B0,Baseline,Degraded input / P0,Controlled degraded input or direct Altered P0 control,False,True,"{""operation"": ""P0 only; clip/float range only""}","{""gaussian_noise_sigma"": 0.04825}",0.0003256000345572829,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.0018861192794631205,122.6449061470894,27.244308456524585,0.8752719994213581,0.0,-0.9256915434754163,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903,M1_NLM_h0.06,Member 1,Non-Local Means Denoising,Main frozen member technique,True,False,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}","{""gaussian_noise_sigma"": 0.04825}",0.09785340004600585,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.0011049383090626825,71.84861354680093,29.56661968840023,0.9486580246226788,2.322311231875645,1.3966196884002287,True
