Experiment,Protocol,Category,Image,Relative path,Seed,Candidate ID,Pipeline,Fixed parameters,Degradation parameters,Runtime (s),Input MSE,Input PSNR (dB),Input SSIM,MSE,MSE_255_equivalent,PSNR (dB),SSIM,Delta PSNR vs degraded input (dB),PSNR delta to 28.17 dB,Target exceeded,Delta PSNR vs NLM (dB),Delta MSE vs NLM,Delta SSIM vs NLM,Altered split,Member,Is member technique,Is baseline,Ridge coherence,Local contrast,Foreground/background separation proxy,Ridge coverage in foreground,Fragmentation per 1000 ridge pixels,Small connected components <20px,Ridge continuity proxy,Delta Ridge coherence vs P0,Delta Local contrast vs P0,Delta Foreground/background separation proxy vs P0,Delta Ridge coverage in foreground vs P0,Delta Fragmentation per 1000 ridge pixels vs P0,Delta Small connected components <20px vs P0,Delta Ridge continuity proxy vs P0,Delta Ridge coherence vs NLM,Delta Local contrast vs NLM,Delta Foreground/background separation proxy vs NLM,Delta Ridge coverage in foreground vs NLM,Delta Fragmentation per 1000 ridge pixels vs NLM,Delta Small connected components <20px vs NLM,Delta Ridge continuity proxy vs NLM
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C0_NLM,NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}","{""gaussian_noise_sigma"": 0.04825}",0.09423229994717985,0.0018217319643511294,27.395155214170327,0.853334783883363,0.0010615054191605731,69.02438988091627,29.74077784347228,0.9490708843501806,2.3456226293019533,1.5707778434722783,True,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C1_TV_NLM,TV -> NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}","{""gaussian_noise_sigma"": 0.04825}",0.09969740000087768,0.0018217319643511294,27.395155214170327,0.853334783883363,0.0012458016530081301,81.00825248685366,29.045510972122123,0.9387411551089286,1.6503557579517967,0.8755109721221217,True,-0.6952668713501566,0.000184296233847557,-0.010329729241251973,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,"{""Modified Gabor"": {""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}","{""gaussian_noise_sigma"": 0.04825}",1.9480858999304473,0.0018217319643511294,27.395155214170327,0.853334783883363,0.003477002437863203,226.0920835220548,24.587950048156873,0.9128063435776178,-2.8072051660134534,-3.5820499518431284,False,-5.152827795315407,0.0024154970187026297,-0.0362645407725628,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}","{""gaussian_noise_sigma"": 0.04825}",0.3898740999866277,0.0018217319643511294,27.395155214170327,0.853334783883363,0.0016052628104549845,104.38221424983537,27.944538556038296,0.9372271682503224,0.5493833418679692,-0.22546144396170575,False,-1.796239287433984,0.0005437573912944113,-0.011843716099858237,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}","{""gaussian_noise_sigma"": 0.04825}",0.38461790001019835,0.0018217319643511294,27.395155214170327,0.853334783883363,0.002444940526726928,158.9822577504185,26.117317006419796,0.9152477293085456,-1.2778382077505306,-2.0526829935802056,False,-3.623460837052484,0.001383435107566355,-0.03382315504163502,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C0_NLM,NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}","{""gaussian_noise_sigma"": 0.04825}",0.09501229994930327,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.0011049383090626825,71.84861354680093,29.56661968840023,0.9486580246226788,2.322311231875645,1.3966196884002287,True,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C1_TV_NLM,TV -> NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}","{""gaussian_noise_sigma"": 0.04825}",0.09994420001748949,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.0014984211483747237,97.4348351730664,28.24366106056185,0.9290063120927811,0.9993526040372629,0.07366106056184663,True,-1.322958627838382,0.0003934828393120412,-0.019651712529897725,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,"{""Modified Gabor"": {""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}","{""gaussian_noise_sigma"": 0.04825}",1.93687399988994,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.003625458836634018,235.74546085212702,24.40637021477005,0.9081260689242594,-2.837938241754536,-3.763629785229952,False,-5.160249473630181,0.0025205205275713356,-0.040531955698419386,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}","{""gaussian_noise_sigma"": 0.04825}",0.38463740004226565,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.0017273970225237046,112.32399138960389,27.62607833321486,0.9321240924260616,0.3817698766902744,-0.5439216667851419,False,-1.9405413551853705,0.000622458713461022,-0.01653393219661714,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}","{""gaussian_noise_sigma"": 0.04825}",0.38064380001742393,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.002800028942092956,182.07188195959446,25.52837479612672,0.8972167530591488,-1.7159336603978659,-2.641625203873282,False,-4.038244892273511,0.0016950906330302736,-0.051441271563529956,,,,,,,,,,,,,,,,,,,,,,,,,
