Experiment,Protocol,Category,Image,Relative path,Seed,Candidate ID,Pipeline,Stage order,Stage,Stage parameters,Runtime (s),MSE,MSE_255_equivalent,PSNR (dB),SSIM,Delta PSNR vs previous stage (dB),Delta MSE vs previous stage,Delta SSIM vs previous stage,Altered split,Ridge coherence,Local contrast,Foreground/background separation proxy,Ridge coverage in foreground,Fragmentation per 1000 ridge pixels,Small connected components <20px,Ridge continuity proxy,Delta Ridge coherence vs previous stage,Delta Local contrast vs previous stage,Delta Fragmentation per 1000 ridge pixels vs previous stage,Delta Ridge continuity proxy vs previous stage
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C0_NLM,NLM,0,P0 degraded input,"{""gaussian_noise_sigma"": 0.04825}",0.0,0.0018217319643511294,118.45812098193218,27.395155214170327,0.853334783883363,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C0_NLM,NLM,1,NLM,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.09423229994717985,0.0010615054191605731,69.02438988091627,29.74077784347228,0.9490708843501806,2.3456226293019533,-0.0007602265451905562,0.09573610046681758,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C1_TV_NLM,TV -> NLM,0,P0 degraded input,"{""gaussian_noise_sigma"": 0.04825}",0.0,0.0018217319643511294,118.45812098193218,27.395155214170327,0.853334783883363,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C1_TV_NLM,TV -> NLM,1,TV,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}",0.004819400026462972,0.0012280536415119861,79.85418803931691,29.107826627519696,0.9422582679080963,1.7126714133493692,-0.0005936783228391433,0.08892348402473327,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C1_TV_NLM,TV -> NLM,2,NLM,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.0948779999744147,0.0012458016530081301,81.00825248685366,29.045510972122123,0.9387411551089286,-0.062315655397572556,1.7748011496144037e-05,-0.0035171127991676654,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,0,P0 degraded input,"{""gaussian_noise_sigma"": 0.04825}",0.0,0.0018217319643511294,118.45812098193218,27.395155214170327,0.853334783883363,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,1,NLM,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.09480679989792407,0.0010615054191605731,69.02438988091627,29.74077784347228,0.9490708843501806,2.3456226293019533,-0.0007602265451905562,0.09573610046681758,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,2,Modified Gabor,"{""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}",1.8532791000325233,0.003477002437863203,226.0920835220548,24.587950048156873,0.9128063435776178,-5.152827795315407,0.0024154970187026297,-0.0362645407725628,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,0,P0 degraded input,"{""gaussian_noise_sigma"": 0.04825}",0.0,0.0018217319643511294,118.45812098193218,27.395155214170327,0.853334783883363,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,1,NLM,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.09514760004822165,0.0010615054191605731,69.02438988091627,29.74077784347228,0.9490708843501806,2.3456226293019533,-0.0007602265451905562,0.09573610046681758,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,2,Directional Diffusion,"{""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}",0.29472649993840605,0.0016052628104549845,104.38221424983537,27.944538556038296,0.9372271682503224,-1.796239287433984,0.0005437573912944113,-0.011843716099858237,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,0,P0 degraded input,"{""gaussian_noise_sigma"": 0.04825}",0.0,0.0018217319643511294,118.45812098193218,27.395155214170327,0.853334783883363,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,1,TV,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}",0.004628599970601499,0.0012280536415119861,79.85418803931691,29.107826627519696,0.9422582679080963,1.7126714133493692,-0.0005936783228391433,0.08892348402473327,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,2,NLM,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.09275249997153878,0.0012458016530081301,81.00825248685366,29.045510972122123,0.9387411551089286,-0.062315655397572556,1.7748011496144037e-05,-0.0035171127991676654,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,34__M_Right_ring_finger.BMP,data\SOCOFing\Real\34__M_Right_ring_finger.BMP,20260902.0,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,3,Directional Diffusion,"{""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}",0.2872368000680581,0.002444940526726928,158.9822577504185,26.117317006419796,0.9152477293085456,-2.9281939657023273,0.001199138873718798,-0.02349342580038305,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C0_NLM,NLM,0,P0 degraded input,"{""gaussian_noise_sigma"": 0.04825}",0.0,0.0018861192794631205,122.6449061470894,27.244308456524585,0.8752719994213581,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C0_NLM,NLM,1,NLM,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.09501229994930327,0.0011049383090626825,71.84861354680093,29.56661968840023,0.9486580246226788,2.322311231875645,-0.000781180970400438,0.07338602520132065,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C1_TV_NLM,TV -> NLM,0,P0 degraded input,"{""gaussian_noise_sigma"": 0.04825}",0.0,0.0018861192794631205,122.6449061470894,27.244308456524585,0.8752719994213581,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C1_TV_NLM,TV -> NLM,1,TV,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}",0.004734099959023297,0.0012875887130889062,83.72545606860612,28.902228389642826,0.9416207042701245,1.6579199331182402,-0.0005985305663742144,0.06634870484876632,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C1_TV_NLM,TV -> NLM,2,NLM,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.0952101000584662,0.0014984211483747237,97.4348351730664,28.24366106056185,0.9290063120927811,-0.6585673290809773,0.00021083243528581758,-0.012614392177343392,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,0,P0 degraded input,"{""gaussian_noise_sigma"": 0.04825}",0.0,0.0018861192794631205,122.6449061470894,27.244308456524585,0.8752719994213581,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,1,NLM,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.09362349996808916,0.0011049383090626825,71.84861354680093,29.56661968840023,0.9486580246226788,2.322311231875645,-0.000781180970400438,0.07338602520132065,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,2,Modified Gabor,"{""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}",1.8432504999218509,0.003625458836634018,235.74546085212702,24.40637021477005,0.9081260689242594,-5.160249473630181,0.0025205205275713356,-0.040531955698419386,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,0,P0 degraded input,"{""gaussian_noise_sigma"": 0.04825}",0.0,0.0018861192794631205,122.6449061470894,27.244308456524585,0.8752719994213581,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,1,NLM,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.09424180001951754,0.0011049383090626825,71.84861354680093,29.56661968840023,0.9486580246226788,2.322311231875645,-0.000781180970400438,0.07338602520132065,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,2,Directional Diffusion,"{""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}",0.2903956000227481,0.0017273970225237046,112.32399138960389,27.62607833321486,0.9321240924260616,-1.9405413551853705,0.000622458713461022,-0.01653393219661714,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,0,P0 degraded input,"{""gaussian_noise_sigma"": 0.04825}",0.0,0.0018861192794631205,122.6449061470894,27.244308456524585,0.8752719994213581,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,1,TV,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}",0.004431999986991286,0.0012875887130889062,83.72545606860612,28.902228389642826,0.9416207042701245,1.6579199331182402,-0.0005985305663742144,0.06634870484876632,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903.0,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,2,NLM,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.0898454999551177,0.0014984211483747237,97.4348351730664,28.24366106056185,0.9290063120927811,-0.6585673290809773,0.00021083243528581758,-0.012614392177343392,,,,,,,,,,,,
