Experiment,Protocol,Category,Candidate ID,Pipeline,Fixed parameters,Images,MSE_mean,MSE_std,MSE_255_equivalent_mean,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,Delta_PSNR_vs_degraded_mean,Delta_PSNR_vs_NLM_mean,Delta_MSE_vs_NLM_mean,Delta_SSIM_vs_NLM_mean,Runtime_mean,PSNR_delta_to_28_17,Target_exceeded,Member,Is member technique,Is baseline,Coherence_mean,Coherence_std,Local_contrast_mean,Local_contrast_std,Ridge_coverage_mean,Fragmentation_mean,Fragmentation_std,Small_components_mean,Ridge_continuity_mean,Delta_coherence_vs_P0_mean,Delta_contrast_vs_P0_mean,Delta_fragmentation_vs_P0_mean,Delta_continuity_vs_P0_mean,Delta_coherence_vs_NLM_mean,Delta_contrast_vs_NLM_mean,Delta_fragmentation_vs_NLM_mean,Delta_continuity_vs_NLM_mean
controlled compatibility,gaussian_noise_only_s055,Controlled,C0_NLM,NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",12,0.001149772648571575,0.00016399090033699043,74.7639664733699,29.436598143337637,0.6457128748343711,0.9407858269775708,0.014882360566360942,2.120384278668801,0.0,0.0,0.0,0.09473090829366503,1.2665981433376352,True,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,C1_TV_NLM,TV -> NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}",12,0.0012791571744266165,0.0001045589569035369,83.17719526709344,28.943611487771225,0.34610189050418233,0.9286094288691382,0.021907342316365437,1.6273976231023914,-0.4929866555664096,0.00012938452585501792,-0.012176398108432634,0.10176636667650497,0.7736114877712232,True,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,"{""Modified Gabor"": {""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",12,0.0030465340823904916,0.0005288837944891606,198.10087870744385,25.227697896859897,0.8094500214178414,0.9091216544172469,0.02086986168203746,-2.088515967808939,-4.20890024647774,0.0018967614338188585,-0.03166417256032391,1.999877716647461,-2.942302103140104,False,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",12,0.00151249016176535,0.00032165166592172564,98.34967276879478,28.296773826887687,0.9537024549587079,0.932010724043404,0.014040156074628333,0.9805599622188513,-1.1398243164499497,0.00036271751319372816,-0.008775102934166725,0.3986363083143563,0.12677382688768546,True,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}",12,0.0022328178168153916,0.0004921253939272724,145.1889785384238,26.609860931618297,0.9702758307664335,0.9105674522053698,0.020790517534093854,-0.7063529330505425,-2.8267372117193434,0.001083045168243775,-0.030218374772200917,0.4050815333612263,-1.5601390683817051,False,,,,,,,,,,,,,,,,,,,,
direct Altered compatibility,direct_altered_no_synthetic_degradation,Easy,C0_NLM,NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",3,,,,,,,,,,,,0.0911457332937667,,,Compatibility candidate,False,False,0.7236567139625549,0.0845025522191647,0.18319093187650046,0.0466833410584809,0.3742421468098958,2.6237465781271503,0.4204383512045773,0.3333333333333333,25.6513083420411,0.0529003540674845,-0.005771080652872633,-0.09652879189140523,1.7130246951783608,0.0,0.0,0.0,0.0
direct Altered compatibility,direct_altered_no_synthetic_degradation,Easy,C1_TV_NLM,TV -> NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}",3,,,,,,,,,,,,0.09730356671692181,,,Compatibility candidate,False,False,0.7435104846954346,0.08049483021859684,0.17378224432468412,0.04514567047800922,0.36921645528609576,2.780857132329446,0.5530126499770421,0.3333333333333333,25.689407878738752,0.07275412480036414,-0.015179768204688965,0.060581762310890706,1.7511242318760123,0.0198537707328796,-0.009408687551816234,0.15711055420229586,0.038099536697651835
direct Altered compatibility,direct_altered_no_synthetic_degradation,Easy,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,"{""Modified Gabor"": {""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",3,,,,,,,,,,,,1.9873330333502963,,,Compatibility candidate,False,False,0.7393523454666138,0.063291058550167,0.1699552461504936,0.0401001724886823,0.366455078125,2.921106361593465,0.58610091716352,0.6666666666666666,24.66925667407752,0.06859598557154334,-0.019006766378879502,0.2008309915749096,0.7309730272147803,0.015695631504058834,-0.013235685726006767,0.29735978346631475,-0.9820516679635803
direct Altered compatibility,direct_altered_no_synthetic_degradation,Easy,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",3,,,,,,,,,,,,0.40587120002601296,,,Compatibility candidate,False,False,0.7268124222755432,0.08177537797958954,0.16815614203612006,0.040427973802672316,0.3657277425130208,2.780200786520505,0.4617394777382307,0.6666666666666666,24.448238419106644,0.05605606238047276,-0.020805870493253036,0.059925416501949304,0.5099547722439036,0.003155708312988233,-0.0150347898403803,0.1564542083933545,-1.203069922934457
direct Altered compatibility,direct_altered_no_synthetic_degradation,Easy,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}",3,,,,,,,,,,,,0.39465019999382395,,,Compatibility candidate,False,False,0.7434173623720804,0.07896221667124402,0.15987725555896753,0.0389915451127058,0.3602097324465772,2.9659276324414257,0.474850545483969,0.6666666666666666,23.521544790323574,0.07266100247701006,-0.029084756970405534,0.24565226242286972,-0.41673885653917014,0.0197606484095255,-0.0233136763175328,0.3421810543142749,-2.129763551717531
