Evidence level,Member / role,Technique ID / Pipeline ID,Technique / Pipeline,Source output file,Dataset/sample,Protocol,Metric domain,Images,MSE,PSNR (dB),SSIM,Coherence,Local contrast,Fragmentation,Continuity,Target exceeded,Observation
summary,Member 1 main technique,NLM_h0.06,OpenCV Non-Local Means,focused_psnr_audit_test_summary.csv,12 held-out SOCOFing Real test images,"Gaussian noise only, severity 0.55; fixed parameters selected on separate dev subset","aligned grayscale [0,1]",12.0,0.0011966390227452,29.250405235992805,0.9440033933634658,,,,,True,Best confirmed controlled PSNR; all 12 held-out images exceed 28.17 dB.
per-image,Member 1 main technique,NLM_h0.06,OpenCV Non-Local Means,focused_psnr_audit_test_per_image.csv,559__M_Right_index_finger.BMP,"Gaussian noise only, severity 0.55; held-out test image","aligned grayscale [0,1]",1.0,0.0012824037404127,28.919752239366357,0.9469526010488272,,,,,True,Held-out per-image PSNR for the frozen NLM setting.
per-image,Member 1 main technique,NLM_h0.06,OpenCV Non-Local Means,focused_psnr_audit_test_per_image.csv,52__M_Right_little_finger.BMP,"Gaussian noise only, severity 0.55; held-out test image","aligned grayscale [0,1]",1.0,0.0008765773567474,30.572097519876262,0.9114510772141218,,,,,True,Held-out per-image PSNR for the frozen NLM setting.
per-image,Member 1 main technique,NLM_h0.06,OpenCV Non-Local Means,focused_psnr_audit_test_per_image.csv,384__F_Left_middle_finger.BMP,"Gaussian noise only, severity 0.55; held-out test image","aligned grayscale [0,1]",1.0,0.0013564747067768,28.675882998085083,0.9450311595611572,,,,,True,Held-out per-image PSNR for the frozen NLM setting.
per-image,Member 1 main technique,NLM_h0.06,OpenCV Non-Local Means,focused_psnr_audit_test_per_image.csv,410__M_Right_ring_finger.BMP,"Gaussian noise only, severity 0.55; held-out test image","aligned grayscale [0,1]",1.0,0.0012141149965095,29.157401765356656,0.9579452769397496,,,,,True,Held-out per-image PSNR for the frozen NLM setting.
per-image,Member 1 main technique,NLM_h0.06,OpenCV Non-Local Means,focused_psnr_audit_test_per_image.csv,337__F_Right_index_finger.BMP,"Gaussian noise only, severity 0.55; held-out test image","aligned grayscale [0,1]",1.0,0.0011863029355099,29.258043949339346,0.9454841002335548,,,,,True,Held-out per-image PSNR for the frozen NLM setting.
per-image,Member 1 main technique,NLM_h0.06,OpenCV Non-Local Means,focused_psnr_audit_test_per_image.csv,74__F_Right_ring_finger.BMP,"Gaussian noise only, severity 0.55; held-out test image","aligned grayscale [0,1]",1.0,0.0012537262257704,29.01797289357034,0.9443232998576164,,,,,True,Held-out per-image PSNR for the frozen NLM setting.
per-image,Member 1 main technique,NLM_h0.06,OpenCV Non-Local Means,focused_psnr_audit_test_per_image.csv,296__M_Left_index_finger.BMP,"Gaussian noise only, severity 0.55; held-out test image","aligned grayscale [0,1]",1.0,0.0011502773666111,29.391974255034334,0.9396239259736536,,,,,True,Held-out per-image PSNR for the frozen NLM setting.
per-image,Member 1 main technique,NLM_h0.06,OpenCV Non-Local Means,focused_psnr_audit_test_per_image.csv,103__F_Left_middle_finger.BMP,"Gaussian noise only, severity 0.55; held-out test image","aligned grayscale [0,1]",1.0,0.0012758350916151,28.94205456829509,0.9468666180448532,,,,,True,Held-out per-image PSNR for the frozen NLM setting.
per-image,Member 1 main technique,NLM_h0.06,OpenCV Non-Local Means,focused_psnr_audit_test_per_image.csv,355__M_Right_middle_finger.BMP,"Gaussian noise only, severity 0.55; held-out test image","aligned grayscale [0,1]",1.0,0.0012097583353693,29.173013768718008,0.9531930119123458,,,,,True,Held-out per-image PSNR for the frozen NLM setting.
