Dataset split,Image,Path,Ridge coherence,Sharpness Laplacian variance,Local contrast,Intensity dynamic range,Foreground usable-area ratio,Valid ridge-frequency-block ratio,Mean valid ridge frequency,Eligible frequency-block ratio,Orientation confidence valid ratio,Entropy,Log sharpness,Ridge coherence score,Log sharpness score,Local contrast score,Intensity dynamic range score,Foreground usable-area ratio score,Valid ridge-frequency-block ratio score,Orientation confidence valid ratio score,Entropy score,Diagnostic quality score,Quality band vs Real,Selected for screening24
Real,100__M_Left_index_finger.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,0.7706694602966309,1924.91795080062,0.2295648753643036,1.0,1.0,1.0,0.11164305206608896,1.0,0.9260711669921875,-0.46858351576605256,3.2844122225333714,0.992663104361026,0.8834755668800799,0.9122312157217343,0.5,1.0,0.5,0.9979536195549988,1.0,0.8482904383147299,Higher quality,False
Real,101__M_Left_middle_finger.BMP,data\SOCOFing\Real\101__M_Left_middle_finger.BMP,0.7088896036148071,1716.3584789275433,0.195215106010437,1.0,0.9877777099609375,1.0,0.10801578945043533,0.96875,0.8361319224530779,-1.1570477153136376,3.2346079998068222,0.7232917972414711,0.776210300831525,0.5706835754114603,0.5,0.0,0.5,0.6285234515753629,0.516941980062655,0.5269563881403092,Lower quality,False
Real,102__M_Left_thumb_finger.BMP,data\SOCOFing\Real\102__M_Left_thumb_finger.BMP,0.581216037273407,1345.119855097495,0.18710780143737793,1.0,1.0,1.0,0.10139670506851228,1.0,0.7550201416015625,-1.082344359414134,3.1287609832888887,0.16661204275255342,0.5482435187861626,0.49007078533188647,0.5,1.0,0.5,0.295352554058289,0.5698852109733423,0.5087705139877792,Lower quality,False
Real,103__F_Right_little_finger.BMP,data\SOCOFing\Real\103__F_Right_little_finger.BMP,0.46422266960144043,264.0590335642919,0.09234805405139923,1.0,1.0,1.0,0.09398070854884137,0.96875,0.5609893798828125,-2.809969594721558,2.421701029465171,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.25,Lower quality,False
Real,104__M_Right_ring_finger.BMP,data\SOCOFing\Real\104__M_Right_ring_finger.BMP,0.6585803031921387,1846.041730097495,0.2043292224407196,1.0,1.0,1.0,0.11285419789649642,1.0,0.8374176025390625,-0.8229669580210739,3.2662415141038865,0.5039341822680509,0.8443406147158649,0.6613073268610669,0.5,1.0,0.5,0.6338044500156693,0.7537093175294182,0.6746369864237588,Medium quality,False
Real,106__M_Left_index_finger.BMP,data\SOCOFing\Real\106__M_Left_index_finger.BMP,0.6240452527999878,1482.6352969920263,0.20660743117332458,1.0,1.0,1.0,0.10443379338494149,0.953125,0.7666168212890625,-1.036464673208855,3.1710343351263353,0.3533551397577379,0.6392892591544925,0.6839600791616555,0.5,1.0,0.5,0.3429865246004388,0.602400735766414,0.5777489673050924,Medium quality,False
Real,107__M_Left_middle_finger.BMP,data\SOCOFing\Real\107__M_Left_middle_finger.BMP,0.7119427919387817,1903.2214481150731,0.20512141287326813,1.0,1.0,1.0,0.11256960691011983,0.984375,0.8679046630859375,-0.929522768915117,3.2794893232839057,0.7366042484817987,0.8728729298180888,0.6691842581477355,0.5,1.0,0.5,0.7590316515198999,0.6781918413315873,0.7144856161623887,Higher quality,False
Real,108__M_Left_thumb_finger.BMP,data\SOCOFing\Real\108__M_Left_thumb_finger.BMP,0.720360517501831,1779.232861689292,0.2357781082391739,1.0,1.0,1.0,0.10394155902850849,1.0,0.8755035400390625,-0.9234100211342913,3.2502327912140863,0.7733070487095532,0.8098620137887865,0.9740108161973136,0.5,1.0,0.5,0.790244437480414,0.6825240244492295,0.753743542578162,Higher quality,False
Real,109__F_Right_little_finger.BMP,data\SOCOFing\Real\109__F_Right_little_finger.BMP,0.6336642503738403,1277.0759708201513,0.19740697741508484,1.0,1.0,1.0,0.10419662435803714,1.0,0.790618896484375,-1.1128787595981184,3.1062167333844735,0.3952957024073565,0.49968910248416637,0.5924778558448677,0.5,1.0,0.5,0.4415763083672831,0.5482450881141394,0.5596605071522267,Medium quality,False
Real,10__M_Right_ring_finger.BMP,data\SOCOFing\Real\10__M_Right_ring_finger.BMP,0.5802964568138123,979.9689246303891,0.16070996224880219,1.0,0.944061279296875,1.0,0.1003555763990672,0.9375,0.7370454178115403,-1.4134310371736203,2.9912123041868584,0.1626025062513865,0.2519996492750427,0.2275910117047245,0.5,0.0,0.5,0.2215204325726798,0.33523981625166727,0.2748691770069376,Lower quality,False
Real,111__M_Left_index_finger.BMP,data\SOCOFing\Real\111__M_Left_index_finger.BMP,0.6661466360092163,1423.6012393748388,0.21574288606643677,1.0,1.0,1.0,0.10163745035769901,1.0,0.8516693115234375,-0.7811472678104597,3.1533883574249657,0.5369247567126405,0.6012844396993888,0.774796003844573,0.5,1.0,0.5,0.6923440927608903,0.7833474708462851,0.6735870954829721,Medium quality,False
Real,112__M_Left_middle_finger.BMP,data\SOCOFing\Real\112__M_Left_middle_finger.BMP,0.6265909671783447,1344.8497440135106,0.1559969186782837,1.0,1.0,1.0,0.12056908473920049,0.984375,0.807952880859375,-0.8682085249030395,3.128673764642471,0.36445491315447365,0.5480556726397878,0.18072813779116498,0.5,1.0,0.5,0.5127765590723913,0.7216460361232193,0.5409576648476296,Medium quality,True
Real,113__M_Left_thumb_finger.BMP,data\SOCOFing\Real\113__M_Left_thumb_finger.BMP,0.6760499477386475,1649.9936649119481,0.2085695117712021,1.0,1.0,1.0,0.11465983356719203,1.0,0.85504150390625,-0.7853281112636746,3.2174822767599274,0.5801049803105717,0.7393259737939344,0.7034694968639958,0.5,1.0,0.5,0.7061955499843312,0.7803844532190345,0.6886850567714834,Medium quality,False
Real,114__F_Right_little_finger.BMP,data\SOCOFing\Real\114__F_Right_little_finger.BMP,0.6385785341262817,1297.1502811228856,0.16997724771499634,1.0,1.0,1.0,0.10886312948151099,0.96875,0.7748870849609375,-1.5375674741712373,3.1129902941114906,0.41672286506280176,0.5142775802015835,0.31973775803226623,0.5,1.0,0.5,0.3769570667502351,0.24726272380034278,0.4843697492309037,Lower quality,False
Real,115__F_Right_ring_finger.BMP,data\SOCOFing\Real\115__F_Right_ring_finger.BMP,0.5436520576477051,1832.4954044139013,0.16784928739070892,1.0,1.0,1.0,0.12198406366846236,0.953125,0.6992340087890625,-1.138971238526189,3.2630428941780023,0.0028263230073559344,0.8374516242135538,0.29857896013913166,0.5,1.0,0.5,0.0662080852397367,0.5297530120850589,0.46685225058560464,Lower quality,False
Real,117__F_Left_index_finger.BMP,data\SOCOFing\Real\117__F_Left_index_finger.BMP,0.7408133745193481,1384.8537723338231,0.18109232187271118,1.0,1.0,1.0,0.10613485584235041,1.0,0.89923095703125,-1.1215469831931526,3.1414039183670965,0.8624851906646618,0.5754730933193205,0.4302574914060765,0.5,1.0,0.5,0.8877060482607336,0.5421018063585682,0.66225295375117,Medium quality,False
Real,118__F_Left_middle_finger.BMP,data\SOCOFing\Real\118__F_Left_middle_finger.BMP,0.679623007774353,910.9390079295263,0.17826704680919647,1.0,1.0,1.0,0.10298366845904908,1.0,0.83978271484375,-1.102400011748186,2.959489299688258,0.5956841658886732,0.1836765969088832,0.402165133019912,0.5,1.0,0.5,0.6435192729551866,0.5556715117385368,0.547589585063899,Medium quality,False
Real,119__F_Left_thumb_finger.BMP,data\SOCOFing\Real\119__F_Left_thumb_finger.BMP,0.628948450088501,1862.0647403514013,0.17710848152637482,1.0,1.0,1.0,0.13042606647616664,1.0,0.8185882568359375,-0.636522175968118,3.2699947764780783,0.37473396343280874,0.8524241599471231,0.39064525251018745,0.5,1.0,0.5,0.5564619241617049,0.8858451369911515,0.632513804630372,Medium quality,False
Real,11__M_Right_little_finger.BMP,data\SOCOFing\Real\11__M_Right_little_finger.BMP,0.7601746320724487,1912.803906611167,0.2276206612586975,1.0,1.0,1.0,0.11138936188039564,1.0,0.8989105224609375,-0.6231137537134136,3.2816704500890754,0.9469037622618257,0.8775705063333719,0.8928994486525922,0.5,1.0,0.5,0.8863898464431216,0.895347858616319,0.8123889277884038,Higher quality,False
