Ablation type,Image,Severity,Stage,Operation,Parameters,PSNR before (dB),PSNR after (dB),Delta PSNR (dB),MSE after,SSIM after,Ridge coherence after,Irreversible risk
Sequential current pipeline,75__F_Left_middle_finger.BMP,0.35,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.7891023755073547,reference only
Sequential current pipeline,75__F_Left_middle_finger.BMP,0.35,1.0,Optical/sensor Gaussian blur,sigma=0.9800,inf,23.063784163179555,,0.0049388016399473135,0.919229959205985,0.8365904688835144,blur removes high-frequency ridge detail
Sequential current pipeline,75__F_Left_middle_finger.BMP,0.35,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.7970; illumination_amplitude=0.0560,23.063784163179555,18.753143668821224,-4.310640494358331,0.013325565032885725,0.8172106964311748,0.8514174222946167,low contrast can bury weak ridges
Sequential current pipeline,75__F_Left_middle_finger.BMP,0.35,3.0,Gaussian sensor noise,sigma=0.0372,18.753143668821224,18.32707016624301,-0.4260735025782125,0.014699175777831018,0.7489149410329592,0.7217743992805481,noise can obscure ridge/valley boundaries
Sequential current pipeline,75__F_Left_middle_finger.BMP,0.35,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000525; salt_probability=0.000525,18.32707016624301,18.22812674329394,-0.09894342294906977,0.01503790461118318,0.7443672267733003,0.7126908898353577,local clipping to 0/1 at impulse pixels
Sequential current pipeline,75__F_Left_middle_finger.BMP,0.35,5.0,Partial smudge/occlusion,"centre=(149,137); radii=(3,8); rotation=0.3289; patch_blur_sigma=3.7000",18.22812674329394,18.205923288899456,-0.02220345439448579,0.015114983280240843,0.7435694100628281,0.7118552923202515,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,75__F_Left_middle_finger.BMP,0.35,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.000702,18.205923288899456,18.205923288899456,0.0,0.015114983280240843,0.7435694100628281,0.7118552923202515,saturation is irreversible where clipping occurs
Independent component,75__F_Left_middle_finger.BMP,0.35,,Gaussian noise only,sigma=0.0372,inf,29.191434894128562,,0.0012046378663794167,0.9340623387128115,0.7324604988098145,recoverable only statistically
Independent component,75__F_Left_middle_finger.BMP,0.35,,Salt-and-pepper noise only,salt_probability=0.000525; pepper_probability=0.000525,inf,34.366445137619664,,0.00036589416709958966,0.9935203561443686,0.7843329906463623,pixel clipping at impulses
Independent component,75__F_Left_middle_finger.BMP,0.35,,Blur only,sigma=0.9800,inf,23.063784163179555,,0.0049388016399473135,0.919229959205985,0.8365904688835144,high-frequency detail loss
Independent component,75__F_Left_middle_finger.BMP,0.35,,Contrast reduction + illumination only,contrast_scale=0.7970; illumination_amplitude=0.0560,inf,22.414045586075808,,0.0057358190416112505,0.9362776242325306,0.8076798915863037,low contrast
Independent component,75__F_Left_middle_finger.BMP,0.35,,Partial smudge/occlusion only,"radii=(3,8); patch_blur_sigma=3.7000",inf,41.11352761539518,,7.738329861961546e-05,0.9993436097831726,0.7889540791511536,localized overwritten ridge detail
Sequential current pipeline,422__M_Left_index_finger.BMP,0.55,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.7715848088264465,reference only
Sequential current pipeline,422__M_Left_index_finger.BMP,0.55,1.0,Optical/sensor Gaussian blur,sigma=1.3400,inf,20.755440454977645,,0.008403417765700515,0.8680148895015121,0.8244472742080688,blur removes high-frequency ridge detail
Sequential current pipeline,422__M_Left_index_finger.BMP,0.55,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.6810; illumination_amplitude=0.0880,20.755440454977645,15.730674898999268,-5.024765555978377,0.026725910524338335,0.6907882332583247,0.8399964570999146,low contrast can bury weak ridges
Sequential current pipeline,422__M_Left_index_finger.BMP,0.55,3.0,Gaussian sensor noise,sigma=0.0483,15.730674898999268,15.369442917381871,-0.3612319816173972,0.02904395186093127,0.585375722430807,0.591458797454834,noise can obscure ridge/valley boundaries
Sequential current pipeline,422__M_Left_index_finger.BMP,0.55,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000825; salt_probability=0.000825,15.369442917381871,15.273679653394892,-0.09576326398697965,0.029691492901179208,0.5778426193653539,0.5747467279434204,local clipping to 0/1 at impulse pixels
Sequential current pipeline,422__M_Left_index_finger.BMP,0.55,5.0,Partial smudge/occlusion,"centre=(112,149); radii=(4,14); rotation=0.5752; patch_blur_sigma=4.1000",15.273679653394892,15.254600222425044,-0.019079430969847877,0.029822220553575703,0.5762982588451102,0.5745490789413452,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,422__M_Left_index_finger.BMP,0.55,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.000992,15.254600222425044,15.254600222425044,0.0,0.029822220553575703,0.5762982588451102,0.5745490789413452,saturation is irreversible where clipping occurs
Independent component,422__M_Left_index_finger.BMP,0.55,,Gaussian noise only,sigma=0.0483,inf,27.175105870812416,,0.0019164143444773672,0.8966908625195622,0.685382068157196,recoverable only statistically
Independent component,422__M_Left_index_finger.BMP,0.55,,Salt-and-pepper noise only,salt_probability=0.000825; pepper_probability=0.000825,inf,32.324400507901736,,0.0005855445582337859,0.9889325250485539,0.7621371150016785,pixel clipping at impulses
