Family,Technique ID,Technique,Metric domain,Role hint,Is image-processing technique,Images,MSE mean,MSE std,PSNR (dB) mean,PSNR (dB) std,SSIM mean,SSIM std,Ridge coherence mean,Ridge coherence std,Delta PSNR vs degraded (dB) mean,Delta PSNR vs degraded (dB) std,Delta PSNR vs common preprocessing (dB) mean,Delta PSNR vs common preprocessing (dB) std,PSNR delta to 28.17 dB mean,PSNR delta to 28.17 dB std,Runtime (s) mean,Runtime (s) std,Binary foreground/ridge ratio mean,Binary foreground/ridge ratio std,Connected components mean,Connected components std,Small components <20px mean,Small components <20px std,Largest component fraction mean,Largest component fraction std,Fragmentation per 1000 ridge pixels mean,Fragmentation per 1000 ridge pixels std,Skeleton pixels mean,Skeleton pixels std,Skeleton endpoints mean,Skeleton endpoints std,Skeleton bifurcations mean,Skeleton bifurcations std,Ridge continuity proxy mean,Ridge continuity proxy std,Structural coherence mean,Structural coherence std,Reference ROI IoU proxy mean,Reference ROI IoU proxy std,Table,Main Metric,Result,Metric column
Contrast Enhancement,C1,Global histogram equalisation,grayscale,M1 baseline candidate,True,24.0,0.031167409331174154,0.015004590255167436,15.615441731166689,2.3368943761091248,0.5266396294495395,0.15036241788822427,0.4714331018428008,0.11872251004883991,-0.28157259752397756,2.0283499763782333,-0.28157259752397756,2.0283499763782333,-12.554558268833313,2.3368943761091248,0.003779795833300644,0.0006735603372628352,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Contrast Enhancement,C2,Adaptive histogram equalisation,grayscale,M1 baseline candidate,True,24.0,0.10028599229929104,0.02772676133851294,10.155069475455486,1.2643623973686569,0.4570941938509092,0.13235654678697972,0.4626530210177104,0.11486101945065506,-5.741944853235181,2.1796278957440176,-5.741944853235181,2.1796278957440176,-18.014930524544514,1.264362397368657,0.0063044874962846125,0.00202994748040514,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Contrast Enhancement,C3,CLAHE,grayscale,M1 baseline candidate,True,24.0,0.0936142299712216,0.025822925190904806,10.454648555593684,1.2644824695857706,0.46034017884377065,0.13305776843223363,0.46335367237528163,0.11534370127804502,-5.442365773096983,1.9464734291098367,-5.442365773096983,1.9464734291098367,-17.71535144440632,1.2644824695857706,0.006324824993498623,0.001207673247640464,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Contrast Enhancement,C4,Contrast stretching,grayscale,M1 candidate,True,24.0,0.02301081772471508,0.012632616478543055,17.111871512767234,2.6899635469963137,0.5540773241533956,0.15946611423119111,0.47413889939586323,0.12182414367081237,1.2148571840765678,0.48313564428621564,1.2148571840765678,0.48313564428621564,-11.058128487232766,2.6899635469963137,0.0013600083426960434,0.00037108297518683564,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Contrast Enhancement,C5,Gamma correction,grayscale,M1 candidate,True,24.0,0.032228880765429374,0.013396988556978197,15.345914759782815,2.069925876883428,0.4993671229500862,0.15197146975467407,0.4674203159908454,0.12220028191875207,-0.5510995689078537,0.44406642453756245,-0.5510995689078537,0.44406642453756245,-12.824085240217187,2.069925876883428,0.001116675009446529,0.0002794442405745902,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Contrast Enhancement,C6,Homomorphic filtering,grayscale,M1 candidate,True,24.0,0.03767585490022765,0.013529916298625915,14.529678970353162,1.6667579440706664,0.45539827323800225,0.1326161011279267,0.47021210566163063,0.1218088663273328,-1.3673353583375045,0.7650600382837173,-1.3673353583375045,0.7650600382837173,-13.64032102964684,1.6667579440706664,0.010281012492972271,0.0016151358877826308,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Control,CONTROL-DEGRADED,Degraded Input,grayscale,"Input condition/control, not a technique",False,24.0,0.029307938823577698,0.014158197237080953,15.897014328690666,2.371908667322826,0.5080826086139989,0.1573526232967078,0.46895937000711757,0.1221633664471483,0.0,0.0,0.0,0.0,-12.272985671309335,2.371908667322826,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Control,CONTROL-P0,Common Preprocessed Input P0,grayscale,"Common preprocessing control, not a member technique",False,24.0,0.029307938823577698,0.014158197237080953,15.897014328690666,2.371908667322826,0.5080826086139989,0.1573526232967078,0.46895937000711757,0.1221633664471483,0.0,0.0,0.0,0.0,-12.272985671309335,2.371908667322826,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Denoising,D1,Gaussian filtering,grayscale,M1 candidate,True,24.0,0.028750656703207575,0.013130104181313192,15.914590563335452,2.2291585759808226,0.5761990853928363,0.13657442648071216,0.556834821899732,0.10375056188899077,0.017576234644784083,0.22597904663487947,0.017576234644784083,0.22597904663487947,-12.25540943666455,2.2291585759808226,0.00101603333556947,0.0003188489198634384,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Denoising,D2,Median filtering,grayscale,M1 candidate,True,24.0,0.029008494387010805,0.013218590352089348,15.874611741545815,2.227311662637317,0.5783367052362692,0.13427671962596455,0.5970520004630089,0.09091992689551738,-0.02240258714485181,0.23581641440777132,-0.02240258714485181,0.23581641440777132,-12.295388258454187,2.227311662637317,0.008628104165836703,0.0010324716059108496,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Denoising,D3,Bilateral filtering,grayscale,M1 candidate,True,24.0,0.030017915581738653,0.014334497797132195,15.777232660911148,2.3367426010917365,0.5184151205701001,0.16496210101524889,0.47334372128049534,0.1262084638005974,-0.11978166777951878,0.08050400174339664,-0.11978166777951878,0.08050400174339664,-12.392767339088854,2.3367426010917365,0.12389000415957223,0.019288780573509662,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Denoising,D4,Non-local means,grayscale,M1 candidate,True,24.0,0.030664387098906815,0.0142435899551156,15.651557285732574,2.2611864712458756,0.5588185774756295,0.14899125421587417,0.5604702656467756,0.11914412703447091,-0.245457042958094,0.2029229040523462,-0.245457042958094,0.2029229040523462,-12.51844271426743,2.2611864712458756,0.05529632500353424,0.006270244199047479,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Denoising,D5,Wiener noise filtering,grayscale,M1 candidate,True,24.0,0.03336996248755159,0.012595428385446663,15.104254842962867,1.8293445383327789,0.5138625155262995,0.10592143552983858,0.6210510656237602,0.07883744685534823,-0.7927594857278013,0.7614792765284771,-0.7927594857278013,0.7614792765284771,-13.065745157037135,1.8293445383327789,0.005161524987973583,0.0010376365772396853,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Denoising,D6,Wavelet denoising,grayscale,M1 candidate,True,24.0,0.02899463614858654,0.013765691567080214,15.923194625551028,2.3293793819153246,0.5393750794667505,0.1547497597873375,0.5188000313937664,0.11365014163991781,0.02618029686036209,0.08251206400818893,0.02618029686036209,0.08251206400818893,-12.246805374448973,2.3293793819153246,0.0033968249990721233,0.0005785105314028993,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Denoising,D7,Anisotropic diffusion,grayscale,M1 candidate,True,24.0,0.029684826268138953,0.013502243719097452,15.771188399854665,2.2152636533713252,0.5761675097232755,0.1455140816930995,0.5610792363683382,0.11305702182843479,-0.1258259288360016,0.2095575261518715,-0.1258259288360016,0.2095575261518715,-12.398811600145336,2.2152636533713252,0.006897245829653305,0.0011662345680358498,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Fingerprint Ridge Enhancement,G1,Ordinary Gabor filter,grayscale,M2 baseline,True,24.0,0.044820508067252164,0.012716903844542635,13.677734820789729,1.373652985088347,0.44086016727504046,0.12221176760142365,0.49687396610776585,0.11438495653664571,-2.2192795079009398,1.3098802895227504,-2.2192795079009398,1.3098802895227504,-14.492265179210273,1.373652985088347,1.0698496416637984,0.10036626405825194,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Fingerprint Ridge Enhancement,G2,Literature-inspired Modified Gabor,grayscale,M2 literature technique,True,24.0,0.029750895508437902,0.01311993076504801,15.725551681949947,2.127060073033822,0.5097066144575394,0.15011087673797047,0.47614820053180057,0.1200478496008123,-0.171462646740722,0.3059052491153934,-0.171462646740722,0.3059052491153934,-12.444448318050055,2.127060073033822,2.1486319500011937,0.19860346764065714,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Fingerprint Ridge Enhancement,G3,Adaptive local-orientation Gabor,grayscale,M2 candidate,True,24.0,0.02926421290145284,0.012542394508674665,15.771097339304115,2.0670412716667754,0.5172731901348665,0.1445201495246926,0.4812301807105541,0.11668521220551253,-0.12591698938655171,0.39283692486985244,-0.12591698938655171,0.39283692486985244,-12.398902660695887,2.0670412716667754,0.5023707583241048,0.07175747735985576,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Fingerprint Ridge Enhancement,G4,Adaptive orientation-frequency Gabor,grayscale,M2 candidate,True,24.0,0.029933639170888232,0.012840232127256226,15.671488847368275,2.0602485912869217,0.5095320201085984,0.14817422022149898,0.4769881491859754,0.11921612467403889,-0.22552548132239272,0.3878258018519909,-0.22552548132239272,0.3878258018519909,-12.498511152631727,2.0602485912869217,2.151174454166418,0.16643176565399884,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Fingerprint Ridge Enhancement,G5,Log-Gabor,grayscale,M2 candidate,True,24.0,0.035342207791759644,0.012248457628293293,14.805853998653353,1.6909430350793067,0.46550160217878805,0.13782029877015267,0.4617949252327283,0.11954530830147758,-1.0911603300373167,0.8112936968510154,-1.0911603300373167,0.8112936968510154,-13.364146001346649,1.6909430350793067,0.3531803875011974,0.048422983501424266,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Fingerprint Ridge Enhancement,G6,STFT contextual enhancement,grayscale,M2 candidate,True,24.0,0.04406055676254794,0.013073681427005959,13.76675334305232,1.4211207225576885,0.38421934528011176,0.12387868572007292,0.4300853895644347,0.11537020707355196,-2.1302609856383463,1.0173231509742653,-2.1302609856383463,1.0173231509742653,-14.403246656947681,1.4211207225576885,0.06681957499919615,0.006660578288237197,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Fingerprint Ridge Enhancement,G7,Coherence-guided directional diffusion,grayscale,M2/M3 candidate,True,24.0,0.029728345500668062,0.01366131956315221,15.775740767393202,2.2410438577847427,0.5043553698355523,0.1498743585852644,0.497794425735871,0.12246361037158839,-0.12127356129746499,0.19850303059472435,-0.12127356129746499,0.19850303059472435,-12.3942592326068,2.2410438577847427,0.3566083166539708,0.034436688346676035,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Fingerprint Ridge Enhancement,G8,Directional oriented filter-bank,grayscale,M2 candidate,True,24.0,0.029401188833593325,0.013957068862626678,15.861385511715282,2.3244439939646404,0.5085101587218266,0.15450544603069116,0.4804763433833917,0.12165714390290575,-0.035628816975387036,0.07553684374887873,-0.035628816975387036,0.07553684374887873,-12.308614488284723,2.3244439939646404,0.11465086250245804,0.015871507092270334,,,,,,,,,,,,,,,,,,,,,,,Technique summary,,,
Morphological Ridge Restoration,M3-1,Opening,ridge map,M3 candidate,True,24.0,,,,,,,,,,,,,,,,,0.22107442220052084,0.08755441882738942,133.79166666666666,54.215334880750156,51.0,26.72728617138217,0.30687309863666695,0.10090699764638295,10.228918673065698,4.250780592299034,2721.8333333333335,1235.3169516421658,249.41666666666666,99.49171548061356,26.125,20.6383191513094,11.485284852823149,4.802368616888737,0.530544667194287,0.12518319110086482,,,Technique summary,,,
Morphological Ridge Restoration,M3-2,Closing,ridge map,M3 candidate,True,24.0,,,,,,,,,,,,,,,,,0.2528463999430339,0.09018703314301285,65.54166666666667,32.920165838594734,0.5833333333333334,0.7755316082290384,0.36044731612006825,0.1683352336607524,4.655810460399397,2.7139793837277706,3538.5833333333335,1338.7013147617834,200.29166666666666,75.56654376264594,87.95833333333333,36.153632527417436,20.440566816425775,12.853585996697532,0.5297501261035601,0.12387750976097654,,,Technique summary,,,
Morphological Ridge Restoration,M3-3,Opening + Closing,ridge map,M3 candidate,True,24.0,,,,,,,,,,,,,,,,,0.22388013203938803,0.08882616593328947,115.41666666666667,48.198788246239104,40.375,21.705163681363533,0.3324414845556021,0.1331308651774196,8.890855675555894,4.00988167333091,2747.125,1264.6470658199294,222.91666666666666,90.19491775264167,29.583333333333332,24.812193122258094,13.16612189998304,6.453696726462962,0.5297752631207308,0.12488739723051157,,,Technique summary,,,
