Image,Quality band,Severity,Technique ID,Technique,Detected ridge endings,Detected bifurcations,Filtered ridge endings,Filtered bifurcations,Skeleton pixels,Connected components,Counts are accuracy
75__F_Left_middle_finger.BMP,Higher quality,0.35,T1,Standard skeletonisation,136,88,126,57,5428,37,False
75__F_Left_middle_finger.BMP,Higher quality,0.35,T2,Zhang-Suen thinning,132,86,125,56,6062,37,False
75__F_Left_middle_finger.BMP,Higher quality,0.35,T3,Guo-Hall thinning,140,94,125,61,5475,37,False
75__F_Left_middle_finger.BMP,Higher quality,0.35,T4,Morphological skeleton / medial axis,151,105,126,67,5569,37,False
422__M_Left_index_finger.BMP,Higher quality,0.55,T1,Standard skeletonisation,175,67,159,46,4088,54,False
422__M_Left_index_finger.BMP,Higher quality,0.55,T2,Zhang-Suen thinning,168,60,151,44,4448,54,False
422__M_Left_index_finger.BMP,Higher quality,0.55,T3,Guo-Hall thinning,191,81,164,62,4173,54,False
422__M_Left_index_finger.BMP,Higher quality,0.55,T4,Morphological skeleton / medial axis,208,98,168,74,4330,54,False
184__M_Right_index_finger.BMP,Higher quality,0.75,T1,Standard skeletonisation,216,14,180,13,2328,103,False
184__M_Right_index_finger.BMP,Higher quality,0.75,T2,Zhang-Suen thinning,215,12,177,11,2408,103,False
184__M_Right_index_finger.BMP,Higher quality,0.75,T3,Guo-Hall thinning,226,20,184,18,2445,103,False
184__M_Right_index_finger.BMP,Higher quality,0.75,T4,Morphological skeleton / medial axis,247,39,196,31,2649,103,False
445__M_Left_ring_finger.BMP,Higher quality,0.35,T1,Standard skeletonisation,173,85,155,54,4933,47,False
445__M_Left_ring_finger.BMP,Higher quality,0.35,T2,Zhang-Suen thinning,170,83,152,53,5280,47,False
445__M_Left_ring_finger.BMP,Higher quality,0.35,T3,Guo-Hall thinning,180,92,156,57,4996,47,False
445__M_Left_ring_finger.BMP,Higher quality,0.35,T4,Morphological skeleton / medial axis,196,108,156,68,5126,47,False
576__M_Right_middle_finger.BMP,Higher quality,0.55,T1,Standard skeletonisation,282,56,228,39,3106,111,False
576__M_Right_middle_finger.BMP,Higher quality,0.55,T2,Zhang-Suen thinning,273,50,222,37,3197,111,False
576__M_Right_middle_finger.BMP,Higher quality,0.55,T3,Guo-Hall thinning,289,63,229,44,3234,111,False
576__M_Right_middle_finger.BMP,Higher quality,0.55,T4,Morphological skeleton / medial axis,306,79,246,51,3445,111,False
533__M_Right_ring_finger.BMP,Higher quality,0.75,T1,Standard skeletonisation,75,6,50,5,1166,39,False
533__M_Right_ring_finger.BMP,Higher quality,0.75,T2,Zhang-Suen thinning,74,5,46,5,1180,39,False
533__M_Right_ring_finger.BMP,Higher quality,0.75,T3,Guo-Hall thinning,80,11,57,10,1233,39,False
533__M_Right_ring_finger.BMP,Higher quality,0.75,T4,Morphological skeleton / medial axis,94,19,69,18,1301,39,False
158__M_Right_middle_finger.BMP,Higher quality,0.35,T1,Standard skeletonisation,105,125,90,75,5272,29,False
158__M_Right_middle_finger.BMP,Higher quality,0.35,T2,Zhang-Suen thinning,102,122,92,74,5685,29,False
158__M_Right_middle_finger.BMP,Higher quality,0.35,T3,Guo-Hall thinning,110,128,90,81,5258,29,False
158__M_Right_middle_finger.BMP,Higher quality,0.35,T4,Morphological skeleton / medial axis,124,143,100,94,5346,29,False
148__M_Right_ring_finger.BMP,Higher quality,0.55,T1,Standard skeletonisation,218,75,187,51,3783,69,False
148__M_Right_ring_finger.BMP,Higher quality,0.55,T2,Zhang-Suen thinning,208,65,180,42,4013,69,False
148__M_Right_ring_finger.BMP,Higher quality,0.55,T3,Guo-Hall thinning,227,88,189,58,3874,69,False
148__M_Right_ring_finger.BMP,Higher quality,0.55,T4,Morphological skeleton / medial axis,246,104,190,70,4043,69,False
112__M_Left_middle_finger.BMP,Medium quality,0.75,T1,Standard skeletonisation,133,35,96,25,1707,52,False
112__M_Left_middle_finger.BMP,Medium quality,0.75,T2,Zhang-Suen thinning,125,31,89,22,1762,52,False
112__M_Left_middle_finger.BMP,Medium quality,0.75,T3,Guo-Hall thinning,145,47,105,31,1807,52,False
112__M_Left_middle_finger.BMP,Medium quality,0.75,T4,Morphological skeleton / medial axis,166,66,117,44,1954,52,False
412__M_Left_middle_finger.BMP,Medium quality,0.35,T1,Standard skeletonisation,169,38,144,27,2923,69,False
412__M_Left_middle_finger.BMP,Medium quality,0.35,T2,Zhang-Suen thinning,166,35,141,27,3087,69,False
412__M_Left_middle_finger.BMP,Medium quality,0.35,T3,Guo-Hall thinning,179,48,148,31,3019,69,False
412__M_Left_middle_finger.BMP,Medium quality,0.35,T4,Morphological skeleton / medial axis,197,68,159,45,3158,69,False
480__M_Right_thumb_finger.BMP,Medium quality,0.55,T1,Standard skeletonisation,297,51,247,36,3653,128,False
480__M_Right_thumb_finger.BMP,Medium quality,0.55,T2,Zhang-Suen thinning,293,47,250,33,3733,128,False
480__M_Right_thumb_finger.BMP,Medium quality,0.55,T3,Guo-Hall thinning,315,70,259,47,3861,128,False
480__M_Right_thumb_finger.BMP,Medium quality,0.55,T4,Morphological skeleton / medial axis,347,100,275,72,4077,128,False
514__F_Left_middle_finger.BMP,Medium quality,0.75,T1,Standard skeletonisation,130,14,102,12,1636,63,False
514__F_Left_middle_finger.BMP,Medium quality,0.75,T2,Zhang-Suen thinning,123,9,98,8,1681,63,False
514__F_Left_middle_finger.BMP,Medium quality,0.75,T3,Guo-Hall thinning,144,26,111,24,1733,63,False
514__F_Left_middle_finger.BMP,Medium quality,0.75,T4,Morphological skeleton / medial axis,159,39,116,34,1870,63,False
457__M_Right_index_finger.BMP,Medium quality,0.35,T1,Standard skeletonisation,93,93,87,60,4914,32,False
457__M_Right_index_finger.BMP,Medium quality,0.35,T2,Zhang-Suen thinning,90,90,82,58,5458,32,False
457__M_Right_index_finger.BMP,Medium quality,0.35,T3,Guo-Hall thinning,95,96,84,62,4914,32,False
457__M_Right_index_finger.BMP,Medium quality,0.35,T4,Morphological skeleton / medial axis,107,108,92,75,4978,32,False
195__M_Right_index_finger.BMP,Medium quality,0.55,T1,Standard skeletonisation,158,70,134,58,4356,53,False
195__M_Right_index_finger.BMP,Medium quality,0.55,T2,Zhang-Suen thinning,151,63,129,51,4818,53,False
195__M_Right_index_finger.BMP,Medium quality,0.55,T3,Guo-Hall thinning,178,89,140,71,4483,53,False
195__M_Right_index_finger.BMP,Medium quality,0.55,T4,Morphological skeleton / medial axis,214,123,166,95,4644,53,False
183__M_Left_ring_finger.BMP,Medium quality,0.75,T1,Standard skeletonisation,91,3,76,2,1355,48,False
183__M_Left_ring_finger.BMP,Medium quality,0.75,T2,Zhang-Suen thinning,89,1,77,1,1392,48,False
183__M_Left_ring_finger.BMP,Medium quality,0.75,T3,Guo-Hall thinning,95,7,79,5,1436,48,False
183__M_Left_ring_finger.BMP,Medium quality,0.75,T4,Morphological skeleton / medial axis,104,12,84,10,1505,48,False
494__F_Left_thumb_finger.BMP,Medium quality,0.35,T1,Standard skeletonisation,92,120,79,82,5326,22,False
494__F_Left_thumb_finger.BMP,Medium quality,0.35,T2,Zhang-Suen thinning,89,117,78,78,5723,22,False
494__F_Left_thumb_finger.BMP,Medium quality,0.35,T3,Guo-Hall thinning,92,118,76,82,5311,22,False
494__F_Left_thumb_finger.BMP,Medium quality,0.35,T4,Morphological skeleton / medial axis,106,134,84,92,5368,22,False
159__M_Right_thumb_finger.BMP,Lower quality,0.55,T1,Standard skeletonisation,142,62,122,41,2724,49,False
159__M_Right_thumb_finger.BMP,Lower quality,0.55,T2,Zhang-Suen thinning,135,57,117,37,2864,49,False
159__M_Right_thumb_finger.BMP,Lower quality,0.55,T3,Guo-Hall thinning,155,75,130,51,2842,49,False
159__M_Right_thumb_finger.BMP,Lower quality,0.55,T4,Morphological skeleton / medial axis,170,90,137,62,2956,49,False
493__M_Left_little_finger.BMP,Lower quality,0.75,T1,Standard skeletonisation,140,37,101,29,1694,58,False
493__M_Left_little_finger.BMP,Lower quality,0.75,T2,Zhang-Suen thinning,131,28,92,24,1720,58,False
493__M_Left_little_finger.BMP,Lower quality,0.75,T3,Guo-Hall thinning,153,49,110,39,1825,58,False
493__M_Left_little_finger.BMP,Lower quality,0.75,T4,Morphological skeleton / medial axis,167,65,120,45,1943,58,False
543__M_Right_middle_finger.BMP,Lower quality,0.35,T1,Standard skeletonisation,77,53,70,38,2797,20,False
543__M_Right_middle_finger.BMP,Lower quality,0.35,T2,Zhang-Suen thinning,75,51,67,36,3117,20,False
543__M_Right_middle_finger.BMP,Lower quality,0.35,T3,Guo-Hall thinning,80,58,72,38,2827,20,False
543__M_Right_middle_finger.BMP,Lower quality,0.35,T4,Morphological skeleton / medial axis,82,60,70,39,2871,20,False
471__M_Left_little_finger.BMP,Lower quality,0.55,T1,Standard skeletonisation,109,47,97,32,3425,35,False
471__M_Left_little_finger.BMP,Lower quality,0.55,T2,Zhang-Suen thinning,105,43,97,29,3725,35,False
471__M_Left_little_finger.BMP,Lower quality,0.55,T3,Guo-Hall thinning,113,51,93,34,3507,35,False
471__M_Left_little_finger.BMP,Lower quality,0.55,T4,Morphological skeleton / medial axis,126,63,102,43,3548,35,False
