Image,Quality band,Severity,Pipeline ID,Pipeline,Selected common preprocessing,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s),Delta PSNR vs degraded (dB),Delta SSIM vs degraded,Delta coherence vs degraded
75__F_Left_middle_finger.BMP,Higher quality,0.35,P0,"grayscale + resize + float [0,1] only",True,0.015114983280240843,18.205923288899456,0.7435694100628281,0.7118552923202515,3.00002284348011e-07,0.0,0.0,0.0
75__F_Left_middle_finger.BMP,Higher quality,0.35,P1,P0 + mild 3x3 median filtering,False,0.017291478568169327,17.62167869274237,0.7310596169729643,0.7788148522377014,3.00002284348011e-07,-0.5842445961570846,-0.012509793089863774,0.06695955991744995
75__F_Left_middle_finger.BMP,Higher quality,0.35,P2,P0 + mild bilateral filtering,False,0.015924271697155348,17.979404211677757,0.7464216792848175,0.7248882055282593,2.00001522898674e-07,-0.22651907722169895,0.002852269221989445,0.013032913208007812
75__F_Left_middle_finger.BMP,Higher quality,0.35,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.016194847696949448,17.906231319196554,0.7435828523012744,0.747744083404541,2.00001522898674e-07,-0.29969196970290213,1.3442238446348398e-05,0.03588879108428955
422__M_Left_index_finger.BMP,Higher quality,0.55,P0,"grayscale + resize + float [0,1] only",True,0.029822220553575703,15.254600222425044,0.5762982588451102,0.5745490789413452,3.00002284348011e-07,0.0,0.0,0.0
422__M_Left_index_finger.BMP,Higher quality,0.55,P1,P0 + mild 3x3 median filtering,False,0.030393981735686713,15.172124018429576,0.6027776267034989,0.7072454690933228,2.00001522898674e-07,-0.0824762039954674,0.02647936785838867,0.13269639015197754
422__M_Left_index_finger.BMP,Higher quality,0.55,P2,P0 + mild bilateral filtering,False,0.030921732528392528,15.09736180780842,0.5693869226446862,0.5867157578468323,2.0999577827751637e-06,-0.15723841461662325,-0.006911336200424056,0.01216667890548706
422__M_Left_index_finger.BMP,Higher quality,0.55,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.029497139347115932,15.302201001575316,0.6034642061565537,0.6456859111785889,5.00003807246685e-07,0.04760077915027239,0.027165947311443506,0.07113683223724365
184__M_Right_index_finger.BMP,Higher quality,0.75,P0,"grayscale + resize + float [0,1] only",True,0.054350025105621494,12.648002509662726,0.3909409718803697,0.42632046341896057,3.00002284348011e-07,0.0,0.0,0.0
184__M_Right_index_finger.BMP,Higher quality,0.75,P1,P0 + mild 3x3 median filtering,False,0.05361078919155588,12.707477995828418,0.4357905043773856,0.6052377223968506,3.00002284348011e-07,0.05947548616569165,0.0448495324970159,0.17891725897789001
184__M_Right_index_finger.BMP,Higher quality,0.75,P2,P0 + mild bilateral filtering,False,0.056448213579410086,12.483497976695864,0.36704254775127526,0.4159543216228485,2.00001522898674e-07,-0.16450453296686263,-0.02389842412909443,-0.01036614179611206
184__M_Right_index_finger.BMP,Higher quality,0.75,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.05284940421347717,12.769599042554711,0.4270265891809247,0.5182719230651855,2.9994407668709755e-07,0.12159653289198502,0.036085617300554984,0.09195145964622498
445__M_Left_ring_finger.BMP,Higher quality,0.35,P0,"grayscale + resize + float [0,1] only",True,0.014399337938248978,18.416574757085808,0.7061618986973255,0.6278500556945801,4.00003045797348e-07,0.0,0.0,0.0
445__M_Left_ring_finger.BMP,Higher quality,0.35,P1,P0 + mild 3x3 median filtering,False,0.01616464543600776,17.914338169957656,0.7354852244442404,0.6964238286018372,2.00001522898674e-07,-0.5022365871281522,0.029323325746914874,0.06857377290725708
445__M_Left_ring_finger.BMP,Higher quality,0.35,P2,P0 + mild bilateral filtering,False,0.015069737642971412,18.2189430848176,0.7362154528125473,0.6436818838119507,2.00001522898674e-07,-0.19763167226820855,0.030053554115221814,0.015831828117370605
445__M_Left_ring_finger.BMP,Higher quality,0.35,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.015194501673460693,18.18313538691316,0.7371745441188924,0.6628801226615906,2.00001522898674e-07,-0.23343937017264693,0.031012645421566898,0.0350300669670105
576__M_Right_middle_finger.BMP,Higher quality,0.55,P0,"grayscale + resize + float [0,1] only",True,0.027405958687992386,15.621550012683855,0.5191537437271285,0.48222148418426514,4.00003045797348e-07,0.0,0.0,0.0
576__M_Right_middle_finger.BMP,Higher quality,0.55,P1,P0 + mild 3x3 median filtering,False,0.028237200806111973,15.491783577163076,0.5222988600415588,0.5988894104957581,2.00001522898674e-07,-0.1297664355207786,0.003145116314430263,0.11666792631149292
576__M_Right_middle_finger.BMP,Higher quality,0.55,P2,P0 + mild bilateral filtering,False,0.02898071290435982,15.378909354065467,0.4935902426424995,0.48249852657318115,2.00001522898674e-07,-0.24264065861838802,-0.025563501084629014,0.0002770423889160156
576__M_Right_middle_finger.BMP,Higher quality,0.55,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.02707186078727729,15.674818919253767,0.5386560666919258,0.5446204543113708,2.00001522898674e-07,0.05326890656991168,0.01950232296479726,0.06239897012710571
533__M_Right_ring_finger.BMP,Higher quality,0.75,P0,"grayscale + resize + float [0,1] only",True,0.037505378832330516,14.259064434807145,0.3472088247192675,0.3226686716079712,4.00003045797348e-07,0.0,0.0,0.0
533__M_Right_ring_finger.BMP,Higher quality,0.75,P1,P0 + mild 3x3 median filtering,False,0.03560131024771559,14.485340182383183,0.3911698774612695,0.5160442590713501,2.00001522898674e-07,0.22627574757603774,0.043961052742002016,0.1933755874633789
533__M_Right_ring_finger.BMP,Higher quality,0.75,P2,P0 + mild bilateral filtering,False,0.0381596764849211,14.18395315870698,0.32392197057283756,0.3217327892780304,1.500011421740055e-06,-0.07511127610016466,-0.023286854146429947,-0.0009358823299407959
