Image,Quality band,Severity,Family,Technique ID,Technique,Metric domain,Role hint,Is image-processing technique,Notes,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s),Delta PSNR vs degraded (dB),Delta PSNR vs common preprocessing (dB),PSNR delta to 28.17 dB,Binary foreground/ridge ratio,Connected components,Small components <20px,Largest component fraction,Fragmentation per 1000 ridge pixels,Skeleton pixels,Skeleton endpoints,Skeleton bifurcations,Ridge continuity proxy,Structural coherence,Reference ROI IoU proxy
75__F_Left_middle_finger.BMP,Higher quality,0.35,Control,CONTROL-DEGRADED,Degraded Input,grayscale,"Input condition/control, not a technique",False,"Input condition/control, not a technique",0.015114983280240843,18.205923288899456,0.7435694100628281,0.7118552923202515,0.0,0.0,0.0,-9.964076711100546,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Control,CONTROL-P0,Common Preprocessed Input P0,grayscale,"Common preprocessing control, not a member technique",False,"Common preprocessing control, not a member technique",0.015114983280240843,18.205923288899456,0.7435694100628281,0.7118552923202515,0.0,0.0,0.0,-9.964076711100546,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Denoising,D1,Gaussian filtering,grayscale,M1 candidate,True,sigma=0.65,0.017072424063298574,17.677048103104653,0.7343437538371226,0.7603966593742371,0.0011284000356681645,-0.5288751857948029,-0.5288751857948029,-10.492951896895349,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Denoising,D2,Median filtering,grayscale,M1 candidate,True,3x3 median,0.017291478568169327,17.62167869274237,0.7310596169729643,0.7788148522377014,0.00769689999287948,-0.5842445961570846,-0.5842445961570846,-10.54832130725763,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Denoising,D3,Bilateral filtering,grayscale,M1 candidate,True,"sigma_color=0.035, sigma_spatial=2.0",0.015924271697155348,17.979404211677757,0.7464216792848175,0.7248882055282593,0.13264949998119846,-0.22651907722169895,-0.22651907722169895,-10.190595788322245,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Denoising,D4,Non-local means,grayscale,M1 candidate,True,"patch_size=3, patch_distance=5, h=0.055",0.01723459708964058,17.63598865072462,0.7330843237132677,0.7873817682266235,0.05815759999677539,-0.5699346381748356,-0.5699346381748356,-10.534011349275382,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Denoising,D5,Wiener noise filtering,grayscale,M1 candidate,True,local window=5,0.026666779547036154,15.740294293570505,0.5580493384126397,0.7702910900115967,0.008081899955868721,-2.4656289953289505,-2.4656289953289505,-12.429705706429496,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Denoising,D6,Wavelet denoising,grayscale,M1 candidate,True,db2 level=2 shrinkage,0.015812008135484078,18.010129708788437,0.7467844351894101,0.7392528057098389,0.0039594999980181456,-0.19579358011101888,-0.19579358011101888,-10.159870291211565,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Denoising,D7,Anisotropic diffusion,grayscale,M1 candidate,True,Perona-Malik style fixed parameters,0.017413956108228237,17.591025545117624,0.736649873530143,0.756699800491333,0.006678100035060197,-0.6148977437818317,-0.6148977437818317,-10.578974454882378,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Restoration/Deblurring,R1,Wiener deconvolution,grayscale,M1 candidate,True,uses known synthetic Gaussian PSF formula; no clean pixels used,0.013920737179669651,18.56337765832812,0.7661431879490186,0.7264577150344849,0.004407999978866428,0.3574543694286625,0.3574543694286625,-9.606622341671883,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Restoration/Deblurring,R2,Richardson-Lucy deconvolution,grayscale,M1 candidate,True,uses known synthetic Gaussian PSF formula; 8 iterations,0.014164651105405105,18.48794118274742,0.7602702943897159,0.7157467603683472,0.01822110003558919,0.2820178938479643,0.2820178938479643,-9.682058817252582,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Restoration/Deblurring,R3,Total variation restoration,grayscale,M1 candidate,True,TV Chambolle weight=0.045,0.019490353569991948,17.101802823752635,0.696452577837829,0.792046308517456,0.009118199988733977,-1.1041204651468206,-1.1041204651468206,-11.068197176247367,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Restoration/Deblurring,R4,Tikhonov regularised inverse restoration,grayscale,M1 candidate,True,uses known synthetic Gaussian PSF formula; lambda=0.025,0.01564405736289996,18.05650600266235,0.7425215280016535,0.7294835448265076,0.00817250000545755,-0.1494172862371066,-0.1494172862371066,-10.113493997337653,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Restoration/Deblurring,R5,Edge-preserving restoration,grayscale,M1 candidate,True,TV followed by bilateral filter,0.01803808243904401,17.4380963255935,0.7248366752402745,0.7906568646430969,0.13280449999729171,-0.7678269633059571,-0.7678269633059571,-10.731903674406503,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Contrast Enhancement,C1,Global histogram equalisation,grayscale,M1 baseline candidate,True,global equalize_hist,0.009556109714425574,20.19718872725416,0.8062887901906483,0.716912031173706,0.005189299990888685,1.9912654383547057,1.9912654383547057,-7.97281127274584,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Contrast Enhancement,C2,Adaptive histogram equalisation,grayscale,M1 baseline candidate,True,AHE-like un-clipped adaptive histogram equalisation,0.0437123762978288,13.593955836960559,0.7277070638534449,0.6921507120132446,0.007841399987228215,-4.611967451938897,-4.611967451938897,-14.576044163039443,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Contrast Enhancement,C3,CLAHE,grayscale,M1 baseline candidate,True,clip_limit=0.025,0.04245269035699127,13.720947819766337,0.7292391644606797,0.6927222609519958,0.00550849997671321,-4.4849754691331185,-4.4849754691331185,-14.449052180233664,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Contrast Enhancement,C4,Contrast stretching,grayscale,M1 candidate,True,2nd to 98th percentile,0.009082946576070327,20.417732402304324,0.7998816474979454,0.71784508228302,0.0010627000010572374,2.2118091134048683,2.2118091134048683,-7.752267597695678,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Contrast Enhancement,C5,Gamma correction,grayscale,M1 candidate,True,gamma=0.85,0.01954915751713404,17.08871954050401,0.7235746935209432,0.7105207443237305,0.0009770000469870865,-1.117203748395447,-1.117203748395447,-11.081280459495993,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Contrast Enhancement,C6,Homomorphic filtering,grayscale,M1 candidate,True,log-domain high-frequency gain=0.70,0.027747637979411363,15.567739803311337,0.6271480222789337,0.7127882242202759,0.00970299995969981,-2.6381834855881188,-2.6381834855881188,-12.602260196688665,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Fingerprint Ridge Enhancement,G1,Ordinary Gabor filter,grayscale,M2 baseline,True,"fixed frequency=0.115, 8 orientations",0.03360229697673719,14.736310342105837,0.6092724315060587,0.7251205444335938,1.0194561000098474,-3.469612946793619,-3.469612946793619,-13.433689657894165,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Fingerprint Ridge Enhancement,G2,Literature-inspired Modified Gabor,grayscale,M2 literature technique,True,local orientation + local ridge frequency; exact article parameters unavailable,0.017148225568282844,17.657808124009534,0.73531837430819,0.7235910892486572,2.186213899985887,-0.5481151648899214,-0.5481151648899214,-10.512191875990467,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Fingerprint Ridge Enhancement,G3,Adaptive local-orientation Gabor,grayscale,M2 candidate,True,"local orientation, fixed frequency",0.01759575872438062,17.545920017638565,0.731818767281753,0.7242114543914795,0.4761126000084914,-0.6600032712608908,-0.6600032712608908,-10.624079982361437,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Fingerprint Ridge Enhancement,G4,Adaptive orientation-frequency Gabor,grayscale,M2 candidate,True,local orientation + local frequency,0.017887532197403598,17.47449571505144,0.7322428198807165,0.7247021198272705,2.6595765999518335,-0.7314275738480163,-0.7314275738480163,-10.695504284948562,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Fingerprint Ridge Enhancement,G5,Log-Gabor,grayscale,M2 candidate,True,local selection from log-Gabor frequency/orientation bank,0.025104222479794616,16.0025322491556,0.664554943563888,0.7071950435638428,0.5136485999682918,-2.203391039743856,-2.203391039743856,-12.167467750844402,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Fingerprint Ridge Enhancement,G6,STFT contextual enhancement,grayscale,M2 candidate,True,"32px blocks, band-pass contextual filtering",0.031529302895423834,15.012856312824653,0.5711106872483032,0.6823280453681946,0.07877409999491647,-3.193066976074803,-3.193066976074803,-13.157143687175349,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Fingerprint Ridge Enhancement,G7,Coherence-guided directional diffusion,grayscale,M2/M3 candidate,True,directional smoothing weighted by coherence,0.018064960292765875,17.43162988685033,0.7006745150103769,0.725760817527771,0.3913364000036381,-0.7742934020491248,-0.7742934020491248,-10.73837011314967,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Fingerprint Ridge Enhancement,G8,Directional oriented filter-bank,grayscale,M2 candidate,True,orientation-selected elongated Gaussian smoothing,0.016172018671253643,17.912357659274218,0.7288898080940838,0.7166174650192261,0.12611889996333048,-0.29356562962523824,-0.29356562962523824,-10.257642340725784,,,,,,,,,,,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Segmentation,S1,Otsu thresholding,ridge map,M3 candidate,True,Binary/structural output; PSNR/MSE/SSIM intentionally not calculated,,,,,,,,,0.52911376953125,162.0,150.0,0.9133694767951965,4.671819125620025,7398.0,150.0,643.0,49.32,0.7421033382415771,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Segmentation,S2,Adaptive/local Sauvola thresholding,ridge map,M3 candidate,True,Binary/structural output; PSNR/MSE/SSIM intentionally not calculated,,,,,,,,,0.39007568359375,164.0,117.0,0.3867548108100891,6.415271475512439,6764.0,300.0,249.0,22.546666666666667,0.7376530766487122,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Segmentation,S3,Local variance foreground segmentation,foreground mask,M3 candidate,True,Binary/structural output; PSNR/MSE/SSIM intentionally not calculated,,,,,,,,,0.90533447265625,1.0,0.0,1.0,0.01685431133283894,1960.0,4.0,31.0,490.0,0.753158450126648,0.90533447265625
75__F_Left_middle_finger.BMP,Higher quality,0.35,Segmentation,S4,Coherence-based foreground segmentation,foreground mask,M3 candidate,True,Binary/structural output; PSNR/MSE/SSIM intentionally not calculated,,,,,,,,,0.87396240234375,42.0,32.0,0.9907814860343933,0.7332914309658495,5069.0,62.0,204.0,81.75806451612904,0.784514844417572,0.87396240234375
75__F_Left_middle_finger.BMP,Higher quality,0.35,Segmentation,S5,Orientation-confidence segmentation,foreground mask,M3 candidate,True,Binary/structural output; PSNR/MSE/SSIM intentionally not calculated,,,,,,,,,0.438385009765625,25.0,14.0,0.6288896799087524,0.8701705534284719,2934.0,78.0,148.0,37.61538461538461,0.8140701055526733,0.438385009765625
75__F_Left_middle_finger.BMP,Higher quality,0.35,Morphological Ridge Restoration,M3-1,Opening,ridge map,M3 candidate,True,Binary ridge restoration; PSNR/MSE/SSIM intentionally not calculated,,,,,,,,,0.3563690185546875,185.0,75.0,0.34489402174949646,7.921216013701563,4659.0,347.0,48.0,13.426512968299711,0.7344644069671631,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Morphological Ridge Restoration,M3-2,Closing,ridge map,M3 candidate,True,Binary ridge restoration; PSNR/MSE/SSIM intentionally not calculated,,,,,,,,,0.39495849609375,40.0,1.0,0.3925977349281311,1.5453562046051614,5741.0,157.0,123.0,36.56687898089172,0.7362481951713562,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Morphological Ridge Restoration,M3-3,Opening + Closing,ridge map,M3 candidate,True,Binary ridge restoration; PSNR/MSE/SSIM intentionally not calculated,,,,,,,,,0.3608856201171875,147.0,52.0,0.350978821516037,6.21538201344552,4733.0,306.0,63.0,15.467320261437909,0.7339829802513123,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Morphological Ridge Restoration,M3-4,Morphological reconstruction,ridge map,M3 candidate,True,Binary ridge restoration; PSNR/MSE/SSIM intentionally not calculated,,,,,,,,,0.3830718994140625,55.0,1.0,0.3984066843986511,2.19079864568811,5768.0,197.0,100.0,29.279187817258883,0.7366408109664917,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Morphological Ridge Restoration,M3-5,Bridge / broken-ridge reconnection,ridge map,M3 candidate,True,Binary ridge restoration; PSNR/MSE/SSIM intentionally not calculated,,,,,,,,,0.2604217529296875,40.0,1.0,0.2960684299468994,2.343704224526865,5682.0,147.0,119.0,38.6530612244898,0.7554116249084473,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Morphological Ridge Restoration,M3-6,Remove small objects / isolated noise,ridge map,M3 candidate,True,Binary ridge restoration; PSNR/MSE/SSIM intentionally not calculated,,,,,,,,,0.3811798095703125,51.0,0.0,0.4003843069076538,2.041551579200192,5725.0,190.0,100.0,30.13157894736842,0.7367100715637207,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Morphological Ridge Restoration,M3-7,Spur cleanup,ridge map,M3 candidate,True,Binary ridge restoration; PSNR/MSE/SSIM intentionally not calculated,,,,,,,,,0.245758056640625,54.0,5.0,0.3059729337692261,3.352787780951198,5289.0,156.0,65.0,33.90384615384615,0.7646463513374329,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Morphological Ridge Restoration,M3-8,Controlled ridge-restoration pipeline,ridge map,M3 candidate,True,Binary ridge restoration; PSNR/MSE/SSIM intentionally not calculated,,,,,,,,,0.249969482421875,37.0,0.0,0.30429738759994507,2.2585764863874984,5428.0,136.0,88.0,39.911764705882355,0.7598556280136108,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Thinning / Feature Extraction,T1,Standard skeletonisation,skeleton,M4 candidate,True,"Skeleton/feature output; counts are detections, not ground-truth accuracy",,,,,,,,,0.08282470703125,37.0,14.0,0.307848185300827,6.8165070007369195,5428.0,136.0,88.0,39.911764705882355,0.7579916715621948,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Thinning / Feature Extraction,T2,Zhang-Suen thinning,skeleton,M4 candidate,True,"Skeleton/feature output; counts are detections, not ground-truth accuracy",,,,,,,,,0.092498779296875,37.0,10.0,0.2984163761138916,6.103596172880238,5354.0,132.0,86.0,40.56060606060606,0.7652272582054138,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Thinning / Feature Extraction,T3,Guo-Hall thinning,skeleton,M4 candidate,True,"Skeleton/feature output; counts are detections, not ground-truth accuracy",,,,,,,,,0.0835418701171875,37.0,10.0,0.30173516273498535,6.757990867579909,5446.0,140.0,94.0,38.9,0.7581960558891296,
75__F_Left_middle_finger.BMP,Higher quality,0.35,Thinning / Feature Extraction,T4,Morphological skeleton / medial axis,skeleton,M4 candidate,True,"Skeleton/feature output; counts are detections, not ground-truth accuracy",,,,,,,,,0.0849761962890625,37.0,9.0,0.3011312484741211,6.6439217094631,5569.0,151.0,105.0,36.88079470198676,0.7550680041313171,
422__M_Left_index_finger.BMP,Higher quality,0.55,Control,CONTROL-DEGRADED,Degraded Input,grayscale,"Input condition/control, not a technique",False,"Input condition/control, not a technique",0.029822220553575703,15.254600222425044,0.5762982588451102,0.5745490789413452,0.0,0.0,0.0,-12.915399777574958,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Control,CONTROL-P0,Common Preprocessed Input P0,grayscale,"Common preprocessing control, not a member technique",False,"Common preprocessing control, not a member technique",0.029822220553575703,15.254600222425044,0.5762982588451102,0.5745490789413452,0.0,0.0,0.0,-12.915399777574958,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Denoising,D1,Gaussian filtering,grayscale,M1 candidate,True,sigma=0.65,0.02994256156867422,15.237110487640727,0.6061137274085595,0.6722319722175598,0.0008158999844454229,-0.01748973478431637,-0.01748973478431637,-12.932889512359274,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Denoising,D2,Median filtering,grayscale,M1 candidate,True,3x3 median,0.030393981735686713,15.172124018429576,0.6027776267034989,0.7072454690933228,0.008075699966866523,-0.0824762039954674,-0.0824762039954674,-12.997875981570425,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Denoising,D3,Bilateral filtering,grayscale,M1 candidate,True,"sigma_color=0.035, sigma_spatial=2.0",0.030921732528392528,15.09736180780842,0.5693869226446862,0.5867157578468323,0.11133369995513931,-0.15723841461662325,-0.15723841461662325,-13.072638192191581,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Denoising,D4,Non-local means,grayscale,M1 candidate,True,"patch_size=3, patch_distance=5, h=0.055",0.03249821422292691,14.881405028499469,0.5651125501122731,0.6759740710258484,0.05206349998479709,-0.3731951939255751,-0.3731951939255751,-13.288594971500533,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Denoising,D5,Wiener noise filtering,grayscale,M1 candidate,True,local window=5,0.036787449014730036,14.343003267988701,0.50462109449254,0.7326789498329163,0.0046326000010594726,-0.9115969544363427,-0.9115969544363427,-13.8269967320113,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Denoising,D6,Wavelet denoising,grayscale,M1 candidate,True,db2 level=2 shrinkage,0.029850177002488407,15.25053089292532,0.5898696434710892,0.6322054266929626,0.002914800017606467,-0.00406932949972294,-0.00406932949972294,-12.919469107074681,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Denoising,D7,Anisotropic diffusion,grayscale,M1 candidate,True,Perona-Malik style fixed parameters,0.03112723536938631,15.06859450378782,0.5983789003267672,0.6704011559486389,0.006189399980939925,-0.18600571863722415,-0.18600571863722415,-13.101405496212182,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Restoration/Deblurring,R1,Wiener deconvolution,grayscale,M1 candidate,True,uses known synthetic Gaussian PSF formula; no clean pixels used,0.02762668593858207,15.586712093618107,0.6130640316541539,0.6048991680145264,0.0022205000277608633,0.33211187119306373,0.33211187119306373,-12.583287906381894,,,,,,,,,,,
