Combination ID,Image,Quality band,Severity,Stage order,Stage,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s),Delta PSNR vs previous stage (dB),Delta SSIM vs previous stage,Delta coherence vs previous stage
R1->G7,75__F_Left_middle_finger.BMP,Higher quality,0.35,0,Degraded,0.015114983280240843,18.205923288899456,0.7435694100628281,0.7118552923202515,0.0,,,
R1->G7,75__F_Left_middle_finger.BMP,Higher quality,0.35,1,Common Preprocessing P0,0.015114983280240843,18.205923288899456,0.7435694100628281,0.7118552923202515,0.0,0.0,0.0,0.0
R1->G7,75__F_Left_middle_finger.BMP,Higher quality,0.35,2,M1 Wiener deconvolution,0.013920737179669651,18.56337765832812,0.7661431879490186,0.7264577150344849,0.0024468000046908855,0.3574543694286625,0.022573777886190527,0.014602422714233398
R1->G7,75__F_Left_middle_finger.BMP,Higher quality,0.35,3,M2 Coherence-guided directional diffusion,0.017055934227924653,17.681244874016727,0.7213023198269531,0.7378036975860596,0.33855629997560754,-0.8821327843113913,-0.04484086812206545,0.011345982551574707
R1->G7,75__F_Left_middle_finger.BMP,Higher quality,0.35,4,Team Final Output,0.017055934227924653,17.681244874016727,0.7213023198269531,0.7378036975860596,0.34100309998029843,0.0,0.0,0.0
R1->G7,422__M_Left_index_finger.BMP,Higher quality,0.55,0,Degraded,0.029822220553575703,15.254600222425044,0.5762982588451102,0.5745490789413452,0.0,,,
R1->G7,422__M_Left_index_finger.BMP,Higher quality,0.55,1,Common Preprocessing P0,0.029822220553575703,15.254600222425044,0.5762982588451102,0.5745490789413452,0.0,0.0,0.0,0.0
R1->G7,422__M_Left_index_finger.BMP,Higher quality,0.55,2,M1 Wiener deconvolution,0.02762668593858207,15.586712093618107,0.6130640316541539,0.6048991680145264,0.002071099996101111,0.33211187119306373,0.036765772809043695,0.030350089073181152
R1->G7,422__M_Left_index_finger.BMP,Higher quality,0.55,3,M2 Coherence-guided directional diffusion,0.029269631307958996,15.335827480796143,0.5922582638060918,0.6349365711212158,0.3239088000264019,-0.25088461282196484,-0.020805767848062096,0.030037403106689453
R1->G7,422__M_Left_index_finger.BMP,Higher quality,0.55,4,Team Final Output,0.029269631307958996,15.335827480796143,0.5922582638060918,0.6349365711212158,0.325979900022503,0.0,0.0,0.0
R1->G7,184__M_Right_index_finger.BMP,Higher quality,0.75,0,Degraded,0.054350025105621494,12.648002509662726,0.3909409718803697,0.42632046341896057,0.0,,,
R1->G7,184__M_Right_index_finger.BMP,Higher quality,0.75,1,Common Preprocessing P0,0.054350025105621494,12.648002509662726,0.3909409718803697,0.42632046341896057,0.0,0.0,0.0,0.0
R1->G7,184__M_Right_index_finger.BMP,Higher quality,0.75,2,M1 Wiener deconvolution,0.05093042482928517,12.930227011997337,0.43832963501002326,0.4842767119407654,0.002006300026550889,0.2822245023346106,0.04738866312965356,0.05795624852180481
R1->G7,184__M_Right_index_finger.BMP,Higher quality,0.75,3,M2 Coherence-guided directional diffusion,0.051524432793519974,12.87986780451229,0.42960082587754106,0.5216995477676392,0.32716249994700775,-0.0503592074850463,-0.008728809132482196,0.03742283582687378
R1->G7,184__M_Right_index_finger.BMP,Higher quality,0.75,4,Team Final Output,0.051524432793519974,12.87986780451229,0.42960082587754106,0.5216995477676392,0.32916879997355863,0.0,0.0,0.0
R1->G7,445__M_Left_ring_finger.BMP,Higher quality,0.35,0,Degraded,0.014399337938248978,18.416574757085808,0.7061618986973255,0.6278500556945801,0.0,,,
R1->G7,445__M_Left_ring_finger.BMP,Higher quality,0.35,1,Common Preprocessing P0,0.014399337938248978,18.416574757085808,0.7061618986973255,0.6278500556945801,0.0,0.0,0.0,0.0
R1->G7,445__M_Left_ring_finger.BMP,Higher quality,0.35,2,M1 Wiener deconvolution,0.013281466477996804,18.76753969535795,0.732117417270063,0.6414128541946411,0.002380099962465465,0.35096493827214204,0.02595551857273748,0.013562798500061035
R1->G7,445__M_Left_ring_finger.BMP,Higher quality,0.35,3,M2 Coherence-guided directional diffusion,0.014822043526764276,18.29091915707912,0.7180872818893879,0.665571928024292,0.3238603000063449,-0.47662053827883,-0.014030135380675102,0.02415907382965088
R1->G7,445__M_Left_ring_finger.BMP,Higher quality,0.35,4,Team Final Output,0.014822043526764276,18.29091915707912,0.7180872818893879,0.665571928024292,0.3262403999688104,0.0,0.0,0.0
R1->G7,576__M_Right_middle_finger.BMP,Higher quality,0.55,0,Degraded,0.027405958687992386,15.621550012683855,0.5191537437271285,0.48222148418426514,0.0,,,
R1->G7,576__M_Right_middle_finger.BMP,Higher quality,0.55,1,Common Preprocessing P0,0.027405958687992386,15.621550012683855,0.5191537437271285,0.48222148418426514,0.0,0.0,0.0,0.0
R1->G7,576__M_Right_middle_finger.BMP,Higher quality,0.55,2,M1 Wiener deconvolution,0.025402194038171712,15.951287708792854,0.5600917841507604,0.5179650783538818,0.0029750000103376806,0.3297376961089995,0.040938040423631916,0.0357435941696167
R1->G7,576__M_Right_middle_finger.BMP,Higher quality,0.55,3,M2 Coherence-guided directional diffusion,0.02612941564161399,15.828703027281005,0.5460393108177942,0.5492095947265625,0.3245670000324026,-0.12258468151184942,-0.01405247333296622,0.031244516372680664
R1->G7,576__M_Right_middle_finger.BMP,Higher quality,0.55,4,Team Final Output,0.02612941564161399,15.828703027281005,0.5460393108177942,0.5492095947265625,0.32754200004274026,0.0,0.0,0.0
R1->G7,533__M_Right_ring_finger.BMP,Higher quality,0.75,0,Degraded,0.037505378832330516,14.259064434807145,0.3472088247192675,0.3226686716079712,0.0,,,
R1->G7,533__M_Right_ring_finger.BMP,Higher quality,0.75,1,Common Preprocessing P0,0.037505378832330516,14.259064434807145,0.3472088247192675,0.3226686716079712,0.0,0.0,0.0,0.0
R1->G7,533__M_Right_ring_finger.BMP,Higher quality,0.75,2,M1 Wiener deconvolution,0.03522573272729222,14.531399644042667,0.39590013095385185,0.3766220510005951,0.0021674000308848917,0.27233520923552135,0.04869130623458434,0.0539533793926239
R1->G7,533__M_Right_ring_finger.BMP,Higher quality,0.75,3,M2 Coherence-guided directional diffusion,0.03504632547972844,14.553575100092695,0.39410703016138693,0.410727322101593,0.32527579995803535,0.022175456050028686,-0.001793100792464919,0.034105271100997925
