image,method,mse,psnr,ssim
34__M_Right_ring_finger.BMP,M1 NLM,0.0010615054191605731,29.74077784347228,0.9490708843501806
34__M_Right_ring_finger.BMP,M2 Modified Gabor,0.0035818094785346173,24.45897518604702,0.8379900228298567
34__M_Right_ring_finger.BMP,M3 TV,0.0012280536415119861,29.107826627519696,0.9422582679080963
34__M_Right_ring_finger.BMP,M4 Directional Diffusion,0.0017521470302821291,27.56429453098889,0.8717304894548058
12__M_Left_middle_finger.BMP,M1 NLM,0.0011049383090626825,29.56661968840023,0.9486580246226788
12__M_Left_middle_finger.BMP,M2 Modified Gabor,0.0035683240140458876,24.475357173219187,0.8571414405239896
12__M_Left_middle_finger.BMP,M3 TV,0.0012875887130889062,28.902228389642826,0.9416207042701245
12__M_Left_middle_finger.BMP,M4 Directional Diffusion,0.0017914260342961625,27.46801118594814,0.8883476017622948
379__F_Left_ring_finger.BMP,M1 NLM,0.001201447204613965,29.20295308712431,0.9504642894906997
379__F_Left_ring_finger.BMP,M2 Modified Gabor,0.002745841342891228,25.613245602884405,0.8284443713811189
379__F_Left_ring_finger.BMP,M3 TV,0.0012006194692185624,29.205946184134017,0.9429074383463859
379__F_Left_ring_finger.BMP,M4 Directional Diffusion,0.0015181397114287071,28.18688259329525,0.8535173744565845
216__M_Right_ring_finger.BMP,M1 NLM,0.0010697456180278188,29.707194838299948,0.9446846299544572
216__M_Right_ring_finger.BMP,M2 Modified Gabor,0.0033048172723026256,24.808525482281183,0.8157965223240853
216__M_Right_ring_finger.BMP,M3 TV,0.0012069149457272232,29.183233346274857,0.9367944357494116
216__M_Right_ring_finger.BMP,M4 Directional Diffusion,0.0015577423478899883,28.07504373456167,0.8532690296037198
598__M_Right_little_finger.BMP,M1 NLM,0.0013302646698243235,28.76061943086476,0.950864035236597
598__M_Right_little_finger.BMP,M2 Modified Gabor,0.003148585822474656,25.018844644330038,0.8667993048666977
598__M_Right_little_finger.BMP,M3 TV,0.001327647386882929,28.769172549870746,0.9504389220192433
598__M_Right_little_finger.BMP,M4 Directional Diffusion,0.002134851215254402,26.70632386983508,0.8852786429189443
241__M_Right_thumb_finger.BMP,M1 NLM,0.0009424709502700191,30.25732027150671,0.9331747810809612
241__M_Right_thumb_finger.BMP,M2 Modified Gabor,0.003891066067198057,24.099313951597733,0.802479209722314
241__M_Right_thumb_finger.BMP,M3 TV,0.0010625326089994912,29.736577326270876,0.9306786875401736
241__M_Right_thumb_finger.BMP,M4 Directional Diffusion,0.0012408664422078124,29.062749602688626,0.874263609080255
318__F_Left_little_finger.BMP,M1 NLM,0.0011651664558396278,29.33612026836551,0.9208061531684398
318__F_Left_little_finger.BMP,M2 Modified Gabor,0.0028312026648457224,25.480290415943166,0.8016419204242043
318__F_Left_little_finger.BMP,M3 TV,0.0010657976428199553,29.72325244604976,0.9363194644300937
318__F_Left_little_finger.BMP,M4 Directional Diffusion,0.0014902919764845934,28.267286367194977,0.8296517142455578
533__M_Left_thumb_finger.BMP,M1 NLM,0.001110225396631721,29.545888423159383,0.9395819773564339
533__M_Left_thumb_finger.BMP,M2 Modified Gabor,0.00280548922393839,25.519913951099028,0.8706481144898981
533__M_Left_thumb_finger.BMP,M3 TV,0.0012540493850985018,29.016853604323742,0.9457901936737299
533__M_Left_thumb_finger.BMP,M4 Directional Diffusion,0.0016435910772472518,27.8420622510839,0.8920634358210564
352__M_Left_ring_finger.BMP,M1 NLM,0.0013020903715608443,28.85358872520388,0.9530143729838133
352__M_Left_ring_finger.BMP,M2 Modified Gabor,0.0031359874163596705,25.036256886586838,0.8656332024887279
352__M_Left_ring_finger.BMP,M3 TV,0.0013261874501598108,28.77395086175278,0.9500596928757429
352__M_Left_ring_finger.BMP,M4 Directional Diffusion,0.0018986396024791262,27.21557464704141,0.8879749351432323
399__M_Right_ring_finger.BMP,M1 NLM,0.0008344819015862363,30.785830779499392,0.9040560610564947
399__M_Right_ring_finger.BMP,M2 Modified Gabor,0.002475464451012899,26.063433059876328,0.7433558534937128
399__M_Right_ring_finger.BMP,M3 TV,0.0009045248172755223,30.435795129855308,0.9099743538298607
399__M_Right_ring_finger.BMP,M4 Directional Diffusion,0.001392233042195941,28.562880632393018,0.7765255021522641
576__M_Left_middle_finger.BMP,M1 NLM,0.001394595682737294,28.55551683578449,0.9523853311181069
576__M_Left_middle_finger.BMP,M2 Modified Gabor,0.00363216571084386,24.398343458163247,0.9011839841732867
576__M_Left_middle_finger.BMP,M3 TV,0.001493925928706994,28.256709350181413,0.9505342468670607
576__M_Left_middle_finger.BMP,M4 Directional Diffusion,0.0020935021772696006,26.791265831005838,0.9191508635531068
506__M_Right_ring_finger.BMP,M1 NLM,0.0012803398035443943,28.92674752837074,0.9426693833119869
506__M_Right_ring_finger.BMP,M2 Modified Gabor,0.003140546452316114,25.02994778494469,0.8566074815251157
506__M_Right_ring_finger.BMP,M3 TV,0.0012278025944374598,29.108714532584727,0.9450542095925808
506__M_Right_ring_finger.BMP,M4 Directional Diffusion,0.001625313299582125,27.8906291089138,0.8885112454654575
